rank,ts_code,name,industry,tradeDate,targetTime,dailyClose,nextTradeDate,nextClose,dailyEntryReturnToNextClose,nextLimitUpClose,eastmoneyUrl,tencentUrl,manualMatchedTime,manual1430Price,manualSource,manualCheckedAt,manualNotes
1,603661.SH,恒林股份,家居用品,2026-05-26,14:30:00,37.47,2026-05-27,33.72,-0.10008006405124104,False,https://quote.eastmoney.com/sh603661.html,https://gu.qq.com/sh603661,,,,,
2,600592.SH,龙溪股份,机械基件,2026-05-26,14:30:00,21.98,2026-05-27,21.18,-0.036396724294813554,False,https://quote.eastmoney.com/sh600592.html,https://gu.qq.com/sh600592,,,,,
3,002056.SZ,横店东磁,电气设备,2026-05-26,14:30:00,23.45,2026-05-27,24.52,0.045628997867803944,False,https://quote.eastmoney.com/sz002056.html,https://gu.qq.com/sz002056,,,,,
4,603890.SH,春秋电子,元器件,2026-05-25,14:30:00,23.84,2026-05-26,24.27,0.018036912751677736,False,https://quote.eastmoney.com/sh603890.html,https://gu.qq.com/sh603890,,,,,
5,603678.SH,火炬电子,元器件,2026-05-25,14:30:00,39.5,2026-05-26,40.64,0.02886075949367095,False,https://quote.eastmoney.com/sh603678.html,https://gu.qq.com/sh603678,,,,,
6,002409.SZ,雅克科技,半导体,2026-05-14,14:30:00,106.9,2026-05-15,107.46,0.005238540692235727,False,https://quote.eastmoney.com/sz002409.html,https://gu.qq.com/sz002409,,,,,
7,688551.SH,科威尔,专用机械,2026-05-12,14:30:00,62.4,2026-05-13,68.18,0.09262820512820524,False,https://quote.eastmoney.com/sh688551.html,https://gu.qq.com/sh688551,,,,,
8,605566.SH,福莱蒽特,染料涂料,2026-05-11,14:30:00,35.73,2026-05-12,34.8,-0.026028547439126748,False,https://quote.eastmoney.com/sh605566.html,https://gu.qq.com/sh605566,,,,,
9,600984.SH,建设机械,工程机械,2026-05-11,14:30:00,4.88,2026-05-12,4.82,-0.012295081967213073,False,https://quote.eastmoney.com/sh600984.html,https://gu.qq.com/sh600984,,,,,
10,600391.SH,航发科技,航空,2026-05-11,14:30:00,44.04,2026-05-12,42.75,-0.029291553133514947,False,https://quote.eastmoney.com/sh600391.html,https://gu.qq.com/sh600391,,,,,
11,600222.SH,太龙药业,中成药,2026-05-11,14:30:00,7.74,2026-05-12,7.45,-0.03746770025839796,False,https://quote.eastmoney.com/sh600222.html,https://gu.qq.com/sh600222,,,,,
12,002997.SZ,瑞鹄模具,汽车配件,2026-05-11,14:30:00,35.36,2026-05-12,34.73,-0.01781674208144801,False,https://quote.eastmoney.com/sz002997.html,https://gu.qq.com/sz002997,,,,,
13,002629.SZ,仁智股份,石油开采,2026-05-11,14:30:00,7.19,2026-05-12,6.96,-0.03198887343532686,False,https://quote.eastmoney.com/sz002629.html,https://gu.qq.com/sz002629,,,,,
14,603938.SH,三孚股份,化工原料,2026-05-08,14:30:00,33.97,2026-05-11,35.53,0.04592287312334409,False,https://quote.eastmoney.com/sh603938.html,https://gu.qq.com/sh603938,,,,,
15,601868.SH,中国能建,建筑工程,2026-05-08,14:30:00,3.22,2026-05-11,3.25,0.009316770186335255,False,https://quote.eastmoney.com/sh601868.html,https://gu.qq.com/sh601868,,,,,
16,002729.SZ,好利科技,元器件,2026-05-08,14:30:00,20.85,2026-05-11,20.62,-0.011031175059952103,False,https://quote.eastmoney.com/sz002729.html,https://gu.qq.com/sz002729,,,,,
17,603269.SH,海鸥股份,机械基件,2026-05-07,14:30:00,17.06,2026-05-08,16.87,-0.011137162954278912,False,https://quote.eastmoney.com/sh603269.html,https://gu.qq.com/sh603269,,,,,
18,603162.SH,海通发展,水运,2026-05-07,14:30:00,17.0,2026-05-08,18.11,0.06529411764705872,False,https://quote.eastmoney.com/sh603162.html,https://gu.qq.com/sh603162,,,,,
19,002156.SZ,通富微电,半导体,2026-05-07,14:30:00,59.08,2026-05-08,57.16,-0.032498307379823954,False,https://quote.eastmoney.com/sz002156.html,https://gu.qq.com/sz002156,,,,,
20,002354.SZ,天娱数科,互联网,2026-05-06,14:30:00,6.37,2026-05-07,6.41,0.006279434850863463,False,https://quote.eastmoney.com/sz002354.html,https://gu.qq.com/sz002354,,,,,
