rank,ts_code,name,industry,tradeDate,targetTime,dailyClose,nextTradeDate,nextClose,dailyEntryReturnToNextClose,nextLimitUpClose,eastmoneyUrl,tencentUrl,manualMatchedTime,manual1430Price,manualSource,manualCheckedAt,manualNotes
1,603890.SH,春秋电子,元器件,2026-06-03,14:30:00,31.33,2026-06-04,29.36,-0.06287902968400894,False,https://quote.eastmoney.com/sh603890.html,https://gu.qq.com/sh603890,,,,,
2,600459.SH,贵研铂业,小金属,2026-06-03,14:30:00,24.2,2026-06-04,24.24,0.0016528925619834212,False,https://quote.eastmoney.com/sh600459.html,https://gu.qq.com/sh600459,,,,,
3,600280.SH,中央商场,百货,2026-06-03,14:30:00,3.99,2026-06-04,3.59,-0.10025062656641615,False,https://quote.eastmoney.com/sh600280.html,https://gu.qq.com/sh600280,,,,,
4,002522.SZ,浙江众成,塑料,2026-06-03,14:30:00,6.7,2026-06-04,7.1,0.05970149253731338,False,https://quote.eastmoney.com/sz002522.html,https://gu.qq.com/sz002522,,,,,
5,603007.SH,顺景科技,建筑工程,2026-06-02,14:30:00,6.21,2026-06-03,6.16,-0.00805152979066015,False,https://quote.eastmoney.com/sh603007.html,https://gu.qq.com/sh603007,,,,,
6,002995.SZ,天地在线,互联网,2026-06-02,14:30:00,26.0,2026-06-03,25.03,-0.037307692307692264,False,https://quote.eastmoney.com/sz002995.html,https://gu.qq.com/sz002995,,,,,
7,002871.SZ,伟隆股份,机械基件,2026-06-02,14:30:00,22.81,2026-06-03,22.57,-0.01052170100832961,False,https://quote.eastmoney.com/sz002871.html,https://gu.qq.com/sz002871,,,,,
8,002173.SZ,创新医疗,医疗保健,2026-06-02,14:30:00,17.79,2026-06-03,17.96,0.009555930297920234,False,https://quote.eastmoney.com/sz002173.html,https://gu.qq.com/sz002173,,,,,
9,301565.SZ,中仑新材,塑料,2026-05-29,14:30:00,29.02,2026-06-02,26.55,-0.08511371467953133,False,https://quote.eastmoney.com/sz301565.html,https://gu.qq.com/sz301565,,,,,
10,002639.SZ,雪人集团,专用机械,2026-05-29,14:30:00,17.18,2026-06-02,15.73,-0.08440046565774151,False,https://quote.eastmoney.com/sz002639.html,https://gu.qq.com/sz002639,,,,,
11,000720.SZ,新能泰山,电气设备,2026-05-29,14:30:00,5.28,2026-06-02,5.41,0.024621212121212155,False,https://quote.eastmoney.com/sz000720.html,https://gu.qq.com/sz000720,,,,,
12,600173.SH,卧龙新能,全国地产,2026-05-27,14:30:00,7.6,2026-05-28,7.28,-0.042105263157894646,False,https://quote.eastmoney.com/sh600173.html,https://gu.qq.com/sh600173,,,,,
13,603990.SH,麦迪科技,软件服务,2026-05-26,14:30:00,19.45,2026-05-27,19.59,0.007197943444730015,False,https://quote.eastmoney.com/sh603990.html,https://gu.qq.com/sh603990,,,,,
14,603661.SH,恒林股份,家居用品,2026-05-26,14:30:00,37.47,2026-05-27,33.72,-0.10008006405124104,False,https://quote.eastmoney.com/sh603661.html,https://gu.qq.com/sh603661,,,,,
15,600592.SH,龙溪股份,机械基件,2026-05-26,14:30:00,21.98,2026-05-27,21.18,-0.036396724294813554,False,https://quote.eastmoney.com/sh600592.html,https://gu.qq.com/sh600592,,,,,
16,300196.SZ,长海股份,玻璃,2026-05-26,14:30:00,24.75,2026-05-27,23.93,-0.03313131313131312,False,https://quote.eastmoney.com/sz300196.html,https://gu.qq.com/sz300196,,,,,
17,002056.SZ,横店东磁,电气设备,2026-05-26,14:30:00,23.45,2026-05-27,24.52,0.045628997867803944,False,https://quote.eastmoney.com/sz002056.html,https://gu.qq.com/sz002056,,,,,
18,000926.SZ,福星股份,区域地产,2026-05-26,14:30:00,2.37,2026-05-27,2.28,-0.03797468354430389,False,https://quote.eastmoney.com/sz000926.html,https://gu.qq.com/sz000926,,,,,
19,603890.SH,春秋电子,元器件,2026-05-25,14:30:00,23.84,2026-05-26,24.27,0.018036912751677736,False,https://quote.eastmoney.com/sh603890.html,https://gu.qq.com/sh603890,,,,,
20,603678.SH,火炬电子,元器件,2026-05-25,14:30:00,39.5,2026-05-26,40.64,0.02886075949367095,False,https://quote.eastmoney.com/sh603678.html,https://gu.qq.com/sh603678,,,,,
