rule,horizon,event_count,mean_return,median_return,win_rate,best_return,worst_return,market_regime
ma5_cross_up_ma20_above_ma60,5,45721,-0.006043739588406032,-0.010973092696770936,0.4055904289057545,0.9745005584314212,-0.5496452451061571,risk_on
ma5_cross_up_ma20_above_ma60,10,45669,-0.009604573394323614,-0.01807336215512023,0.40138825023538943,2.4813614282732277,-0.5794832827034855,risk_on
ma5_cross_up_ma20_above_ma60,20,45193,-0.019404705951063802,-0.03425757663415019,0.3815413891531874,4.041256777943274,-0.6907212560340837,risk_on
ma5_cross_up_ma20_above_ma60,60,44535,-0.0037293031182513646,-0.042751412577147874,0.3889974177613113,5.081950960406351,-0.883867458542618,risk_on
ma5_gt_ma20_3d_filtered,5,76449,-0.0017643703065998203,-0.008713052876771266,0.429449698491805,0.9718737974411236,-0.5395237833247382,risk_on
ma5_gt_ma20_3d_filtered,10,75725,-0.0023074323699597554,-0.011443836753572967,0.43672499174645096,1.558761074335362,-0.5900641914045885,risk_on
ma5_gt_ma20_3d_filtered,20,74411,-0.004392128697823247,-0.02195275625217774,0.41867465831664674,2.485999268219542,-0.8414720849744411,risk_on
ma5_gt_ma20_3d_filtered,60,73192,-0.007314594462051227,-0.04353634394866812,0.38767898130943274,8.194280676887306,-0.7983343873054614,risk_on
ma5_gt_ma20_3d_filtered_top10,5,6372,-0.006496705424417455,-0.01908758250228304,0.39987445072190836,0.9718737974411236,-0.493772881137859,risk_on
ma5_gt_ma20_3d_filtered_top10,10,6351,-0.011463118678245236,-0.03201982228822697,0.38072744449692963,1.0700552750028063,-0.5572345152819966,risk_on
ma5_gt_ma20_3d_filtered_top10,20,6307,-0.020555792962621087,-0.051162896176321526,0.3575392421119391,2.4762847221412723,-0.8414720849744411,risk_on
ma5_gt_ma20_3d_filtered_top10,60,6203,-0.028618286103130375,-0.08192313474300428,0.34225374818636145,3.717363145169834,-0.7983343873054614,risk_on
ma5_gt_ma20_5pct_3d,5,49831,-0.009301340734036049,-0.018911069155738924,0.3767734944111096,5.049356181654766,-0.7990313882709954,risk_on
ma5_gt_ma20_5pct_3d,10,49653,-0.008027083396735553,-0.020283759781437816,0.4004793265260911,4.908261586322068,-0.823147621678476,risk_on
ma5_gt_ma20_5pct_3d,20,48701,-0.007585096509980382,-0.02964614146944078,0.40208619946202334,4.432774470939328,-0.9038795839901846,risk_on
ma5_gt_ma20_5pct_3d,60,47935,-0.014162797524901169,-0.060116266438636545,0.3627620736413894,5.218286823898848,-0.9410407542877053,risk_on
