horizon,initial_cash,ending_equity,total_return,trade_count,skipped_count,max_positions,target_position_pct,volume_capacity_pct,rule
5,1000000.0,298368.3783000018,-0.7016316216999983,3350,42678,20,0.05,0.05,ma5_cross_up_ma20_above_ma60
10,1000000.0,624628.3390000004,-0.37537166099999963,1618,44332,20,0.05,0.05,ma5_cross_up_ma20_above_ma60
20,1000000.0,385786.9190500009,-0.614213080949999,776,44912,20,0.05,0.05,ma5_cross_up_ma20_above_ma60
60,1000000.0,862409.640600001,-0.13759035939999897,320,44416,20,0.05,0.05,ma5_cross_up_ma20_above_ma60
5,1000000.0,466243.82045000244,-0.5337561795499975,3381,73621,20,0.05,0.05,ma5_gt_ma20_3d_filtered
10,1000000.0,685545.0319500004,-0.3144549680499995,1620,74838,20,0.05,0.05,ma5_gt_ma20_3d_filtered
20,1000000.0,601190.978100001,-0.398809021899999,780,74097,20,0.05,0.05,ma5_gt_ma20_3d_filtered
60,1000000.0,679508.626050001,-0.32049137394999894,316,73239,20,0.05,0.05,ma5_gt_ma20_3d_filtered
5,1000000.0,174860.116100002,-0.825139883899998,3338,3166,20,0.05,0.05,ma5_gt_ma20_3d_filtered_top10
10,1000000.0,338600.244100001,-0.661399755899999,1593,4861,20,0.05,0.05,ma5_gt_ma20_3d_filtered_top10
20,1000000.0,375015.1158500001,-0.6249848841499999,780,5604,20,0.05,0.05,ma5_gt_ma20_3d_filtered_top10
60,1000000.0,377159.1105499999,-0.6228408894500002,317,5943,20,0.05,0.05,ma5_gt_ma20_3d_filtered_top10
5,1000000.0,241024.0352500017,-0.7589759647499983,3377,47041,20,0.05,0.05,ma5_gt_ma20_5pct_3d
10,1000000.0,323340.179700001,-0.6766598202999989,1616,48556,20,0.05,0.05,ma5_gt_ma20_5pct_3d
20,1000000.0,604515.2188500008,-0.3954847811499992,780,48327,20,0.05,0.05,ma5_gt_ma20_5pct_3d
60,1000000.0,445065.46710000024,-0.5549345328999997,318,47909,20,0.05,0.05,ma5_gt_ma20_5pct_3d
