ts_code,industry,signal_date,rule,score,pe_ttm,pb,total_mv,amount_ma20,roe,netprofit_margin,debt_to_assets,tr_yoy,netprofit_yoy,undervalued_days_60,industry_rebound_20d,industry_ma20_slope_5d,entry_date,entry_open,exit_20d_date,exit_20d_close,return_20d,exit_60d_date,exit_60d_close,return_60d,exit_120d_date,exit_120d_close,return_120d,exit_180d_date,exit_180d_close,return_180d,exit_360d_date,exit_360d_close,return_360d
601163.SH,汽车配件,2023-10-27,value_quality_sector_stopfall,1.6326146494475917,9.0996,0.9617,1205600.0,69109.6007,8.7278,13.4387,31.7369,15.6531,124.893,60.0,0.07737348428142088,0.005945831832837589,2023-10-30,15.0,2023-11-24,15.0,-0.0022,2024-01-22,14.52,-0.03420000000000003,2024-04-25,18.23,0.21313333333333337,2024-07-24,14.27,-0.05086666666666675,2025-04-23,14.09,-0.06286666666666664
601163.SH,汽车配件,2023-10-30,value_quality_sector_stopfall,1.6258353387978621,9.1358,0.9655,1210400.0,71751.94210000001,8.7278,13.4387,31.7369,15.6531,124.893,60.0,0.07306576536126519,0.008420906769930347,2023-10-31,15.08,2023-11-27,15.07,-0.002863129973474841,2024-01-23,14.58,-0.03535649867374004,2024-04-26,18.32,0.21265411140583554,2024-07-25,14.4,-0.0472928381962864,2025-04-24,13.95,-0.07713368700265257
601098.SH,出版业,2023-10-30,value_quality_sector_stopfall,1.0719230290626949,13.0574,1.3797,2042052.0,157309.52909999999,8.3931,14.0436,37.5437,5.9285,15.3766,49.0,0.05813525793109897,0.00023710446492919424,2023-10-31,11.39,2023-11-27,11.49,0.006579631255487307,2024-01-23,10.09,-0.11633520632133455,2024-04-26,12.35,0.08208446005267776,2024-07-25,12.02,0.05311167690956962,2025-04-24,14.34,0.2567991220368744
601163.SH,汽车配件,2023-10-31,value_quality_sector_stopfall,1.6273226174957742,9.0151,0.9528,1194400.0,71984.89415,8.7278,13.4387,31.7369,15.6531,124.893,60.0,0.05598692100474345,0.010473696491030582,2023-11-01,14.93,2023-11-28,15.19,0.015214601473543234,2024-01-24,14.75,-0.014256262558606812,2024-04-29,17.23,0.15185224380442072,2024-07-26,14.56,-0.026982317481580663,2025-04-25,14.01,-0.06382089752176824
605577.SH,出版业,2023-10-31,value_quality_sector_stopfall,1.4911564461188427,10.4216,1.5423,575555.5563,218610.01645,9.9907,21.7643,31.9174,14.6227,26.2607,47.0,0.06052791337633279,0.00029719940917649623,2023-11-01,12.55,2023-11-28,16.28,0.295011155378486,2024-01-24,28.0,1.2288756972111552,2024-04-29,17.77,0.4137362549800796,2024-07-26,14.04,0.1165250996015934,2025-04-25,12.1,-0.03805657370517936
601019.SH,出版业,2023-10-31,value_quality_sector_stopfall,1.4763917794521761,9.5818,1.252,1723779.4,56635.823749999996,9.242,15.5802,37.9984,9.5051,10.1623,55.0,0.06052791337633279,0.00029719940917649623,2023-11-01,8.19,2023-11-28,8.98,0.09425909645909657,2024-01-24,8.48,0.033209035409035505,2024-04-29,10.04,0.22368522588522574,2024-07-26,10.98,0.3384593406593408,2025-04-25,8.64,0.05274505494505497
000589.SZ,汽车配件,2023-10-31,value_quality_sector_stopfall,1.3380512841624408,9.6436,1.1417,772848.5408,121535.63385000001,9.3696,9.0254,60.0705,12.5661,145.8808,45.0,0.05598692100474345,0.010473696491030582,2023-11-01,6.47,2023-11-28,6.44,-0.006836785162287383,2024-01-24,5.75,-0.1134828438948995,2024-04-29,6.43,-0.008382380216383288,2024-07-26,4.76,-0.26649675425038644,2025-04-25,4.53,-0.30204544049459037
000521.SZ,家用电器,2023-10-31,value_quality_sector_stopfall,1.0987230124129157,10.4213,1.084,605595.1444,120689.42574999998,9.2753,2.7076,69.1325,24.6644,207.5086,47.0,0.05471049028999242,0.00016718878958998928,2023-11-01,5.87,2023-11-28,6.16,0.047203747870528036,2024-01-24,6.9,0.17326848381601365,2024-04-29,9.33,0.5872378194207837,2024-07-26,7.52,0.2788902896081771,2025-04-25,7.75,0.31807257240204434
601098.SH,出版业,2023-10-31,value_quality_sector_stopfall,1.080709112785509,13.0114,1.3748,2034868.0,151056.7096,8.3931,14.0436,37.5437,5.9285,15.3766,49.0,0.06052791337633279,0.00029719940917649623,2023-11-01,11.26,2023-11-28,11.09,-0.017297690941385467,2024-01-24,10.53,-0.06703126110124337,2024-04-29,11.63,0.03065968028419184,2024-07-26,11.86,0.05108596802841923,2025-04-25,14.16,0.2553488454706927
601163.SH,汽车配件,2023-11-01,value_quality_sector_stopfall,1.6562000800936856,9.0332,0.9547,1196800.0,73310.33965000001,8.7278,13.4387,31.7369,15.6531,124.893,60.0,0.08526816770579604,0.012543245721222895,2023-11-02,14.95,2023-11-29,15.05,0.004488963210702336,2024-01-25,15.09,0.00716454849498336,2024-04-30,17.19,0.14763277591973265,2024-07-29,14.4,-0.03898929765886285,2025-04-28,13.66,-0.08848762541806011
