industry,signal_count,avg_score
水务,268,1.7071342481513108
煤炭开采,248,1.9171004864135728
港口,246,1.8422542270950373
建筑工程,209,1.2219104763212743
汽车配件,208,1.336673372439842
火力发电,206,1.5412624766243865
路桥,199,2.2069619346312366
环境保护,178,1.5000509517862022
家用电器,175,1.085795677429816
出版业,168,1.2975893663849423
水运,157,1.2373661151668793
化工原料,143,1.1290734122589767
造纸,123,0.9027980061203618
农药化肥,119,1.169493626968802
中成药,102,0.9891002930066722
纺织,97,1.2679655607008131
医药商业,93,0.9588058920083515
铝,87,1.2178569131624186
饲料,86,0.8907252849974038
特种钢,64,1.0069837953818304
食品,63,1.4671150645217481
石油开采,61,1.1067689482381533
铜,59,1.006284502981341
钢加工,58,1.8332803118476912
铅锌,56,0.9030625407102726
电气设备,49,1.4553220928751687
新型电力,48,1.6078678715966255
铁路,42,1.8350245085368355
机场,41,1.4947079581879446
玻璃,35,1.4757067909360062
仓储物流,31,1.5075013210365518
工程机械,28,1.131923364175148
文教休闲,27,1.2067827702460459
化纤,25,0.8243582370062902
纺织机械,22,1.4121586495416212
化学制药,21,1.473395845153851
专用机械,21,1.2086681410403823
互联网,20,1.9380440002084551
供气供热,15,0.7483255496968558
水泥,13,1.5369627438266633
通信设备,10,0.9806917290266559
普钢,7,0.769125014318554
服饰,6,1.0300792079992764
商贸代理,3,1.0951781117120793
运输设备,2,1.304253739019614
