ts_code,industry,signal_date,rule,score,pe_ttm,pb,total_mv,amount_ma20,roe,netprofit_margin,debt_to_assets,tr_yoy,netprofit_yoy,undervalued_days_60,industry_rebound_20d,industry_ma20_slope_5d
601163.SH,汽车配件,2023-10-27,value_quality_sector_stopfall,1.6326146494475917,9.0996,0.9617,1205600.0,69109.6007,8.7278,13.4387,31.7369,15.6531,124.893,60.0,0.07737348428142088,0.005945831832837589
601163.SH,汽车配件,2023-10-30,value_quality_sector_stopfall,1.6258353387978621,9.1358,0.9655,1210400.0,71751.94210000001,8.7278,13.4387,31.7369,15.6531,124.893,60.0,0.07306576536126519,0.008420906769930347
601098.SH,出版业,2023-10-30,value_quality_sector_stopfall,1.0719230290626949,13.0574,1.3797,2042052.0,157309.52909999999,8.3931,14.0436,37.5437,5.9285,15.3766,49.0,0.05813525793109897,0.00023710446492919424
601163.SH,汽车配件,2023-10-31,value_quality_sector_stopfall,1.6273226174957742,9.0151,0.9528,1194400.0,71984.89415,8.7278,13.4387,31.7369,15.6531,124.893,60.0,0.05598692100474345,0.010473696491030582
605577.SH,出版业,2023-10-31,value_quality_sector_stopfall,1.4911564461188427,10.4216,1.5423,575555.5563,218610.01645,9.9907,21.7643,31.9174,14.6227,26.2607,47.0,0.06052791337633279,0.00029719940917649623
601019.SH,出版业,2023-10-31,value_quality_sector_stopfall,1.4763917794521761,9.5818,1.252,1723779.4,56635.823749999996,9.242,15.5802,37.9984,9.5051,10.1623,55.0,0.06052791337633279,0.00029719940917649623
000589.SZ,汽车配件,2023-10-31,value_quality_sector_stopfall,1.3380512841624408,9.6436,1.1417,772848.5408,121535.63385000001,9.3696,9.0254,60.0705,12.5661,145.8808,45.0,0.05598692100474345,0.010473696491030582
000521.SZ,家用电器,2023-10-31,value_quality_sector_stopfall,1.0987230124129157,10.4213,1.084,605595.1444,120689.42574999998,9.2753,2.7076,69.1325,24.6644,207.5086,47.0,0.05471049028999242,0.00016718878958998928
601098.SH,出版业,2023-10-31,value_quality_sector_stopfall,1.080709112785509,13.0114,1.3748,2034868.0,151056.7096,8.3931,14.0436,37.5437,5.9285,15.3766,49.0,0.06052791337633279,0.00029719940917649623
601163.SH,汽车配件,2023-11-01,value_quality_sector_stopfall,1.6562000800936856,9.0332,0.9547,1196800.0,73310.33965000001,8.7278,13.4387,31.7369,15.6531,124.893,60.0,0.08526816770579604,0.012543245721222895
000589.SZ,汽车配件,2023-11-01,value_quality_sector_stopfall,1.3650087467603522,9.6735,1.1453,775244.9704,116220.29175,9.3696,9.0254,60.0705,12.5661,145.8808,46.0,0.08526816770579604,0.012543245721222895
000521.SZ,家用电器,2023-11-01,value_quality_sector_stopfall,1.1034041032906905,10.4567,1.0877,607654.9919,121853.4394,9.2753,2.7076,69.1325,24.6644,207.5086,48.0,0.06256711849475738,0.0018183181292663608
601163.SH,汽车配件,2023-11-02,value_quality_sector_stopfall,1.6632134481933818,8.9487,0.9457,1185600.0,72215.77125,8.7278,13.4387,31.7369,15.6531,124.893,60.0,0.07980826296393406,0.013383185229447925
601019.SH,出版业,2023-11-02,value_quality_sector_stopfall,1.4577809534085107,10.0574,1.3141,1809342.3,63972.366500000004,9.242,15.5802,37.9984,9.5051,10.1623,55.0,0.11471814504016153,0.0006028083683491392
605577.SH,出版业,2023-11-02,value_quality_sector_stopfall,1.4345989534085106,12.0874,1.7889,667555.5564,261829.32185000004,9.9907,21.7643,31.9174,14.6227,26.2607,45.0,0.11471814504016153,0.0006028083683491392
