date,股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率
2024-06-03,000001,9.2,9.06,9.21,8.99,1326697,1456086023.62,2.39,-1.41,-0.13,0.68
2024-06-04,000001,9.03,9.1,9.13,8.99,981005,1079356560.61,1.55,0.44,0.04,0.51
2024-06-05,000001,9.12,8.95,9.15,8.95,1018968,1114155998.81,2.2,-1.65,-0.15,0.53
2024-06-06,000001,8.98,8.98,9.06,8.96,1049332,1145989425.79,1.12,0.34,0.03,0.54
2024-06-07,000001,9.0,9.07,9.09,8.97,1170126,1281662985.8,1.34,1.0,0.09,0.6
2024-06-11,000001,9.06,8.95,9.1,8.87,1337629,1452841956.89,2.54,-1.32,-0.12,0.69
2024-06-12,000001,8.93,8.96,8.99,8.86,957426,1037927497.39,1.45,0.11,0.01,0.49
2024-06-13,000001,8.97,8.88,9.01,8.88,1203508,1304403407.05,1.45,-0.89,-0.08,0.62
2024-06-14,000001,8.95,8.98,9.03,8.79,1637990,1657433954.94,2.7,1.13,0.1,0.84
2024-06-17,000001,8.93,8.9,8.96,8.88,681217,688669914.12,0.89,-0.89,-0.08,0.35
2024-06-18,000001,8.91,8.88,8.96,8.84,700653,707829471.51,1.35,-0.22,-0.02,0.36
2024-06-19,000001,8.9,8.95,9.01,8.88,796184,807676192.22,1.46,0.79,0.07,0.41
2024-06-20,000001,8.96,8.85,8.97,8.85,629628,635070262.4,1.34,-1.12,-0.1,0.32
2024-06-21,000001,8.85,8.8,8.89,8.75,830545,831176895.42,1.58,-0.56,-0.05,0.43
2024-06-24,000001,8.77,8.78,8.87,8.68,947082,944907465.65,2.16,-0.23,-0.02,0.49
2024-06-25,000001,8.79,8.88,8.93,8.78,769993,775332071.89,1.71,1.14,0.1,0.4
2024-06-26,000001,8.86,8.88,8.93,8.82,628599,633763882.09,1.24,0.0,0.0,0.32
2024-06-27,000001,8.86,8.93,9.01,8.8,928882,938954397.5,2.36,0.56,0.05,0.48
2024-06-28,000001,8.9,8.95,9.06,8.89,918090,933947813.42,1.9,0.22,0.02,0.47
2024-07-01,000001,8.89,9.15,9.15,8.84,1343051,1372549619.58,3.46,2.23,0.2,0.69
2024-07-02,000001,9.1,9.2,9.28,9.08,1384386,1440864390.61,2.19,0.55,0.05,0.71
2024-07-03,000001,9.2,9.11,9.23,9.09,713067,737326421.16,1.52,-0.98,-0.09,0.37
2024-07-04,000001,9.1,9.06,9.18,9.05,735044,757464386.79,1.43,-0.55,-0.05,0.38
2024-07-05,000001,9.06,8.77,9.09,8.72,1713354,1721256576.49,4.08,-3.2,-0.29,0.88
2024-07-08,000001,8.74,8.73,8.82,8.65,868660,864791776.33,1.94,-0.46,-0.04,0.45
2024-07-09,000001,8.74,8.87,8.9,8.71,1032485,1034316510.76,2.18,1.6,0.14,0.53
2024-07-10,000001,8.87,8.94,9.0,8.85,873865,886626727.3,1.69,0.79,0.07,0.45
2024-07-11,000001,9.01,8.93,9.03,8.87,721392,731789332.33,1.79,-0.11,-0.01,0.37
2024-07-12,000001,8.92,9.11,9.11,8.92,1214164,1246877665.6,2.13,2.02,0.18,0.63
2024-07-15,000001,9.11,9.13,9.15,9.06,869412,896975833.16,0.99,0.22,0.02,0.45
