date,open,close,high,low,amount
2024-06-03,11.77,11.57,11.78,11.45,32273.0
2024-06-04,11.48,11.77,11.8,11.4,37336.0
2024-06-05,11.72,11.5,11.84,11.49,20731.0
2024-06-06,11.44,11.17,11.59,11.01,32221.0
2024-06-07,11.16,11.31,11.35,11.15,25049.0
2024-06-11,11.32,11.32,11.38,11.06,23968.0
2024-06-12,11.36,11.06,11.38,11.04,22888.0
2024-06-13,11.13,10.95,11.17,10.87,20007.0
2024-06-14,10.96,11.09,11.14,10.88,25259.0
2024-06-17,11.0,10.94,11.12,10.93,18944.0
2024-06-18,10.82,11.04,11.06,10.82,24348.0
2024-06-19,11.04,10.94,11.1,10.92,18200.0
2024-06-20,10.98,10.8,11.0,10.74,23967.0
2024-06-21,10.76,10.74,10.89,10.66,18854.0
2024-06-24,10.69,10.36,10.72,10.28,26121.0
2024-06-25,10.4,10.61,10.81,10.29,28957.0
2024-06-26,10.61,10.77,10.81,10.53,24485.0
2024-06-27,10.79,10.65,10.9,10.59,24499.0
2024-06-28,10.49,10.6,10.81,10.49,22989.0
2024-07-01,10.79,10.88,11.08,10.72,49797.0
2024-07-02,10.88,11.06,11.17,10.78,29855.0
2024-07-03,11.04,11.34,11.38,11.0,27870.0
2024-07-04,11.32,10.92,11.34,10.85,30089.0
2024-07-05,10.78,10.83,11.0,10.78,17920.0
2024-07-08,10.84,10.59,10.87,10.56,21608.0
2024-07-09,10.57,10.59,10.7,10.32,25472.0
2024-07-10,10.58,10.39,10.58,10.34,23645.0
2024-07-11,10.56,10.55,10.68,10.45,18652.0
2024-07-12,10.58,10.64,10.95,10.57,32166.0
2024-07-15,10.62,10.38,10.68,10.33,28789.0
2024-07-16,10.31,10.26,10.37,10.16,25860.0
2024-07-17,10.28,10.45,10.63,10.22,30378.0
2024-07-18,10.37,10.39,10.43,10.25,20230.0
2024-07-19,10.37,10.17,10.37,10.08,23459.0
2024-07-22,10.17,10.29,10.35,10.09,20050.0
2024-07-23,10.31,10.29,10.53,10.25,24761.0
2024-07-24,10.29,10.06,10.31,10.01,20290.0
2024-07-25,9.97,10.29,10.3,9.97,20332.0
2024-07-26,10.36,10.39,10.44,10.27,16432.0
2024-07-29,10.37,10.24,10.42,10.18,14630.0
2024-07-30,10.17,10.42,10.46,10.16,17512.0
2024-07-31,10.41,10.65,10.65,10.4,24926.0
2024-08-01,10.68,10.54,10.77,10.4,28809.0
2024-08-02,10.53,10.57,10.82,10.45,35368.0
