date,open,high,low,close,volume,amount
2024-06-03,6.55,6.56,6.42,6.49,385803.6,258527.604
2024-06-04,6.45,6.53,6.45,6.53,303211.59,203123.548
2024-06-05,6.52,6.54,6.45,6.46,248144.8,166389.691
2024-06-06,6.48,6.49,6.27,6.29,516971.3,337990.133
2024-06-07,6.31,6.36,6.15,6.3,480706.05,310800.725
2024-06-11,6.23,6.35,6.22,6.27,247648.48,160735.734
2024-06-12,6.27,6.32,6.25,6.3,202773.3,131532.826
2024-06-13,6.3,6.32,6.23,6.26,212978.93,137708.684
2024-06-14,6.26,6.42,6.22,6.37,509663.95,332350.696
2024-06-17,6.32,6.4,6.26,6.37,271521.12,177992.196
2024-06-18,6.37,6.46,6.37,6.43,271912.71,180065.688
2024-06-19,6.46,6.5,6.36,6.37,230649.71,152617.767
2024-06-20,6.35,6.38,6.25,6.26,253825.75,165249.094
2024-06-21,6.69,6.79,6.54,6.56,1730799.34,1189885.167
2024-06-24,6.43,6.56,6.35,6.37,1059495.99,704093.765
2024-06-25,6.31,6.34,6.16,6.17,695618.71,445952.098
2024-06-26,6.16,6.27,6.12,6.26,458147.18,289126.031
2024-06-27,6.21,6.21,6.09,6.1,413632.04,259117.001
2024-06-28,6.12,6.21,6.0,6.09,516169.42,321968.902
2024-07-01,6.06,6.13,6.0,6.11,326497.7,201645.109
2024-07-02,6.1,6.15,6.05,6.07,261468.54,162068.287
2024-07-03,6.05,6.1,6.03,6.07,202973.79,125356.858
2024-07-04,6.07,6.1,5.91,5.92,355338.97,216036.282
2024-07-05,5.93,6.02,5.87,5.99,293346.38,177658.143
2024-07-08,5.97,5.98,5.85,5.86,256895.1,154205.25
2024-07-09,5.85,6.03,5.84,6.02,348668.66,210775.075
2024-07-10,6.01,6.08,5.97,5.98,268835.23,164456.328
2024-07-11,6.05,6.08,6.0,6.07,337899.56,207879.791
2024-07-12,6.05,6.09,6.02,6.06,205361.6,126368.317
2024-07-15,6.04,6.06,5.99,6.01,176494.52,107845.704
2024-07-16,6.0,6.03,5.97,6.01,195366.16,119220.298
2024-07-17,6.01,6.06,6.0,6.03,219535.28,134842.046
2024-07-18,6.02,6.06,5.91,6.06,298160.19,181640.75
2024-07-19,6.04,6.1,6.01,6.1,312160.82,192695.162
2024-07-22,6.14,6.16,6.03,6.08,305913.98,189455.567
2024-07-23,6.07,6.11,5.94,5.95,280624.44,172012.31
2024-07-24,5.93,5.96,5.84,5.85,265327.46,158990.356
2024-07-25,5.81,5.99,5.8,5.95,275612.45,166307.224
2024-07-26,5.94,6.11,5.93,6.09,368227.09,227234.643
2024-07-29,6.08,6.13,6.06,6.09,242436.51,150309.359
2024-07-30,6.06,6.13,6.05,6.11,210304.6,130422.392
2024-07-31,6.12,6.52,6.12,6.42,846320.38,546416.999
2024-08-01,6.39,6.46,6.36,6.44,526189.4,344119.039
2024-08-02,6.4,6.46,6.29,6.31,306883.54,198814.618
2024-08-05,6.25,6.41,6.23,6.23,335088.15,215067.629
2024-08-06,6.28,6.34,6.18,6.25,219237.4,139210.499
2024-08-07,6.24,6.3,6.2,6.23,189445.57,120219.374
2024-08-08,6.23,6.35,6.2,6.24,276740.52,176488.506
2024-08-09,6.33,6.36,6.19,6.19,219136.0,139457.431
2024-08-12,6.15,6.2,6.14,6.17,180428.72,113018.893
2024-08-13,6.17,6.26,6.15,6.26,185114.76,116907.228
2024-08-14,6.23,6.28,6.21,6.21,162902.07,103457.942
2024-08-15,6.21,6.34,6.19,6.26,241094.07,153875.104
2024-08-16,6.27,6.27,6.18,6.2,193489.26,122384.689
2024-08-19,6.24,6.26,6.18,6.25,177277.05,112435.127
2024-08-20,6.24,6.25,6.14,6.16,197360.64,124193.4
2024-08-21,6.15,6.19,6.12,6.15,138361.91,86558.11
2024-08-22,6.37,6.45,6.15,6.15,714296.5,457989.042
2024-08-23,6.09,6.24,6.09,6.21,406185.52,255019.965
2024-08-26,6.24,6.52,6.2,6.38,671999.78,436598.446
2024-08-27,6.32,6.32,6.2,6.24,377564.91,239927.572
2024-08-28,6.2,6.24,6.15,6.19,260468.66,164022.341
2024-08-29,6.16,6.31,6.16,6.3,354219.94,225772.396
2024-08-30,6.26,6.47,6.24,6.38,700961.02,456159.899
2024-09-02,6.33,6.37,6.25,6.26,383467.32,245762.685
2024-09-03,6.25,6.32,6.24,6.28,241226.49,154244.09
2024-09-04,6.25,6.38,6.24,6.29,270777.88,173978.738
2024-09-05,6.29,6.35,6.27,6.33,208027.61,133603.582
2024-09-06,6.41,6.48,6.33,6.34,641257.09,417864.401
2024-09-09,6.27,6.41,6.22,6.32,378036.76,243146.378
2024-09-10,6.32,6.33,6.17,6.3,319339.44,203206.129
2024-09-11,6.27,6.31,6.2,6.25,210929.48,134091.118
2024-09-12,6.24,6.29,6.2,6.23,198854.48,126424.223
2024-09-13,6.23,6.32,6.22,6.23,226653.87,144479.199
2024-09-18,6.22,6.23,6.06,6.16,284411.28,177632.864
2024-09-19,6.2,6.37,6.15,6.32,381031.96,243838.534
2024-09-20,6.31,6.33,6.25,6.31,209488.75,134026.359
2024-09-23,6.31,6.34,6.27,6.29,175579.3,112520.958
2024-09-24,6.34,6.63,6.29,6.62,866824.67,573701.1
