date,symbol,side,shares,price,value,reason,cash_after
2025-02-27,002354,buy,2500.0,7.7,19250.0,next_day_entry,730.7500000000036
2025-02-28,600186,buy,100.0,6.71,671.0,next_day_entry,59.0790000000037
2025-03-03,002354,sell,2500.0,6.75,16875.0,stop_loss_5,16917.204000000005
2025-03-04,603881,buy,600.0,27.44,16464.0,next_day_entry,436.74000000000524
2025-03-05,600186,sell,100.0,7.08,708.0,take_profit_5,1144.0320000000052
2025-03-05,603881,sell,600.0,30.58,18348.0,take_profit_5,19473.684000000005
2025-03-06,600602,buy,800.0,23.77,19016.0,next_day_entry,438.6680000000051
2025-03-07,600602,sell,800.0,27.11,21688.0,take_profit_5,22104.980000000007
2025-03-10,000679,buy,3200.0,6.78,21696.0,next_day_entry,387.28400000001056
2025-03-13,000679,sell,3200.0,7.21,23072.0,take_profit_5,23436.21200000001
2025-03-14,002575,buy,2400.0,9.72,23328.0,next_day_entry,84.88400000001275
2025-03-17,002575,sell,2400.0,10.29,24695.999999999996,take_profit_5,24756.18800000001
2025-03-18,605066,buy,3100.0,7.86,24366.0,next_day_entry,365.82200000001103
2025-03-24,605066,sell,3100.0,7.41,22971.0,stop_loss_5,23313.85100000001
2025-06-10,600793,buy,700.0,29.29,20503.0,next_day_entry,2790.3480000000127
2025-06-12,600793,sell,700.0,27.7,19390.0,stop_loss_5,22160.958000000013
2025-06-25,600530,buy,2400.0,9.21,22104.000000000004,next_day_entry,34.854000000010274
2025-07-04,600530,sell,2400.0,8.68,20832.0,stop_loss_5,20846.02200000001
2025-07-07,002272,buy,1900.0,10.55,20045.0,next_day_entry,780.9770000000135
2025-07-14,002277,buy,100.0,6.04,604.0,next_day_entry,176.37300000001358
2025-07-15,002277,sell,100.0,5.88,588.0,break_bbi,763.7850000000136
2025-07-17,002272,sell,1900.0,11.15,21185.0,take_profit_5,21927.600000000013
2025-07-17,000530,buy,3300.0,6.52,21516.0,next_day_entry,390.0840000000171
2025-07-18,002210,buy,100.0,2.84,284.0,next_day_entry,105.80000000001712
2025-07-24,002210,sell,100.0,3.02,302.0,take_profit_5,407.4980000000171
2025-07-31,601011,buy,100.0,2.78,278.0,next_day_entry,129.22000000001714
2025-08-11,000530,sell,3300.0,6.87,22671.0,take_profit_5,22777.549000000017
2025-08-12,002436,buy,1300.0,16.61,21593.0,next_day_entry,1162.9560000000201
2025-08-13,000679,buy,100.0,9.01,901.0,next_day_entry,261.0550000000202
2025-08-14,601011,sell,100.0,2.69,269.0,break_bbi,529.7860000000202
2025-08-18,000679,sell,100.0,10.07,1007.0,take_profit_5,1535.7790000000202
2025-08-19,600629,buy,100.0,13.59,1359.0,next_day_entry,175.4200000000203
2025-08-21,600629,sell,100.0,14.5,1450.0,take_profit_5,1623.9700000000203
2025-08-22,002796,buy,100.0,13.29,1329.0,next_day_entry,293.6410000000203
2025-08-26,002436,sell,1300.0,17.76,23088.000000000004,take_profit_5,23358.553000000025
2025-08-26,002796,sell,100.0,14.26,1426.0,take_profit_5,24783.127000000026
2025-08-27,002245,buy,2100.0,11.68,24528.0,next_day_entry,230.59900000002744
2025-09-11,002245,sell,2100.0,12.3,25830.0,take_profit_5,26034.769000000026
2025-09-12,600410,buy,1300.0,19.4,25219.999999999996,next_day_entry,789.5490000000318
2025-09-15,002210,buy,200.0,3.48,696.0,next_day_entry,92.8530000000319
2025-09-16,600410,sell,1300.0,21.51,27963.000000000004,take_profit_5,28027.890000000036
2025-09-16,002210,sell,200.0,3.87,774.0,take_profit_5,28801.116000000035
2025-09-18,600693,buy,4500.0,6.26,28170.0,next_day_entry,602.9460000000363
2025-09-19,600693,sell,4500.0,6.22,27990.0,break_bbi,28564.956000000035
2025-10-10,002364,buy,1000.0,26.05,26050.0,next_day_entry,2488.906000000039
2025-10-13,002364,sell,1000.0,28.05,28050.0,take_profit_5,30510.85600000004
2025-10-13,002436,buy,1500.0,19.46,29190.0,next_day_entry,1291.6660000000447
2025-10-14,002436,sell,1500.0,18.74,28109.999999999996,break_bbi,29373.55600000004
2025-10-14,002245,buy,2300.0,12.6,28980.0,next_day_entry,364.5760000000446
2025-10-17,002245,sell,2300.0,11.65,26795.0,stop_loss_5,27132.781000000046
2025-11-04,600172,buy,4100.0,6.46,26486.0,next_day_entry,620.2950000000492
2025-11-10,600172,sell,4100.0,6.93,28413.0,take_profit_5,29004.88200000005
2025-11-11,600601,buy,2400.0,11.99,28776.0,next_day_entry,200.1060000000507
2025-11-12,600601,sell,2400.0,11.19,26856.0,stop_loss_5,27029.25000000005
2025-11-14,603759,buy,2300.0,11.47,26381.0,next_day_entry,621.8690000000533
2025-11-17,002210,buy,100.0,4.21,421.0,next_day_entry,200.4480000000534
2025-11-20,603759,sell,2300.0,10.87,25001.0,stop_loss_5,25176.447000000055
2025-11-21,002210,sell,100.0,3.85,385.0,stop_loss_5,25561.062000000056
2026-01-06,600865,buy,1500.0,16.26,24390.000000000004,next_day_entry,1146.6720000000569
2026-01-07,002491,buy,100.0,6.15,615.0,next_day_entry,531.057000000057
2026-01-08,600865,sell,1500.0,17.18,25770.0,take_profit_5,26275.287000000055
2026-01-08,600824,buy,5600.0,4.67,26152.0,next_day_entry,97.1350000000566
2026-01-16,600824,sell,5600.0,4.58,25648.0,break_bbi,25719.487000000056
2026-01-19,002009,buy,1100.0,21.8,23980.0,next_day_entry,1715.5070000000596
2026-01-20,002491,sell,100.0,5.88,588.0,break_bbi,2302.91900000006
2026-01-20,002195,buy,200.0,9.62,1923.9999999999998,next_day_entry,376.9950000000604
2026-01-21,002009,sell,1100.0,23.04,25344.0,take_profit_5,25695.65100000006
2026-01-22,002361,buy,2200.0,11.17,24574.0,next_day_entry,1097.077000000063
2026-01-23,002195,sell,200.0,10.51,2102.0,take_profit_5,3196.975000000063
2026-01-23,002361,sell,2200.0,12.46,27412.000000000004,take_profit_5,30581.563000000067
2026-01-26,002361,buy,2400.0,12.27,29448.0,next_day_entry,1104.1150000000707
2026-01-27,002361,sell,2400.0,11.58,27792.0,stop_loss_5,28868.32300000007
2026-01-27,000981,buy,6200.0,4.65,28830.000000000004,next_day_entry,9.493000000067696
2026-02-03,000981,sell,6200.0,4.92,30504.0,take_profit_5,30482.989000000067
2026-03-11,000852,buy,3700.0,8.02,29674.0,next_day_entry,779.3150000000714
2026-03-16,000852,sell,3700.0,7.89,29193.0,break_bbi,29943.122000000072
2026-04-29,002364,buy,700.0,39.41,27586.999999999996,next_day_entry,2328.53500000008
2026-05-06,002364,sell,700.0,44.87,31409.0,take_profit_5,33706.12600000008
2026-05-06,600590,buy,2100.0,15.94,33474.0,next_day_entry,198.6520000000819
2026-05-07,600590,sell,2100.0,17.0,35700.0,take_profit_5,35862.952000000085
2026-05-08,603958,buy,1500.0,23.21,34815.0,next_day_entry,1013.1370000000898
2026-05-14,603958,sell,1500.0,24.42,36630.0,take_profit_5,37606.50700000009
2026-05-15,002361,buy,2000.0,18.35,36700.0,next_day_entry,869.8070000000953
2026-05-18,002210,buy,200.0,3.02,604.0,next_day_entry,265.20300000009536
2026-05-19,002210,sell,200.0,2.95,590.0,break_bbi,854.6130000000953
2026-05-20,603126,buy,100.0,8.28,827.9999999999999,next_day_entry,25.78500000009558
2026-05-21,002361,sell,2000.0,17.3,34600.0,stop_loss_5,34591.1850000001
2026-05-21,603126,sell,100.0,8.01,801.0,break_bbi,35391.3840000001
