date,symbol,side,shares,price,value,reason,cash_after
2025-01-21,000333,buy,0.007099247479767144,70.43,0.5,next_day_entry,0.49950000000000006
2025-01-22,000333,sell,0.007099247479767144,69.03,0.49006105352832596,break_bbi,0.9890709924747977
2025-01-22,000429,buy,0.04004336001922258,12.35,0.4945354962373989,next_day_entry,0.4940409607411615
2025-01-24,000429,sell,0.04004336001922258,12.19,0.48812855863432325,break_bbi,0.9816813908168505
2025-01-27,000506,buy,0.12553470470803713,3.91,0.4908406954084252,next_day_entry,0.49034985471301684
2025-02-07,000338,buy,0.03652945523626388,13.41,0.4898599947182986,next_day_entry,0.0
2025-02-10,000506,sell,0.04142645255365225,4.41,0.18269065576160642,take_profit_8,0.18250796510584483
2025-02-10,000157,buy,0.027667016610983076,6.59,0.18232563946637848,next_day_entry,0.0
2025-02-11,000506,sell,0.02775572321094701,4.63,0.12850899846668465,take_profit_16,0.12838048946821795
2025-02-11,000007,buy,0.019056796022434912,6.73,0.12825223723098697,next_day_entry,0.0
2025-02-12,000007,sell,0.019056796022434912,6.72,0.1280616692707626,break_bbi,0.12793360760149183
2025-02-12,000100,buy,0.02629749008224118,4.86,0.12780580179969214,next_day_entry,0.0
2025-02-13,000157,sell,0.027667016610983076,6.47,0.1790055974730605,break_bbi,0.17882659187558744
2025-02-13,000089,buy,0.026427210640777486,6.76,0.1786479439316558,next_day_entry,0.0
2025-02-14,000506,sell,0.05635252894343787,4.91,0.27669091711227994,take_profit_24,0.27641422619516764
2025-02-14,000089,sell,0.026427210640777486,6.69,0.1767980391868014,break_bbi,0.4530354673427822
2025-02-14,000063,buy,0.011569092138505214,39.12,0.45258288445832395,next_day_entry,0.0
2025-02-18,000100,sell,0.02629749008224118,4.74,0.1246501029898232,break_bbi,0.12452545288683337
2025-02-21,000338,sell,0.01205472022796708,15.03,0.1811824450263452,take_profit_8,0.30552671546815224
2025-02-21,000063,sell,0.003817800405706721,42.79,0.16336367936019058,take_profit_8,0.4687270311489826
2025-02-24,000158,buy,0.017064824066202845,27.44,0.46825877237660607,next_day_entry,0.0
2025-03-03,000063,sell,0.0077512917327984925,35.52,0.27532588234900246,break_bbi,0.27505055646665344
2025-03-03,000034,buy,0.008088777765262511,33.97,0.27477578068596753,next_day_entry,0.0
2025-03-06,000338,sell,0.008076662552737944,15.69,0.12672283545245833,take_profit_16,0.12659611261700587
2025-03-06,000034,sell,0.002669296662536629,37.14,0.0991376780466104,take_profit_8,0.22563465298556967
2025-03-06,000032,buy,0.008470847190598567,26.61,0.22540924374182786,next_day_entry,0.0
2025-03-21,000158,sell,0.017064824066202845,24.38,0.4160404107340253,break_bbi,0.4156243703232913
2025-03-21,000425,buy,0.047452475561386195,8.75,0.4152091611621292,next_day_entry,0.0
2025-03-25,000034,sell,0.005419481102725882,30.53,0.16545675806622118,break_bbi,0.16529130130815495
2025-03-25,000032,sell,0.008470847190598567,22.56,0.19110231261990365,break_bbi,0.3562025116154387
2025-03-25,000409,buy,0.029604547832819322,12.02,0.3558466649504882,next_day_entry,0.0
2025-03-28,000409,sell,0.029604547832819322,11.74,0.34755739155729887,break_bbi,0.3472098341657416
2025-04-07,000338,sell,0.016398072455558854,13.75,0.22547349626393426,break_bbi,0.5724578569334119
2025-04-07,000425,sell,0.047452475561386195,7.63,0.3620623885333767,break_bbi,0.9341581830782553
2025-05-09,000510,buy,0.09610680895866823,4.86,0.46707909153912763,next_day_entry,0.46661201244758854
2025-05-09,000507,buy,0.08947137554337958,5.21,0.46614586658100765,next_day_entry,0.0
2025-05-12,000507,sell,0.08947137554337958,5.24,0.46883000784730905,break_bbi,0.46836117783946174
2025-05-12,000042,buy,0.0673676710754398,6.9,0.46483693042053464,next_day_entry,0.0030594104885066087
2025-05-14,000510,sell,0.031715246956360514,5.41,0.17157948603391038,take_profit_8,0.17446731703638307
2025-05-15,000017,buy,0.027534442971938505,6.33,0.17429302401237073,next_day_entry,0.0
2025-05-20,000510,sell,0.02124921546076155,5.85,0.12430791044545506,take_profit_16,0.1241836025350096
2025-05-20,000519,buy,0.00727195445439728,17.06,0.12405954299201759,next_day_entry,0.0
2025-05-22,000017,sell,0.009086366180739706,6.9,0.06269592664710398,take_profit_8,0.06263323072045687
2025-05-22,000519,sell,0.00727195445439728,16.76,0.12187795665569842,break_bbi,0.1843893094194996
2025-05-22,000158,buy,0.007963904207314503,23.13,0.18420510431518444,next_day_entry,0.0
2025-05-23,000158,sell,0.007963904207314503,22.62,0.18014351316945407,break_bbi,0.17996336965628462
2025-05-23,000301,buy,0.02020040292923758,8.9,0.17978358607021447,next_day_entry,0.0
2025-05-27,000510,sell,0.043142346541546174,6.27,0.2705025128154945,take_profit_24,0.27023201030267896
2025-05-27,000301,sell,0.02020040292923758,8.71,0.17594550951365934,break_bbi,0.44600157430682463
2025-05-27,000514,buy,0.09923296621125526,4.49,0.44555601828853614,next_day_entry,0.0
2025-06-19,000017,sell,0.018448076791198798,6.45,0.11899009530323225,break_bbi,0.11887110520792901
2025-06-19,000514,sell,0.09923296621125526,4.32,0.42868641403262275,break_bbi,0.5471288328265191
2025-06-26,000426,buy,0.03357775886910963,15.39,0.5167617089955973,next_day_entry,0.029850362121926377
2025-06-26,000159,buy,0.005097528475272827,5.85,0.029820541580346034,next_day_entry,0.0
2025-07-01,000159,sell,0.005097528475272827,5.63,0.028699085315786015,break_bbi,0.02867038623047023
2025-07-01,000520,buy,0.005529294302313561,5.18,0.028641744485984246,next_day_entry,0.0
2025-07-03,000426,sell,0.011080660426806178,16.76,0.18571186875327156,take_profit_8,0.1855261568845183
2025-07-03,000518,buy,0.07268267296801956,2.55,0.18534081606844985,next_day_entry,0.0
2025-07-07,000042,sell,0.022231331454895135,7.52,0.1671796125408114,take_profit_8,0.1670124329282706
2025-07-07,000403,buy,0.009202735098782663,18.13,0.16684558734092966,next_day_entry,0.0
2025-07-09,000042,sell,0.014894992074779739,8.12,0.12094733564721147,take_profit_16,0.12082638831156425
2025-07-09,000408,buy,0.003090263252148882,39.06,0.12070568262893533,next_day_entry,0.0
2025-07-10,000520,sell,0.005529294302313561,4.97,0.027480592682498396,break_bbi,0.0274531120898159
2025-07-11,000518,sell,0.07268267296801956,2.42,0.17589206858260734,break_bbi,0.20316928860384065
2025-07-11,000519,buy,0.009891146310017501,20.52,0.20296632228155911,next_day_entry,0.0
2025-07-14,000426,sell,0.007424042485960139,18.26,0.13556301579363214,take_profit_16,0.13542745277783852
2025-07-14,000026,buy,0.008279813991262016,16.34,0.13529216061722132,next_day_entry,0.0
2025-07-21,000026,sell,0.002732338617116465,18.39,0.0502477071687718,take_profit_8,0.050197459461603026
2025-07-21,000037,buy,0.0051858647517532145,9.67,0.05014731214945358,next_day_entry,0.0
2025-07-22,000408,sell,0.001019786873209131,44.28,0.04515616274570032,take_profit_8,0.04511100658295462
2025-07-22,000519,sell,0.0032640782823057757,22.42,0.0731806350892955,take_profit_8,0.11821846103716083
2025-07-22,000001,buy,0.009932746902984386,11.89,0.11810036067648436,next_day_entry,0.0
2025-07-23,000426,sell,0.015073055956343312,19.46,0.29332166891044087,take_profit_24,0.29302834724153043
2025-07-23,000014,buy,0.02429341175351872,12.05,0.2927356116299006,next_day_entry,0.0
2025-07-30,000408,sell,0.0006832572050501179,45.65,0.03119069141053788,take_profit_16,0.031159500719127344
2025-07-30,000514,buy,0.005423061384456545,5.74,0.031128372346780567,next_day_entry,0.0
2025-07-31,000037,sell,0.0051858647517532145,9.06,0.04698393465088412,break_bbi,0.04693695071623324
