strategy,window,start,end,take_profit_levels,take_profit_fractions,annual_return,max_drawdown,calmar,passes_return_gate,passes_drawdown_gate,trade_count,candidate_count
tp5_10_15_f25_25_100,full,2025-01-01,2026-05-15,0.05/0.10/0.15,0.25/0.25/1.00,0.22459174967972761,-0.4039016566522984,0.5560555298070219,False,False,420.0,463.0
tp5_10_15_f25_25_100,train_2025,2025-01-01,2025-12-31,0.05/0.10/0.15,0.25/0.25/1.00,-0.08389463360053828,-0.4039016566522984,-0.20771054591825944,False,False,318.0,364.0
tp5_10_15_f25_25_100,oos_2026,2026-01-01,2026-05-15,0.05/0.10/0.15,0.25/0.25/1.00,1.2451989636589302,-0.21376689984736397,5.825031679591368,True,True,92.0,99.0
tp5_10_15_f25_25_100,wf_2025_h1,2025-01-01,2025-06-30,0.05/0.10/0.15,0.25/0.25/1.00,-0.6225495558281662,-0.4039016566522984,-1.5413394463100516,False,False,84.0,125.0
tp5_10_15_f25_25_100,wf_2025_h2,2025-07-01,2025-12-31,0.05/0.10/0.15,0.25/0.25/1.00,1.7103160224090312,-0.1312797797836277,13.028023243396161,True,True,215.0,239.0
tp5_10_15_f33_33_100,full,2025-01-01,2026-05-15,0.05/0.10/0.15,0.33/0.33/1.00,0.27814757248422417,-0.4024602353508764,0.6911181479624369,False,False,422.0,463.0
tp5_10_15_f33_33_100,train_2025,2025-01-01,2025-12-31,0.05/0.10/0.15,0.33/0.33/1.00,-0.0208790644794965,-0.4024602353508764,-0.05187857742341559,False,False,320.0,364.0
tp5_10_15_f33_33_100,oos_2026,2026-01-01,2026-05-15,0.05/0.10/0.15,0.33/0.33/1.00,1.2755591763708054,-0.19054866064801923,6.694138767666352,True,True,92.0,99.0
tp5_10_15_f33_33_100,wf_2025_h1,2025-01-01,2025-06-30,0.05/0.10/0.15,0.33/0.33/1.00,-0.6179960343522104,-0.4024602353508764,-1.5355455771013593,False,False,84.0,125.0
tp5_10_15_f33_33_100,wf_2025_h2,2025-07-01,2025-12-31,0.05/0.10/0.15,0.33/0.33/1.00,1.7693522541592244,-0.1358582658480214,13.023515669915293,True,True,217.0,239.0
