strategy,windows,return_pass_windows,drawdown_pass_windows,mean_annual_return,min_annual_return,worst_drawdown,mean_calmar,return_fail_windows,drawdown_fail_windows,passes_all_windows
tp10_20_30_f25_25_100,5,2,5,0.31325074873588965,-0.3142958301185105,-0.2637375447056973,1.252347871050373,3,0,False
tp10_20_30_f33_33_100,5,2,5,0.3442744115248696,-0.31790312101787943,-0.2566673915066675,1.4660339078097553,3,0,False
tp10_20_30_f50_50_100,5,2,5,0.3772639478240216,-0.3183717241535381,-0.2606838157717096,1.7278980928838172,3,0,False
tp15_30_45_f33_33_100,5,1,5,0.32817472122595104,-0.37567254956032425,-0.2936039325911166,1.3473107749305284,4,0,False
tp15_30_45_f25_25_100,5,1,2,0.3040514748590703,-0.3766789101422522,-0.3050291135269374,1.23071744846794,4,3,False
tp15_30_45_f50_50_100,5,1,5,0.34136867774085083,-0.37953717352833016,-0.28817144546547135,1.4680518361049348,4,0,False
tp8_16_24_f100_100_100,5,2,5,0.3203611457451995,-0.3910064269835585,-0.29152428643308237,1.643564943824892,3,0,False
tp10_20_30_f100_100_100,5,2,2,0.5374786847251756,-0.48012144659532374,-0.31854892590063033,2.668052999663593,3,3,False
tp12_24_36_f33_33_100,5,2,5,0.31948594391755564,-0.48243884128966585,-0.29864705024509874,1.4259109111024335,3,0,False
tp12_24_36_f25_25_100,5,2,2,0.2770980767631593,-0.48325751016789675,-0.3029278454181872,1.1858091567348186,3,3,False
tp12_24_36_f50_50_100,5,2,3,0.38516744490333793,-0.48624035320005654,-0.3014523579534919,1.9176437274102902,3,2,False
tp12_24_36_f100_100_100,5,2,2,0.7460588179701739,-0.496984819132807,-0.3288145060965423,4.6701795087537405,3,3,False
tp15_30_45_f100_100_100,5,2,2,0.386879369940738,-0.5237229651491307,-0.3438955605959658,2.0380074639672623,3,3,False
tp8_16_24_f50_50_100,5,2,2,0.4029870495539992,-0.5630003006234201,-0.36910905520526494,2.850673507961846,3,3,False
tp8_16_24_f33_33_100,5,2,2,0.2703947942426471,-0.5780636256923022,-0.3749384417601993,1.661028938282318,3,3,False
tp8_16_24_f25_25_100,5,2,2,0.20375247749236425,-0.5867470157395803,-0.38350705256200424,1.179931807431312,3,3,False
tp5_10_15_f50_50_100,5,2,2,0.5571389653320399,-0.5957881406276984,-0.39105796658905567,4.381095206965066,3,3,False
tp5_10_15_f33_33_100,5,2,2,0.5368367808365094,-0.6179960343522104,-0.4024602353508764,3.7642696862038614,3,3,False
tp5_10_15_f25_25_100,5,2,2,0.49473250926379697,-0.6225495558281662,-0.4039016566522984,3.5320120921132476,3,3,False
tp5_10_15_f100_100_100,5,2,2,0.5671907624908619,-0.6735778951481095,-0.4364415010675351,3.727185056168662,3,3,False
