ts_code,turnover_rate,turnover_rate_f,volume_ratio,total_mv,circ_mv,pb,symbol,name,active_score
001391.SZ,62.0579,62.0579,,11061859.0517,772667.3706,4.5705,001391,国货航,54549.82498173738
002130.SZ,22.5762,28.9134,1.47,3181243.8691,3154101.5507,5.9599,002130,沃尔核材,40094.85800399639
002449.SZ,40.4416,51.5471,1.03,842365.9042,839664.6768,2.1949,002449,国星光电,37057.93977086186
000759.SZ,37.9378,59.5758,1.42,876322.9758,857663.4807,4.5518,000759,中百集团,35134.243089721116
300561.SZ,33.8939,42.9787,1.14,1803281.4306,991128.1564,28.7605,300561,汇金科技,33743.214350642396
603881.SH,24.9208,47.5446,3.96,1355936.5852,1355936.5852,4.2599,603881,数据港,29018.948329921775
300547.SZ,39.9277,46.198,2.97,597359.6032,486447.3674,5.2142,300547,川环科技,27847.88536080285
300548.SZ,27.0586,38.8545,1.09,1336306.5995,1036300.9334,8.0083,300548,长芯博创,27545.348241367436
002416.SZ,19.1619,37.5404,4.54,2016311.4984,1991292.3026,3.3643,002416,爱施德,27039.96199553334
600973.SH,27.5259,50.2943,2.01,863960.7362,863960.7362,2.2589,600973,宝胜股份,25585.183180377437
002265.SZ,26.1673,46.5212,1.01,2403885.0271,938006.7772,6.7851,002265,建设工业,25343.226299937392
600580.SH,16.2162,26.5047,1.01,2239208.2941,2239208.2941,2.2667,600580,卧龙电驱,24265.896398254816
300333.SZ,31.0574,36.2639,1.19,610176.0,607960.6017,9.6649,300333,兆日科技,24216.02261948279
301315.SZ,47.8513,58.0872,1.2,600952.0,252673.0,5.9548,301315,威士顿,24053.216446401664
300383.SZ,14.6334,19.889,1.42,2622687.9638,2617070.6941,2.0688,300383,光环新网,23672.982181387317
002364.SZ,29.9828,50.6745,1.28,608086.5918,602194.6854,2.5749,002364,中恒电气,23267.013776974967
300067.SZ,30.3216,38.5691,4.82,712249.1122,578427.4312,2.7856,300067,安诺其,23060.916038870917
300493.SZ,19.208,26.384,0.98,1441873.6072,1409293.4412,13.4423,300493,润欣科技,22802.520898003466
301316.SZ,28.0922,37.7739,1.25,1022825.57,620907.3682,9.8664,301316,慧博云通,22136.000628534555
300377.SZ,16.237,19.0955,1.02,2069962.9205,1775660.4261,6.9784,300377,赢时胜,21636.43720263611
002617.SZ,17.7947,22.7369,0.72,1471099.5158,1446962.1279,2.4223,002617,露笑科技,21405.198163873883
600602.SH,16.3696,29.2117,6.15,2163659.4058,1699547.3302,4.5953,600602,云赛智联,21340.505334934398
002045.SZ,18.7348,24.7258,0.97,1220025.9133,1218615.5211,2.9153,002045,国光电器,20681.51807384124
300563.SZ,24.7877,29.0893,0.87,980096.8134,678683.124,9.5395,300563,神宇股份,20420.659153480818
000810.SZ,14.6506,31.911,0.94,1831143.9866,1779205.9052,2.8471,000810,创维数字,19541.977854585613
300017.SZ,12.5703,14.5139,1.61,2583539.8899,2416771.03,2.6843,300017,网宿科技,19541.747425004363
000880.SZ,36.7345,36.7345,0.81,573184.638,280540.26,2.8243,000880,潍柴重机,19456.814148386227
300718.SZ,25.2154,41.9701,0.85,916952.8431,594969.3311,5.8535,300718,长盛轴承,19449.710962394714
002137.SZ,32.3404,38.1471,1.37,519176.8637,356416.6014,3.3721,002137,实益达,19307.42468861458
002085.SZ,9.4734,17.68,0.92,4023648.8004,4023648.8004,5.8287,002085,万丰奥威,19002.72609667684
002730.SZ,26.6183,56.9065,1.56,494601.1161,472676.8161,3.1291,002730,电光科技,18300.479379938035
300933.SZ,29.2528,57.1326,4.18,383322.3221,383322.3221,2.5361,300933,中辰股份,18111.294691525734
300252.SZ,23.2036,29.1713,0.96,712477.5254,577845.6304,3.3074,300252,金信诺,17638.48527877259
600255.SH,22.4321,24.8686,0.6,617702.2586,617702.2586,4.3867,600255,鑫科材料,17630.29287975012
