trade_id,status,symbol,buy_date,sell_date,holding_days,buy_shares,sell_shares,sell_count,buy_price,average_sell_price,buy_value,sell_value,gross_pnl,cost,net_pnl,net_pnl_display,net_return_pct,exit_reasons
1,closed,300170,2025-02-27,2025-03-06,7,26000.0,26000.0,1,19.19,22.65,498940.00000000006,588900.0,89959.99999999994,1087.8400000000001,88872.15999999995,88872.15999999995,0.1779439945151252,take_profit_8
2,closed,002354,2025-02-27,2025-03-03,4,64900.0,64900.0,1,7.7,6.75,499730.0,438075.0,-61655.0,937.8050000000001,-62592.805,-62592.805,-0.12512811863461215,break_bbi
3,closed,300638,2025-03-03,2025-03-06,3,13400.0,13400.0,1,32.55,36.48,436169.99999999994,488831.99999999994,52662.0,925.002,51736.998,51736.998,0.11849809176998119,take_profit_8
4,closed,300547,2025-03-06,2025-03-10,4,12000.0,12000.0,1,36.75,39.73,441000.0,476759.99999999994,35759.99999999994,917.76,34842.23999999994,34842.23999999994,0.07892841852025512,take_profit_8
5,closed,600602,2025-03-06,2025-03-07,1,22600.0,22600.0,1,23.77,27.11,537202.0,612686.0,75484.0,1149.888,74334.112,74334.112,0.13823450424207678,take_profit_8
6,closed,300853,2025-03-07,2025-03-24,17,6200.0,6200.0,1,30.25,27.0,187550.0,167400.0,-20150.0,354.95000000000005,-20504.95,-20504.95,-0.10922135715524146,break_bbi
7,closed,000679,2025-03-10,2025-03-17,7,6500.0,6500.0,1,6.78,7.52,44070.0,48880.0,4810.0,92.95,4717.05,4717.05,0.10692846976032817,take_profit_8
8,closed,002068,2025-03-11,2025-04-08,28,9400.0,9400.0,1,11.4,9.64,107160.0,90616.0,-16544.0,197.776,-16741.776,-16741.776,-0.1560755034439245,break_bbi
9,closed,688343,2025-03-12,2025-03-24,12,8300.0,8300.0,2,70.23,60.83204819277108,582909.0,504906.0,-78003.0,1087.815,-79090.815,-79090.815,-0.13554740653653177,break_bbi
10,closed,002575,2025-03-13,2025-04-01,19,25400.0,25400.0,2,10.4,9.086850393700788,264160.0,230806.0,-33354.0,494.966,-33848.966,-33848.966,-0.12801011072513194,break_bbi
11,closed,605066,2025-03-17,2025-04-08,22,6200.0,6200.0,1,7.88,6.37,48856.0,39494.0,-9362.0,88.35,-9450.35,-9450.35,-0.19323950161513614,break_bbi
12,closed,002369,2025-03-21,2025-03-26,5,35900.0,35900.0,2,11.5,10.31,412850.0,370129.0,-42721.0,782.979,-43503.979,-43503.979,-0.10526951309560005,break_bbi
13,closed,300042,2025-03-25,2025-03-27,2,11000.0,11000.0,2,29.35,26.682727272727274,322850.0,293510.0,-29340.0,616.36,-29956.359999999997,-29956.359999999997,-0.09269454411161086,break_bbi
14,closed,603887,2025-03-25,2025-03-27,2,12600.0,12600.0,2,19.36,18.51047619047619,243936.0,233232.0,-10704.0,477.168,-11181.168,-11181.168,-0.04579069100910896,break_bbi
15,closed,000880,2025-03-26,2025-04-01,6,13400.0,13400.0,1,21.67,23.87,290378.0,319858.0,29480.0,610.236,28869.764,28869.764,0.09932199779915515,take_profit_8
16,closed,002345,2025-03-26,2025-04-02,7,8500.0,8500.0,1,7.53,8.35,64005.0,70975.0,6970.0,134.98000000000002,6835.0199999999995,6835.0199999999995,0.10668216245905489,take_profit_8
17,closed,300153,2025-03-28,2025-04-01,4,6300.0,6300.0,1,36.32,39.26,228816.0,247338.0,18522.0,476.154,18045.846,18045.846,0.0787874020252875,take_profit_8
18,closed,002195,2025-03-28,2025-04-08,11,500.0,500.0,1,5.59,4.61,2795.0,2305.0,-490.0,5.1,-495.1,-495.1,-0.17696078518976552,break_bbi
19,closed,301316,2025-06-05,2025-06-06,1,12200.0,12200.0,1,40.72,44.04,496784.0,537288.0,40504.0,1034.0720000000001,39469.928,39469.928,0.07937151257387014,take_profit_8
20,closed,002651,2025-06-05,2025-07-01,26,41600.0,41600.0,1,11.52,13.15,479232.0,547040.0,67808.0,1026.272,66781.728,66781.728,0.13921235014985014,take_profit_8
21,closed,600793,2025-06-06,2025-06-26,20,7400.0,7400.0,3,29.5,25.320810810810812,218300.0,187374.0,-30926.0,405.67400000000004,-31331.674,-31331.674,-0.1433823803315329,break_bbi
22,closed,301316,2025-06-11,2025-07-31,50,8300.0,8300.0,1,40.69,47.04,337727.0,390432.0,52705.0,728.1590000000001,51976.841,51976.841,0.1537481933156546,take_profit_8
23,closed,002190,2025-06-13,2025-06-16,3,100.0,100.0,1,34.15,37.42,3415.0,3742.0,327.0,7.157,319.84299999999996,319.84299999999996,0.09356470762034451,take_profit_8
24,closed,002639,2025-06-16,2025-06-20,4,300.0,300.0,1,11.04,9.8,3311.9999999999995,2940.0,-371.99999999999955,6.252,-378.25199999999955,-378.25199999999955,-0.1140924293098205,break_bbi
25,closed,603229,2025-06-18,2025-06-19,1,100.0,100.0,1,8.82,8.52,882.0,852.0,-30.0,1.734,-31.734,-31.734,-0.03594364818854615,break_bbi
26,closed,300703,2025-06-19,2025-07-11,22,3500.0,3500.0,1,22.87,24.89,80045.0,87115.0,7070.0,167.16,6902.84,6902.84,0.08615084085132184,take_profit_8
27,closed,600530,2025-06-25,2025-08-07,43,7600.0,7600.0,1,9.21,7.62,69996.0,57912.0,-12084.0,127.90799999999999,-12211.908,-12211.908,-0.17429150653906353,break_bbi
28,closed,002345,2025-06-26,2025-07-01,5,3100.0,3100.0,1,13.07,14.17,40517.0,43927.0,3410.0,84.444,3325.556,3325.556,0.0819960452707201,take_profit_8
29,closed,688668,2025-07-01,2025-07-16,15,2200.0,2200.0,1,62.29,69.85,137038.0,153670.0,16632.0,290.708,16341.292,16341.292,0.11912730069737615,take_profit_8
30,closed,300959,2025-07-02,2025-08-14,43,1200.0,1200.0,2,44.25,45.385,53100.0,54462.0,1362.0,107.56200000000001,1254.438,1254.438,0.02360046732928089,break_bbi / take_profit_8
31,closed,002272,2025-07-07,2025-07-23,16,9100.0,9100.0,1,10.55,11.57,96005.0,105287.0,9282.0,201.292,9080.708,9080.708,0.09449129069982151,take_profit_8
32,closed,301487,2025-07-08,2025-07-15,7,6000.0,6000.0,1,20.77,20.42,124620.0,122520.00000000001,-2099.9999999999854,247.14000000000001,-2347.1399999999853,-2347.1399999999853,-0.01881556094363016,break_bbi
33,closed,301421,2025-07-09,2025-07-24,15,2400.0,2400.0,1,71.89,79.24,172536.0,190176.0,17640.0,362.712,17277.288,17277.288,0.10003725583082936,take_profit_8
34,closed,002741,2025-07-09,2025-08-19,41,300.0,300.0,1,20.03,22.02,6009.0,6606.0,597.0,12.615,584.385,584.385,0.09715446809805271,take_profit_8
35,closed,300046,2025-07-11,2025-07-17,6,2200.0,2200.0,1,39.44,42.75,86768.0,94050.0,7282.0,180.81799999999998,7101.182,7101.182,0.0817592650756951,take_profit_8
36,closed,002213,2025-07-15,2025-07-22,7,7200.0,7200.0,1,17.11,16.8,123192.0,120960.0,-2232.0,244.15200000000002,-2476.152,-2476.152,-0.020079861692953452,break_bbi
37,closed,002416,2025-07-16,2025-09-02,48,6900.0,6900.0,1,11.65,11.47,80385.0,79143.0,-1242.0,159.52800000000002,-1401.528,-1401.528,-0.017417775357689524,break_bbi
38,closed,300863,2025-07-16,2025-07-23,7,900.0,900.0,1,25.1,24.92,22590.0,22428.0,-162.0,45.018,-207.018,-207.018,-0.009154988437856964,break_bbi
39,closed,000530,2025-07-17,2025-09-02,47,22000.0,22000.0,2,6.52,6.330727272727272,143440.0,139276.0,-4164.0,282.716,-4446.715999999999,-4446.715999999999,-0.030969560277981912,break_bbi
40,closed,002210,2025-07-18,2025-08-06,19,300.0,300.0,1,2.84,3.13,852.0,939.0,87.0,1.791,85.209,85.209,0.09991065272755414,take_profit_8
41,closed,601162,2025-07-22,2025-07-31,9,24900.0,24900.0,1,4.84,5.32,120516.0,132468.0,11952.0,252.98399999999998,11699.016,11699.016,0.09697740276252673,take_profit_8
42,closed,301315,2025-07-23,2025-08-18,26,1100.0,1100.0,1,51.84,56.5,57024.00000000001,62150.0,5125.999999999993,119.174,5006.825999999993,5006.825999999993,0.08771436896436884,take_profit_8
43,closed,002130,2025-07-24,2025-08-01,8,12000.0,12000.0,1,23.7,22.65,284400.0,271800.0,-12600.0,556.2,-13156.199999999999,-13156.199999999999,-0.046213280390495576,break_bbi
44,closed,301183,2025-07-31,2025-08-18,18,7700.0,7700.0,1,67.25,73.32,517825.0,564564.0,46739.0,1082.3890000000001,45656.611000000004,45656.611000000004,0.08808188094433449,take_profit_8
45,closed,000880,2025-07-31,2025-08-11,11,100.0,100.0,1,29.85,32.98,2985.0,3297.9999999999995,312.99999999999955,6.2829999999999995,306.71699999999953,306.71699999999953,0.10265011370538993,take_profit_8
46,closed,002896,2025-08-01,2025-08-05,4,3400.0,3400.0,1,78.98,85.8,268532.0,291720.0,23188.0,560.252,22627.748,22627.748,0.08418044351191983,take_profit_8
47,closed,601011,2025-08-04,2025-08-14,10,1900.0,1900.0,1,2.71,2.69,5149.0,5111.0,-38.0,10.26,-48.26,-48.26,-0.009363330396540727,break_bbi
48,closed,002067,2025-08-05,2025-09-04,30,41400.0,41400.0,2,4.35,4.593864734299517,180089.99999999997,190186.0,10096.00000000003,370.276,9725.72400000003,9725.72400000003,0.05395084675444513,break_bbi / take_profit_8
49,closed,002384,2025-08-06,2025-08-12,6,2100.0,2100.0,1,52.18,56.63,109578.0,118923.0,9345.0,228.501,9116.499,9116.499,0.08311332209377438,take_profit_8
50,closed,000679,2025-08-06,2025-08-18,12,200.0,200.0,1,8.9,10.07,1780.0,2014.0,234.0,3.7940000000000005,230.206,230.206,0.12920001346967638,take_profit_8
51,closed,002436,2025-08-11,2025-08-27,16,3700.0,3700.0,1,16.62,18.29,61494.00000000001,67673.0,6178.999999999993,129.167,6049.832999999993,6049.832999999993,0.09828258384215051,take_profit_8
52,closed,603228,2025-08-13,2025-08-28,15,2000.0,2000.0,1,57.35,64.73,114700.0,129460.00000000001,14760.000000000015,244.16000000000003,14515.840000000015,14515.840000000015,0.12642841029937818,take_profit_8
53,closed,300624,2025-08-14,2025-09-03,20,400.0,400.0,1,79.01,73.82,31604.000000000004,29527.999999999996,-2076.0000000000073,61.132000000000005,-2137.132000000007,-2137.132000000007,-0.06755464507647797,break_bbi
54,closed,600629,2025-08-19,2025-08-28,9,23200.0,23200.0,1,13.59,14.88,315288.0,345216.0,29928.0,660.504,29267.496,29267.496,0.09273507949004638,take_profit_8
55,closed,301600,2025-08-19,2025-08-25,6,1700.0,1700.0,1,115.36,128.02,196112.0,217634.00000000003,21522.00000000003,413.74600000000004,21108.254000000026,21108.254000000026,0.10752614237357663,take_profit_8
56,closed,002345,2025-08-20,2025-08-27,7,9000.0,9000.0,1,14.27,13.75,128430.0,123750.0,-4680.0,252.18,-4932.18,-4932.18,-0.038365278729679576,break_bbi
