date,symbol,side,shares,price,value,reason,cash_after
2025-02-27,300170,buy,26000.0,19.19,498940.00000000006,next_day_entry,500561.06
2025-02-27,002354,buy,64900.0,7.7,499730.0,next_day_entry,331.3300000000745
2025-03-03,002354,sell,64900.0,6.75,438075.0,break_bbi,437968.25500000006
2025-03-03,300638,buy,13400.0,32.55,436169.99999999994,next_day_entry,1362.0850000001956
2025-03-06,300170,sell,26000.0,22.65,588900.0,take_profit_8,589673.1850000002
2025-03-06,300638,sell,13400.0,36.48,488831.99999999994,take_profit_8,1078016.3530000001
2025-03-06,300547,buy,12000.0,36.75,441000.0,next_day_entry,636575.3530000001
2025-03-06,600602,buy,22600.0,23.77,537202.0,next_day_entry,98836.15100000019
2025-03-07,600602,sell,22600.0,27.11,612686.0,take_profit_8,710909.4650000002
2025-03-07,300853,buy,6200.0,30.25,187550.0,next_day_entry,523171.9150000002
2025-03-10,300547,sell,12000.0,39.73,476759.99999999994,take_profit_8,999455.1550000001
2025-03-10,000679,buy,6500.0,6.78,44070.0,next_day_entry,955341.0850000002
2025-03-11,002068,buy,9400.0,11.4,107160.0,next_day_entry,848073.9250000002
2025-03-12,688343,buy,8300.0,70.23,582909.0,next_day_entry,264582.0160000002
2025-03-13,002575,buy,25400.0,10.4,264160.0,next_day_entry,157.8560000002035
2025-03-17,000679,sell,6500.0,7.52,48880.0,take_profit_8,48988.976000000206
2025-03-17,605066,buy,6200.0,7.88,48856.0,next_day_entry,84.12000000021362
2025-03-21,688343,sell,6800.0,60.87,413916.0,break_bbi,413586.2040000002
2025-03-21,002369,buy,35900.0,11.5,412850.0,next_day_entry,323.3540000002249
2025-03-24,300853,sell,6200.0,27.0,167400.0,break_bbi,167555.95400000023
2025-03-24,688343,sell,1500.0,60.66,90990.0,break_bbi,258454.9640000002
2025-03-25,002369,sell,30100.0,10.31,310331.0,break_bbi,568475.6330000001
2025-03-25,300042,buy,11000.0,29.35,322850.0,next_day_entry,245302.78300000017
2025-03-25,603887,buy,12600.0,19.36,243936.0,next_day_entry,1122.8470000001835
2025-03-26,002369,sell,5800.0,10.31,59798.0,break_bbi,60861.04900000018
2025-03-26,300042,sell,7800.0,26.77,208806.0,break_bbi,269458.2430000002
2025-03-26,603887,sell,12000.0,18.53,222360.0,break_bbi,491595.8830000002
2025-03-26,000880,buy,13400.0,21.67,290378.0,next_day_entry,200927.50500000024
2025-03-26,002345,buy,8500.0,7.53,64005.0,next_day_entry,136858.50000000023
2025-03-27,300042,sell,3200.0,26.47,84704.0,break_bbi,221477.79600000023
2025-03-27,603887,sell,600.0,18.12,10872.0,break_bbi,232338.92400000023
2025-03-28,300153,buy,6300.0,36.32,228816.0,next_day_entry,3294.1080000002694
2025-03-28,002195,buy,500.0,5.59,2795.0,next_day_entry,496.31300000026977
2025-03-31,002575,sell,20500.0,9.11,186755.0,break_bbi,187064.55800000025
2025-04-01,002575,sell,4900.0,8.99,44051.0,break_bbi,231071.50700000025
2025-04-01,000880,sell,13400.0,23.87,319858.0,take_profit_8,550609.6490000002
2025-04-01,300153,sell,6300.0,39.26,247338.0,take_profit_8,797700.3110000002
2025-04-02,002345,sell,8500.0,8.35,70975.0,take_profit_8,868604.3360000002
2025-04-08,002068,sell,9400.0,9.64,90616.0,break_bbi,959129.7200000002
2025-04-08,605066,sell,6200.0,6.37,39494.0,break_bbi,998584.2260000003
2025-04-08,002195,sell,500.0,4.61,2305.0,break_bbi,1000886.9210000002
2025-06-05,301316,buy,12200.0,40.72,496784.0,next_day_entry,503606.1370000003
2025-06-05,002651,buy,41600.0,11.52,479232.0,next_day_entry,23894.90500000032
2025-06-06,301316,sell,12200.0,44.04,537288.0,take_profit_8,560645.6170000003
2025-06-06,600793,buy,7400.0,29.5,218300.0,next_day_entry,342127.31700000033
2025-06-11,301316,buy,8300.0,40.69,337727.0,next_day_entry,4062.590000000375
2025-06-13,002190,buy,100.0,34.15,3415.0,next_day_entry,644.1750000003753
2025-06-16,002190,sell,100.0,37.42,3742.0,take_profit_8,4382.433000000376
2025-06-16,002639,buy,300.0,11.04,3311.9999999999995,next_day_entry,1067.1210000003766
2025-06-18,603229,buy,100.0,8.82,882.0,next_day_entry,184.23900000037668
2025-06-19,600793,sell,3200.0,25.45,81440.0,break_bbi,81542.79900000038
2025-06-19,603229,sell,100.0,8.52,852.0,break_bbi,82393.94700000038
2025-06-19,300703,buy,3500.0,22.87,80045.0,next_day_entry,2268.90200000038
2025-06-20,600793,sell,2600.0,25.23,65598.0,break_bbi,67801.30400000038
2025-06-20,002639,sell,300.0,9.8,2940.0,break_bbi,70738.36400000038
2025-06-25,600530,buy,7600.0,9.21,69996.0,next_day_entry,672.3680000003806
2025-06-26,600793,sell,1600.0,25.21,40336.0,break_bbi,40968.03200000038
2025-06-26,002345,buy,3100.0,13.07,40517.0,next_day_entry,410.51500000038504
2025-07-01,002651,sell,41600.0,13.15,547040.0,take_profit_8,546903.4750000003
2025-07-01,002345,sell,3100.0,14.17,43927.0,take_profit_8,590786.5480000003
2025-07-01,688668,buy,2200.0,62.29,137038.0,next_day_entry,453611.51000000036
2025-07-02,300959,buy,1200.0,44.25,53100.0,next_day_entry,400458.4100000004
2025-07-07,002272,buy,9100.0,10.55,96005.0,next_day_entry,304357.4050000004
2025-07-08,301487,buy,6000.0,20.77,124620.0,next_day_entry,179612.78500000038
2025-07-09,301421,buy,2400.0,71.89,172536.0,next_day_entry,6904.249000000389
2025-07-09,002741,buy,300.0,20.03,6009.0,next_day_entry,889.24000000039
2025-07-11,300703,sell,3500.0,24.89,87115.0,take_profit_8,87917.12500000038
2025-07-11,300046,buy,2200.0,39.44,86768.0,next_day_entry,1062.357000000382
2025-07-15,301487,sell,6000.0,20.42,122520.00000000001,break_bbi,123459.83700000039
2025-07-15,002213,buy,7200.0,17.11,123192.0,next_day_entry,144.64500000041153
2025-07-16,688668,sell,2200.0,69.85,153670.0,take_profit_8,153660.97500000038
2025-07-16,002416,buy,6900.0,11.65,80385.0,next_day_entry,73195.59000000039
2025-07-16,300863,buy,900.0,25.1,22590.0,next_day_entry,50583.00000000039
2025-07-17,300046,sell,2200.0,42.75,94050.0,take_profit_8,144538.9500000004
2025-07-17,000530,buy,22000.0,6.52,143440.0,next_day_entry,955.5100000004168
2025-07-18,002210,buy,300.0,2.84,852.0,next_day_entry,102.6580000004169
2025-07-22,002213,sell,7200.0,16.8,120960.0,break_bbi,120941.69800000041
2025-07-22,601162,buy,24900.0,4.84,120516.0,next_day_entry,305.1820000004227
2025-07-23,300959,sell,600.0,42.45,25470.0,break_bbi,25749.71200000042
2025-07-23,002272,sell,9100.0,11.57,105287.0,take_profit_8,130931.42500000042
2025-07-23,300863,sell,900.0,24.92,22428.0,break_bbi,153336.99700000044
2025-07-23,301315,buy,1100.0,51.84,57024.00000000001,next_day_entry,96255.97300000043
2025-07-24,301421,sell,2400.0,79.24,190176.0,take_profit_8,286241.7970000004
2025-07-24,002130,buy,12000.0,23.7,284400.0,next_day_entry,1557.3970000004629
2025-07-31,301316,sell,8300.0,47.04,390432.0,take_profit_8,391598.9650000005
2025-07-31,601162,sell,24900.0,5.32,132468.0,take_profit_8,523934.4970000005
2025-07-31,301183,buy,7700.0,67.25,517825.0,next_day_entry,5591.672000000544
2025-07-31,000880,buy,100.0,29.85,2985.0,next_day_entry,2603.6870000005447
2025-08-01,002130,sell,12000.0,22.65,271800.0,break_bbi,274131.88700000057
2025-08-01,002896,buy,3400.0,78.98,268532.0,next_day_entry,5331.355000000622
2025-08-04,601011,buy,1900.0,2.71,5149.0,next_day_entry,177.20600000062223
2025-08-05,002896,sell,3400.0,85.8,291720.0,take_profit_8,291605.4860000007
2025-08-05,002067,buy,41400.0,4.35,180089.99999999997,next_day_entry,111335.39600000074
2025-08-06,002210,sell,300.0,3.13,939.0,take_profit_8,112273.45700000074
2025-08-06,002384,buy,2100.0,52.18,109578.0,next_day_entry,2585.879000000743
2025-08-06,000679,buy,200.0,8.9,1780.0,next_day_entry,804.0990000007432
2025-08-07,600530,sell,7600.0,7.62,57912.0,break_bbi,58658.18700000075
2025-08-11,000880,sell,100.0,32.98,3297.9999999999995,take_profit_8,61952.889000000745
2025-08-11,002436,buy,3700.0,16.62,61494.00000000001,next_day_entry,397.3950000007462
2025-08-12,002384,sell,2100.0,56.63,118923.0,take_profit_8,119201.47200000075
2025-08-13,603228,buy,2000.0,57.35,114700.0,next_day_entry,4386.7720000007685
2025-08-14,300959,sell,600.0,48.32,28992.0,take_profit_8,33349.78000000077
2025-08-14,601011,sell,1900.0,2.69,5111.0,break_bbi,38455.66900000077
2025-08-14,300624,buy,400.0,79.01,31604.000000000004,next_day_entry,6820.065000000774
2025-08-18,301315,sell,1100.0,56.5,62150.0,take_profit_8,68907.91500000076
2025-08-18,301183,sell,7700.0,73.32,564564.0,take_profit_8,632907.3510000007
2025-08-18,000679,sell,200.0,10.07,2014.0,take_profit_8,634919.3370000008
2025-08-19,002741,sell,300.0,22.02,6606.0,take_profit_8,641518.7310000007
2025-08-19,600629,buy,23200.0,13.59,315288.0,next_day_entry,325915.4430000008
2025-08-19,301600,buy,1700.0,115.36,196112.0,next_day_entry,129607.33100000082
2025-08-20,002345,buy,9000.0,14.27,128430.0,next_day_entry,1048.9010000008275
2025-08-25,301600,sell,1700.0,128.02,217634.00000000003,take_profit_8,218465.26700000087
2025-08-25,002796,buy,7900.0,13.51,106729.0,next_day_entry,111629.53800000087
2025-08-25,301010,buy,1600.0,20.35,32560.000000000004,next_day_entry,79036.97800000088
2025-08-26,603126,buy,10900.0,7.2,78480.0,next_day_entry,478.49800000088
2025-08-27,002436,sell,3700.0,18.29,67673.0,take_profit_8,68083.82500000088
2025-08-27,002345,sell,9000.0,13.75,123750.0,break_bbi,191710.07500000088
2025-08-27,688800,buy,2700.0,70.29,189783.00000000003,next_day_entry,1737.292000000889
2025-08-27,002245,buy,100.0,11.68,1168.0,next_day_entry,568.124000000889
2025-08-28,603228,sell,2000.0,64.73,129460.00000000001,take_profit_8,129898.66400000089
2025-08-28,600629,sell,23200.0,14.88,345216.0,take_profit_8,474769.4480000009
2025-08-28,688800,sell,2700.0,78.06,210762.0,take_profit_8,685320.6860000009
2025-08-28,301076,buy,7500.0,38.39,287925.0,next_day_entry,397107.76100000093
2025-08-28,600255,buy,79000.0,4.15,327850.0,next_day_entry,68929.91100000095
2025-08-29,000530,sell,11800.0,6.34,74812.0,break_bbi,143667.09900000095
2025-08-29,301076,sell,7500.0,41.82,313650.0,take_profit_8,457003.44900000095
2025-08-29,300703,buy,8600.0,31.2,268320.0,next_day_entry,188415.129000001
2025-09-01,000501,buy,15100.0,10.41,157191.0,next_day_entry,31066.938000001013
2025-09-01,688716,buy,600.0,45.82,27492.0,next_day_entry,3547.446000001015
2025-09-02,002416,sell,6900.0,11.47,79143.0,break_bbi,82611.30300000102
2025-09-02,000530,sell,10200.0,6.32,64464.0,break_bbi,147010.83900000103
2025-09-02,002067,sell,22400.0,4.19,93856.00000000001,break_bbi,240772.98300000106
2025-09-02,603516,buy,2400.0,97.5,234000.0,next_day_entry,6538.983000001084
2025-09-02,300153,buy,100.0,41.78,4178.0,next_day_entry,2356.8050000010844
2025-09-03,300624,sell,400.0,73.82,29527.999999999996,break_bbi,31855.277000001082
2025-09-03,002796,sell,7900.0,14.72,116288.0,take_profit_8,148026.98900000108
2025-09-03,301010,sell,1000.0,18.79,18790.0,break_bbi,166798.19900000107
2025-09-03,603126,sell,4400.0,6.62,29128.0,break_bbi,195897.07100000107
2025-09-03,300153,sell,100.0,37.06,3706.0,break_bbi,199599.36500000107
2025-09-04,002067,sell,19000.0,5.07,96330.0,take_profit_8,295833.0350000011
2025-09-04,301010,sell,600.0,18.89,11334.0,break_bbi,307155.7010000011
2025-09-04,603126,sell,3900.0,6.67,26013.0,break_bbi,333142.68800000113
2025-09-04,688716,sell,600.0,43.14,25884.0,break_bbi,359000.8040000011
2025-09-04,002272,buy,22300.0,16.05,357915.0,next_day_entry,727.8890000011306
2025-09-08,300703,sell,8600.0,34.22,294292.0,take_profit_8,294725.5970000011
2025-09-08,600410,buy,15000.0,19.51,292650.0,next_day_entry,1782.9470000011497
2025-09-09,603516,sell,2400.0,113.3,271920.0,take_profit_8,273431.02700000117
2025-09-09,688343,buy,3300.0,81.97,270501.0,next_day_entry,2659.5260000011767
2025-09-12,688343,sell,3300.0,90.33,298089.0,take_profit_8,300450.4370000012
2025-09-12,301183,buy,3100.0,95.74,296794.0,next_day_entry,3359.643000001204
2025-09-16,600410,sell,15000.0,21.51,322650.0,take_profit_8,325686.9930000012
2025-09-16,300548,buy,2700.0,117.87,318249.0,next_day_entry,7119.744000001228
2025-09-16,603395,buy,100.0,35.61,3561.0,next_day_entry,3555.1830000012287
2025-09-17,002245,sell,100.0,13.13,1313.0,take_profit_8,4866.870000001229
2025-09-18,002272,sell,22300.0,18.5,412550.0,take_profit_8,417004.32000000123
2025-09-18,301183,sell,3100.0,103.98,322338.0,take_profit_8,739019.9820000012
2025-09-18,300548,sell,2700.0,127.78,345006.0,take_profit_8,1083680.9760000012
2025-09-18,603395,sell,100.0,34.83,3483.0,break_bbi,1087160.4930000012
2025-09-18,600693,buy,18300.0,6.26,114558.0,next_day_entry,972487.9350000012
2025-09-18,600865,buy,7100.0,9.98,70858.0,next_day_entry,901559.0770000012
2025-09-19,603126,sell,2600.0,6.64,17264.0,break_bbi,918805.8130000012
2025-09-19,000501,sell,14300.0,10.2,145860.0,break_bbi,1064519.9530000011
2025-09-19,600693,sell,14400.0,6.22,89568.0,break_bbi,1153998.3850000012
2025-09-19,002115,buy,64000.0,11.79,754560.0,next_day_entry,398683.82500000123
2025-09-22,000501,sell,800.0,10.07,8056.0,break_bbi,406731.76900000125
2025-09-22,600693,sell,3900.0,6.06,23634.0,break_bbi,430342.13500000123
2025-09-22,600865,sell,3500.0,9.58,33530.0,break_bbi,463838.60500000126
2025-09-23,600865,sell,3600.0,9.34,33624.0,break_bbi,497428.98100000125
2025-09-23,301076,buy,6800.0,43.28,294304.0,next_day_entry,202830.6770000013
2025-09-25,002384,buy,2700.0,73.0,197100.0,next_day_entry,5533.577000001329
2025-09-26,600601,buy,500.0,10.8,5400.0,next_day_entry,128.17700000132936
2025-10-14,002384,sell,2700.0,61.0,164700.0,break_bbi,164663.47700000132
2025-10-14,603083,buy,1400.0,111.96,156744.0,next_day_entry,7762.733000001346
2025-10-16,600255,sell,54900.0,3.89,213561.0,break_bbi,221110.17200000136
2025-10-16,300604,buy,2600.0,83.96,218295.99999999997,next_day_entry,2595.8760000014154
2025-10-17,600255,sell,24100.0,3.77,90857.0,break_bbi,93362.01900000141
2025-10-20,603516,buy,600.0,153.0,91800.0,next_day_entry,1470.2190000014234
2025-10-23,000981,buy,300.0,4.01,1203.0,next_day_entry,266.01600000142344
2025-10-24,600601,sell,500.0,11.72,5860.0,take_profit_8,6120.156000001423
2025-10-24,603516,sell,600.0,166.76,100056.0,take_profit_8,106076.10000000143
2025-10-24,000021,buy,3700.0,28.34,104858.0,next_day_entry,1113.242000001439
2025-10-27,300604,sell,2600.0,90.77,236002.0,take_profit_8,236879.24000000145
2025-10-27,600857,buy,7300.0,14.82,108186.0,next_day_entry,128585.05400000146
2025-10-27,301421,buy,1200.0,106.83,128196.0,next_day_entry,260.8580000014772
2025-10-29,600857,sell,7000.0,16.01,112070.00000000001,take_profit_8,112218.78800000148
2025-10-29,600629,buy,4600.0,24.0,110400.0,next_day_entry,1708.3880000014906
2025-10-30,600629,sell,4600.0,22.99,105754.0,break_bbi,107356.63400000149
2025-10-30,301071,buy,2600.0,39.82,103532.0,next_day_entry,3721.102000001498
2025-10-31,300933,buy,400.0,9.24,3696.0,next_day_entry,21.40600000149834
2025-11-04,301076,sell,4900.0,36.48,178751.99999999997,break_bbi,178594.65400000146
2025-11-04,600172,buy,27600.0,6.46,178296.0,next_day_entry,120.35800000149175
2025-11-05,301076,sell,1900.0,36.13,68647.0,break_bbi,68698.7110000015
2025-11-05,000852,buy,9500.0,7.16,68020.0,next_day_entry,610.691000001505
2025-11-06,600857,sell,300.0,17.4,5220.0,take_profit_16,5825.471000001505
2025-11-10,600601,buy,400.0,11.86,4744.0,next_day_entry,1076.727000001505
2025-11-11,301071,sell,2600.0,45.29,117754.0,take_profit_8,118712.97300000151
2025-11-11,300933,sell,400.0,9.03,3611.9999999999995,break_bbi,122321.36100000152
2025-11-11,600172,sell,27600.0,7.62,210312.0,take_profit_8,332423.0490000015
2025-11-11,002249,buy,29800.0,11.14,331972.0,next_day_entry,119.07700000156183
2025-11-14,000981,sell,300.0,3.51,1053.0,break_bbi,1171.0240000015617
2025-11-14,000021,sell,3700.0,24.6,91020.0,break_bbi,92100.00400000156
2025-11-14,301421,sell,1200.0,93.5,112200.0,break_bbi,204187.80400000158
2025-11-14,603759,buy,16700.0,11.47,191549.0,next_day_entry,12447.255000001605
2025-11-18,002249,sell,29800.0,10.29,306642.0,break_bbi,318782.61300000164
2025-11-19,002115,sell,54700.0,10.97,600059.0,break_bbi,918241.5540000016
2025-11-19,603686,buy,26400.0,27.16,717024.0,next_day_entry,200500.53000000166
2025-11-20,002115,sell,9300.0,10.72,99696.0,break_bbi,300096.83400000166
2025-11-21,000852,sell,9500.0,6.9,65550.0,break_bbi,365581.2840000017
2025-11-21,603759,sell,10200.0,10.36,105672.0,break_bbi,471147.61200000165
2025-11-21,603686,sell,26400.0,25.37,669768.0,break_bbi,1140245.8440000017
2025-11-21,688525,buy,6400.0,104.54,669056.0,next_day_entry,470520.7880000017
2025-11-24,603083,sell,1400.0,94.17,131838.0,break_bbi,602226.9500000017
2025-11-24,688525,sell,6400.0,104.04,665856.0,break_bbi,1267417.0940000017
2025-12-01,600506,buy,8100.0,19.97,161757.0,next_day_entry,1105498.3370000017
2025-12-01,002639,buy,48900.0,13.73,671397.0,next_day_entry,433429.9400000018
2025-12-02,300959,buy,2200.0,118.0,259600.0,next_day_entry,173570.34000000183
2025-12-03,002213,buy,6300.0,27.45,172935.0,next_day_entry,462.4050000018615
2025-12-04,600506,sell,8100.0,18.74,151794.0,break_bbi,152104.61100000187
2025-12-04,300959,sell,1900.0,106.11,201609.0,break_bbi,353512.00200000184
2025-12-04,000681,buy,15400.0,22.88,352352.0,next_day_entry,807.6500000018859
2025-12-05,002639,sell,48900.0,15.37,751593.0,take_profit_8,751649.0570000019
2025-12-09,300959,sell,300.0,138.0,41400.0,take_profit_8,793007.6570000019
2025-12-09,000681,sell,15400.0,22.52,346808.0,break_bbi,1139468.8490000018
2025-12-15,002213,sell,6300.0,25.52,160776.0,break_bbi,1300084.0730000017
2025-12-16,603759,sell,6500.0,10.26,66690.0,break_bbi,1366707.3830000018
2026-01-06,600865,buy,25600.0,16.26,416256.00000000006,next_day_entry,950035.1270000017
2026-01-06,002491,buy,41400.0,6.03,249642.0,next_day_entry,700143.4850000017
2026-01-07,600601,sell,400.0,13.33,5332.0,take_profit_8,705470.1530000017
2026-01-07,300548,buy,5000.0,136.0,680000.0,next_day_entry,24790.153000001796
2026-01-08,300189,buy,3400.0,7.14,24276.0,next_day_entry,489.87700000179757
2026-01-12,600865,sell,24700.0,17.71,437437.0,take_profit_8,437489.4400000018
2026-01-12,300189,sell,3400.0,7.77,26418.0,take_profit_8,463881.0220000018
2026-01-12,002837,buy,5900.0,77.55,457545.0,next_day_entry,5878.477000001876
2026-01-13,300548,sell,5000.0,122.2,611000.0,break_bbi,616267.4770000018
2026-01-13,688668,buy,3600.0,112.04,403344.0,next_day_entry,212520.13300000184
2026-01-14,688668,sell,3100.0,107.48,333188.0,break_bbi,545374.9450000018
2026-01-16,600580,buy,11800.0,46.08,543744.0,next_day_entry,1087.2010000018636
2026-01-16,300189,buy,100.0,6.62,662.0,next_day_entry,424.53900000186366
2026-01-19,300189,sell,100.0,7.29,729.0,take_profit_8,1152.8100000018635
2026-01-19,300177,buy,100.0,10.25,1025.0,next_day_entry,126.78500000186364
2026-01-20,600865,sell,900.0,13.89,12501.0,break_bbi,12615.284000001864
2026-01-20,002491,sell,30800.0,5.88,181104.0,break_bbi,193538.18000000188
2026-01-20,300177,sell,100.0,10.05,1005.0000000000001,break_bbi,194542.17500000188
2026-01-20,002195,buy,20200.0,9.62,194323.99999999997,next_day_entry,23.851000001945067
2026-01-23,688668,sell,500.0,141.8,70900.0,take_profit_8,70852.95100000195
2026-01-23,002195,sell,20200.0,10.51,212302.0,take_profit_8,282942.64900000195
2026-01-23,002361,buy,24000.0,11.73,281520.0,next_day_entry,1141.1290000019944
2026-01-26,600580,sell,11800.0,44.47,524746.0,break_bbi,525362.383000002
2026-01-26,000681,buy,18500.0,28.29,523365.0,next_day_entry,1474.0180000020773
2026-01-28,002491,sell,10600.0,6.74,71444.0,take_profit_8,72846.57400000207
