strategy,window,start,end,take_profit_levels,take_profit_fractions,annual_return,max_drawdown,calmar,passes_return_gate,passes_drawdown_gate,trade_count,candidate_count
tp5_10_15_f25_25_100,full,2025-01-01,2026-05-15,0.05/0.10/0.15,0.25/0.25/1.00,0.6713921227146071,-0.15123666654745127,4.439347534177199,True,True,347.0,354.0
tp5_10_15_f25_25_100,train_2025,2025-01-01,2025-12-31,0.05/0.10/0.15,0.25/0.25/1.00,0.6134420912916716,-0.15123666654745127,4.0561730517856995,True,True,262.0,269.0
tp5_10_15_f25_25_100,oos_2026,2026-01-01,2026-05-15,0.05/0.10/0.15,0.25/0.25/1.00,0.838252940790849,-0.13050537176963384,6.423129787105781,True,True,77.0,85.0
tp5_10_15_f25_25_100,wf_2025_h1,2025-01-01,2025-06-30,0.05/0.10/0.15,0.25/0.25/1.00,0.09929541721614465,-0.15123666654745127,0.6565565049993364,False,True,48.0,68.0
tp5_10_15_f25_25_100,wf_2025_h2,2025-07-01,2025-12-31,0.05/0.10/0.15,0.25/0.25/1.00,0.9638785460854473,-0.11034797250256756,8.734900372211369,True,True,171.0,201.0
tp5_10_15_f33_33_100,full,2025-01-01,2026-05-15,0.05/0.10/0.15,0.33/0.33/1.00,0.6522133780778574,-0.1553876020965066,4.197332150558493,True,True,349.0,354.0
tp5_10_15_f33_33_100,train_2025,2025-01-01,2025-12-31,0.05/0.10/0.15,0.33/0.33/1.00,0.5419869115287248,-0.1553876020965066,3.4879675354801662,True,True,264.0,269.0
tp5_10_15_f33_33_100,oos_2026,2026-01-01,2026-05-15,0.05/0.10/0.15,0.33/0.33/1.00,1.0106700955708012,-0.1251753304992509,8.074035766790722,True,True,77.0,85.0
tp5_10_15_f33_33_100,wf_2025_h1,2025-01-01,2025-06-30,0.05/0.10/0.15,0.33/0.33/1.00,0.1075106193739721,-0.1553876020965066,0.6918867266334445,False,True,48.0,68.0
tp5_10_15_f33_33_100,wf_2025_h2,2025-07-01,2025-12-31,0.05/0.10/0.15,0.33/0.33/1.00,0.9720690996685033,-0.11350812237934071,8.563872604815696,True,True,180.0,201.0
tp5_10_15_f50_50_100,full,2025-01-01,2026-05-15,0.05/0.10/0.15,0.50/0.50/1.00,0.6488700716250224,-0.1797552841639103,3.6097412915736524,True,True,351.0,354.0
tp5_10_15_f50_50_100,train_2025,2025-01-01,2025-12-31,0.05/0.10/0.15,0.50/0.50/1.00,0.4335562378767073,-0.1797552841639103,2.4119248560246382,False,True,266.0,269.0
tp5_10_15_f50_50_100,oos_2026,2026-01-01,2026-05-15,0.05/0.10/0.15,0.50/0.50/1.00,1.4645214342996153,-0.11523989280394409,12.708458838912527,True,True,77.0,85.0
tp5_10_15_f50_50_100,wf_2025_h1,2025-01-01,2025-06-30,0.05/0.10/0.15,0.50/0.50/1.00,0.14774582270964198,-0.16128866033421074,0.9160335413754056,False,True,52.0,68.0
tp5_10_15_f50_50_100,wf_2025_h2,2025-07-01,2025-12-31,0.05/0.10/0.15,0.50/0.50/1.00,0.8187280142239848,-0.14337747744881868,5.710297243276897,True,True,180.0,201.0
tp5_10_15_f100_100_100,full,2025-01-01,2026-05-15,0.05/0.10/0.15,1.00/1.00/1.00,1.3784334397511846,-0.14808461996950217,9.308417309205177,True,True,211.0,354.0
tp5_10_15_f100_100_100,train_2025,2025-01-01,2025-12-31,0.05/0.10/0.15,1.00/1.00/1.00,1.1566499100188747,-0.14808461996950217,7.810736255102557,True,True,154.0,269.0
tp5_10_15_f100_100_100,oos_2026,2026-01-01,2026-05-15,0.05/0.10/0.15,1.00/1.00/1.00,2.1859857856119373,-0.12674175451875014,17.247558185637576,True,True,57.0,85.0
tp5_10_15_f100_100_100,wf_2025_h1,2025-01-01,2025-06-30,0.05/0.10/0.15,1.00/1.00/1.00,0.6570680979917587,-0.129165676394145,5.087017823424979,True,True,43.0,68.0
tp5_10_15_f100_100_100,wf_2025_h2,2025-07-01,2025-12-31,0.05/0.10/0.15,1.00/1.00/1.00,-0.2130543126330363,-0.2820616221758995,-0.7553466898101125,False,True,110.0,201.0
tp8_16_24_f25_25_100,full,2025-01-01,2026-05-15,0.08/0.16/0.24,0.25/0.25/1.00,0.5820405662696364,-0.1925899892478623,3.022174561319245,True,True,255.0,354.0
tp8_16_24_f25_25_100,train_2025,2025-01-01,2025-12-31,0.08/0.16/0.24,0.25/0.25/1.00,0.3950124513745277,-0.18619436400668554,2.1215059514924106,False,True,183.0,269.0
tp8_16_24_f25_25_100,oos_2026,2026-01-01,2026-05-15,0.08/0.16/0.24,0.25/0.25/1.00,0.9217053743373627,-0.15064067950292181,6.118568884439248,True,True,50.0,85.0
tp8_16_24_f25_25_100,wf_2025_h1,2025-01-01,2025-06-30,0.08/0.16/0.24,0.25/0.25/1.00,-0.02810877784781507,-0.18619436400668554,-0.15096470829163114,False,True,29.0,68.0
