trade_id,status,symbol,buy_date,sell_date,holding_days,buy_shares,sell_shares,sell_count,buy_price,average_sell_price,buy_value,sell_value,gross_pnl,cost,net_pnl,net_pnl_display,net_return_pct,exit_reasons
1,closed,300170,2025-02-27,2025-03-06,7,26000.0,26000.0,1,19.19,22.65,498940.00000000006,588900.0,89959.99999999994,1087.8400000000001,88872.15999999995,88872.15999999995,0.1779439945151252,take_profit_8
2,closed,002354,2025-02-27,2025-03-03,4,64900.0,64900.0,1,7.7,6.75,499730.0,438075.0,-61655.0,937.8050000000001,-62592.805,-62592.805,-0.12512811863461215,break_bbi
3,closed,300638,2025-03-03,2025-03-06,3,13400.0,13400.0,1,32.55,36.48,436169.99999999994,488831.99999999994,52662.0,925.002,51736.998,51736.998,0.11849809176998119,take_profit_8
4,closed,300547,2025-03-06,2025-03-10,4,14600.0,14600.0,1,36.75,39.73,536550.0,580058.0,43508.0,1116.608,42391.392,42391.392,0.07892841852025524,take_profit_8
5,closed,600602,2025-03-06,2025-03-07,1,22600.0,22600.0,1,23.77,27.11,537202.0,612686.0,75484.0,1149.888,74334.112,74334.112,0.13823450424207678,take_profit_8
6,closed,300853,2025-03-07,2025-03-24,17,18900.0,18900.0,1,30.25,27.0,571725.0,510300.0,-61425.0,1082.025,-62507.025,-62507.025,-0.10922135715524146,break_bbi
7,closed,000679,2025-03-10,2025-03-17,7,89100.0,89100.0,1,6.78,7.52,604098.0,670032.0,65934.0,1274.13,64659.87,64659.87,0.10692846976032817,take_profit_8
8,closed,002068,2025-03-11,2025-04-08,28,1500.0,1500.0,1,11.4,9.64,17100.0,14460.0,-2640.0,31.560000000000002,-2671.56,-2671.56,-0.1560755034439245,break_bbi
9,closed,002575,2025-03-17,2025-03-31,14,63000.0,63000.0,1,10.08,9.11,635040.0,573930.0,-61110.0,1208.97,-62318.97,-62318.97,-0.09803589267874982,break_bbi
10,closed,605066,2025-03-17,2025-04-08,22,4300.0,4300.0,1,7.88,6.37,33884.0,27391.0,-6493.0,61.275000000000006,-6554.275,-6554.275,-0.19323950161513614,break_bbi
11,closed,300042,2025-03-25,2025-03-26,1,17300.0,17300.0,1,29.35,26.77,507755.0,463121.0,-44634.0,970.876,-45604.876,-45604.876,-0.08972696809153367,break_bbi
12,closed,000880,2025-03-26,2025-04-01,6,21400.0,21400.0,1,21.67,23.87,463738.00000000006,510818.0,47079.99999999994,974.556,46105.443999999945,46105.443999999945,0.09932199779915503,take_profit_8
13,closed,301316,2025-06-05,2025-06-06,1,13800.0,13800.0,1,40.72,44.04,561936.0,607752.0,45816.0,1169.688,44646.312,44646.312,0.07937151257387014,take_profit_8
14,closed,002651,2025-06-05,2025-07-01,26,48800.0,48800.0,1,11.52,13.15,562176.0,641720.0,79544.0,1203.8960000000002,78340.10399999999,78340.10399999999,0.13921235014985014,take_profit_8
15,closed,600793,2025-06-06,2025-06-19,13,19300.0,19300.0,1,29.5,25.45,569350.0,491185.0,-78165.0,1060.535,-79225.535,-79225.535,-0.13901183562200511,break_bbi
16,closed,301316,2025-06-11,2025-07-31,50,900.0,900.0,1,40.69,47.04,36621.0,42336.0,5715.0,78.957,5636.043,5636.043,0.1537481933156546,take_profit_8
17,closed,002639,2025-06-16,2025-06-20,4,100.0,100.0,1,11.04,9.8,1104.0,980.0000000000001,-123.99999999999989,2.084,-126.08399999999989,-126.08399999999989,-0.11409242930982051,break_bbi
18,closed,300703,2025-06-19,2025-07-11,22,21400.0,21400.0,1,22.87,24.89,489418.0,532646.0,43228.0,1022.064,42205.936,42205.936,0.08615084085132184,take_profit_8
19,closed,600530,2025-06-25,2025-08-07,43,100.0,100.0,1,9.21,7.62,921.0000000000001,762.0,-159.0000000000001,1.6830000000000003,-160.6830000000001,-160.6830000000001,-0.17429150653906364,break_bbi
20,closed,688668,2025-07-01,2025-07-16,15,9100.0,9100.0,1,62.29,69.85,566839.0,635635.0,68796.0,1202.4740000000002,67593.526,67593.526,0.11912730069737613,take_profit_8
21,closed,300959,2025-07-02,2025-07-23,21,1600.0,1600.0,1,44.25,42.45,70800.0,67920.0,-2880.0,138.72,-3018.7200000000003,-3018.7200000000003,-0.04259469344215107,break_bbi
22,closed,002272,2025-07-07,2025-07-23,16,300.0,300.0,1,10.55,11.57,3165.0,3471.0,306.0,6.636,299.364,299.364,0.0944912906998215,take_profit_8
23,closed,300046,2025-07-11,2025-07-17,6,13400.0,13400.0,1,39.44,42.75,528496.0,572850.0,44354.0,1101.346,43252.654,43252.654,0.08175926507569509,take_profit_8
24,closed,002402,2025-07-14,2025-07-24,10,100.0,100.0,1,21.67,23.56,2167.0,2356.0,189.0,4.523,184.477,184.477,0.08504508873682848,take_profit_8
25,closed,002416,2025-07-16,2025-09-02,48,54500.0,54500.0,1,11.65,11.47,634925.0,625115.0,-9810.0,1260.04,-11070.039999999999,-11070.039999999999,-0.017417775357689517,break_bbi
26,closed,000530,2025-07-17,2025-08-29,43,87800.0,87800.0,1,6.52,6.34,572456.0,556652.0,-15804.0,1129.1080000000002,-16933.108,-16933.108,-0.029550204396830163,break_bbi
27,closed,301315,2025-07-23,2025-08-18,26,1300.0,1300.0,1,51.84,56.5,67392.0,73450.0,6058.0,140.84199999999998,5917.158,5917.158,0.08771436896436896,take_profit_8
28,closed,002130,2025-07-24,2025-08-01,8,200.0,200.0,1,23.7,22.65,4740.0,4530.0,-210.0,9.27,-219.27,-219.27,-0.04621328039049558,break_bbi
29,closed,301183,2025-07-31,2025-08-18,18,600.0,600.0,1,67.25,73.32,40350.0,43991.99999999999,3641.9999999999927,84.34199999999998,3557.6579999999926,3557.6579999999926,0.08808188094433429,take_profit_8
30,closed,000880,2025-07-31,2025-08-11,11,100.0,100.0,1,29.85,32.98,2985.0,3297.9999999999995,312.99999999999955,6.2829999999999995,306.71699999999953,306.71699999999953,0.10265011370538993,take_profit_8
31,closed,601011,2025-08-04,2025-08-14,10,1800.0,1800.0,1,2.71,2.69,4878.0,4842.0,-36.0,9.72,-45.72,-45.72,-0.009363330396540729,break_bbi
32,closed,000679,2025-08-07,2025-08-18,11,100.0,100.0,1,8.95,10.07,894.9999999999999,1007.0,112.00000000000011,1.9020000000000001,110.09800000000011,110.09800000000011,0.1228916335061588,take_profit_8
33,closed,002436,2025-08-11,2025-08-27,16,200.0,200.0,1,16.62,18.29,3324.0,3658.0,334.0,6.982,327.018,327.018,0.09828258384215062,take_profit_8
34,closed,603228,2025-08-18,2025-08-25,7,2200.0,2200.0,1,54.58,59.14,120076.0,130108.0,10032.0,250.18400000000003,9781.816,9781.816,0.08138215760055262,take_profit_8
35,closed,600629,2025-08-19,2025-08-28,9,200.0,200.0,1,13.59,14.88,2718.0,2976.0,258.0,5.694,252.306,252.306,0.09273507949004639,take_profit_8
36,closed,002796,2025-08-25,2025-09-03,9,9600.0,9600.0,1,13.51,14.72,129696.0,141312.0,11616.0,271.00800000000004,11344.992,11344.992,0.0873863368311925,take_profit_8
37,closed,002245,2025-08-27,2025-09-17,21,300.0,300.0,1,11.68,13.13,3504.0,3939.0000000000005,435.00000000000045,7.4430000000000005,427.5570000000004,427.5570000000004,0.1218977939868352,take_profit_8
38,closed,600255,2025-08-28,2025-10-16,49,800.0,800.0,1,4.15,3.89,3320.0000000000005,3112.0,-208.00000000000045,6.432,-214.43200000000044,-214.43200000000044,-0.06452342837885018,break_bbi
39,closed,300703,2025-08-29,2025-09-08,10,17800.0,17800.0,1,31.2,34.22,555360.0,609116.0,53756.0,1164.476,52591.524,52591.524,0.09460347344962729,take_profit_8
40,closed,603516,2025-09-02,2025-09-09,7,6400.0,6400.0,1,97.5,113.3,624000.0,725120.0,101120.0,1349.12,99770.88,99770.88,0.15972950126796281,take_profit_8
41,closed,300153,2025-09-03,2025-09-04,1,3700.0,3700.0,1,38.13,35.34,141081.0,130758.00000000001,-10322.999999999985,271.839,-10594.838999999985,-10594.838999999985,-0.07502253843717248,break_bbi
42,closed,002272,2025-09-04,2025-09-18,14,8100.0,8100.0,1,16.05,18.5,130005.0,149850.0,19845.0,279.855,19565.145,19565.145,0.15034498212068306,take_profit_8
43,closed,600410,2025-09-08,2025-09-16,8,31100.0,31100.0,1,19.51,21.51,606761.0,668961.0,62200.0,1275.722,60924.278,60924.278,0.1003087123025616,take_profit_8
44,closed,688343,2025-09-09,2025-09-12,3,8600.0,8600.0,1,81.97,90.33,704942.0,776838.0,71896.0,1481.78,70414.22,70414.22,0.09978675710040844,take_profit_8
45,closed,002837,2025-09-10,2025-09-11,1,300.0,300.0,1,52.45,58.21,15735.0,17463.0,1728.0,33.198,1694.8020000000001,1694.8020000000001,0.10760145478925269,take_profit_8
46,closed,300548,2025-09-11,2025-09-30,19,100.0,100.0,1,119.0,106.27,11900.0,10627.0,-1273.0,22.527,-1295.527,-1295.527,-0.10875905606998044,break_bbi
47,closed,301183,2025-09-12,2025-09-18,6,8200.0,8200.0,1,95.74,103.98,785068.0,852636.0,67568.0,1637.704,65930.296,65930.296,0.08389646701741961,take_profit_8
48,closed,603395,2025-09-16,2025-09-18,2,18700.0,18700.0,1,35.61,34.83,665907.0,651321.0,-14586.0,1317.228,-15903.228,-15903.228,-0.023858197404953933,break_bbi
49,closed,600693,2025-09-18,2025-09-19,1,133700.0,133700.0,1,6.26,6.22,836962.0,831614.0,-5348.0,1668.576,-7016.575999999999,-7016.575999999999,-0.008375011569899747,break_bbi
50,closed,600865,2025-09-18,2025-09-22,4,82100.0,82100.0,1,9.98,9.58,819358.0,786518.0,-32840.0,1605.8760000000002,-34445.876000000004,-34445.876000000004,-0.041998082078242405,break_bbi
51,closed,002115,2025-09-19,2025-11-19,61,70000.0,70000.0,1,11.79,10.97,825299.9999999999,767900.0,-57399.99999999988,1593.1999999999998,-58993.19999999989,-58993.19999999989,-0.07140950652401021,break_bbi
52,closed,301076,2025-09-23,2025-11-04,42,18200.0,18200.0,1,43.28,36.48,787696.0,663936.0,-123760.0,1451.632,-125211.632,-125211.632,-0.15880053403158764,break_bbi
53,closed,600601,2025-09-26,2025-10-24,28,200.0,200.0,1,10.8,11.72,2160.0,2344.0,184.0,4.504,179.496,179.496,0.08301698301698303,take_profit_8
54,closed,603228,2025-09-30,2025-10-13,13,100.0,100.0,1,63.95,58.03,6395.0,5803.0,-592.0,12.198,-604.198,-604.198,-0.09438536444009468,break_bbi
55,closed,002364,2025-10-10,2025-10-14,4,100.0,100.0,1,26.05,28.29,2605.0,2829.0,224.0,5.434,218.566,218.566,0.0838186765250105,take_profit_8
56,closed,000988,2025-10-14,2025-11-11,28,100.0,100.0,1,83.96,72.9,8396.0,7290.000000000001,-1105.999999999999,15.686000000000002,-1121.685999999999,-1121.685999999999,-0.1334642013536724,break_bbi
