date,symbol,side,shares,price,value,reason,cash_after
2025-02-27,300170,buy,26000.0,19.19,498940.00000000006,next_day_entry,500561.06
2025-02-27,002354,buy,64900.0,7.7,499730.0,next_day_entry,331.3300000000745
2025-03-03,002354,sell,64900.0,6.75,438075.0,break_bbi,437968.25500000006
2025-03-03,300638,buy,13400.0,32.55,436169.99999999994,next_day_entry,1362.0850000001956
2025-03-06,300170,sell,26000.0,22.65,588900.0,take_profit_8,589673.1850000002
2025-03-06,300638,sell,13400.0,36.48,488831.99999999994,take_profit_8,1078016.3530000001
2025-03-06,300547,buy,14600.0,36.75,536550.0,next_day_entry,540929.8030000002
2025-03-06,600602,buy,22600.0,23.77,537202.0,next_day_entry,3190.601000000257
2025-03-07,600602,sell,22600.0,27.11,612686.0,take_profit_8,615263.9150000003
2025-03-07,300853,buy,18900.0,30.25,571725.0,next_day_entry,42967.19000000029
2025-03-10,300547,sell,14600.0,39.73,580058.0,take_profit_8,622445.1320000003
2025-03-10,000679,buy,89100.0,6.78,604098.0,next_day_entry,17743.03400000045
2025-03-11,002068,buy,1500.0,11.4,17100.0,next_day_entry,625.9340000004522
2025-03-17,000679,sell,89100.0,7.52,670032.0,take_profit_8,669987.9020000005
2025-03-17,002575,buy,63000.0,10.08,635040.0,next_day_entry,34312.86200000055
2025-03-17,605066,buy,4300.0,7.88,33884.0,next_day_entry,394.9780000005485
2025-03-24,300853,sell,18900.0,27.0,510300.0,break_bbi,510184.67800000054
2025-03-25,300042,buy,17300.0,29.35,507755.0,next_day_entry,1921.9230000005919
2025-03-26,300042,sell,17300.0,26.77,463121.0,break_bbi,464579.8020000006
2025-03-26,000880,buy,21400.0,21.67,463738.00000000006,next_day_entry,378.0640000005951
2025-03-31,002575,sell,63000.0,9.11,573930.0,break_bbi,573734.1340000005
2025-04-01,000880,sell,21400.0,23.87,510818.0,take_profit_8,1084041.3160000006
2025-04-08,002068,sell,1500.0,9.64,14460.0,break_bbi,1098486.8560000006
2025-04-08,605066,sell,4300.0,6.37,27391.0,break_bbi,1125850.4650000005
2025-06-05,301316,buy,13800.0,40.72,561936.0,next_day_entry,563352.5290000006
2025-06-05,002651,buy,48800.0,11.52,562176.0,next_day_entry,614.3530000005849
2025-06-06,301316,sell,13800.0,44.04,607752.0,take_profit_8,607758.6010000006
2025-06-06,600793,buy,19300.0,29.5,569350.0,next_day_entry,37839.25100000063
2025-06-11,301316,buy,900.0,40.69,36621.0,next_day_entry,1181.6300000006304
2025-06-16,002639,buy,100.0,11.04,1104.0,next_day_entry,76.52600000063057
2025-06-19,600793,sell,19300.0,25.45,491185.0,break_bbi,490770.34100000066
2025-06-19,300703,buy,21400.0,22.87,489418.0,next_day_entry,862.9230000007083
2025-06-20,002639,sell,100.0,9.8,980.0000000000001,break_bbi,1841.9430000007083
2025-06-25,600530,buy,100.0,9.21,921.0000000000001,next_day_entry,920.0220000007082
2025-07-01,002651,sell,48800.0,13.15,641720.0,take_profit_8,641998.3020000007
2025-07-01,688668,buy,9100.0,62.29,566839.0,next_day_entry,74592.4630000008
2025-07-02,300959,buy,1600.0,44.25,70800.0,next_day_entry,3721.6630000008154
2025-07-07,002272,buy,300.0,10.55,3165.0,next_day_entry,553.4980000008159
2025-07-11,300703,sell,21400.0,24.89,532646.0,take_profit_8,532666.8520000009
2025-07-11,300046,buy,13400.0,39.44,528496.0,next_day_entry,3642.35600000096
2025-07-14,002402,buy,100.0,21.67,2167.0,next_day_entry,1473.1890000009603
2025-07-16,688668,sell,9100.0,69.85,635635.0,take_profit_8,636472.5540000009
2025-07-16,002416,buy,54500.0,11.65,634925.0,next_day_entry,912.6290000010049
2025-07-17,300046,sell,13400.0,42.75,572850.0,take_profit_8,573189.779000001
2025-07-17,000530,buy,87800.0,6.52,572456.0,next_day_entry,161.323000001139
2025-07-23,300959,sell,1600.0,42.45,67920.0,break_bbi,68013.40300000114
2025-07-23,002272,sell,300.0,11.57,3471.0,take_profit_8,71480.93200000114
2025-07-23,301315,buy,1300.0,51.84,67392.0,next_day_entry,4021.540000001143
2025-07-24,002402,sell,100.0,23.56,2356.0,take_profit_8,6375.184000001143
2025-07-24,002130,buy,200.0,23.7,4740.0,next_day_entry,1630.4440000011436
2025-07-31,301316,sell,900.0,47.04,42336.0,take_profit_8,43924.10800000114
2025-07-31,301183,buy,600.0,67.25,40350.0,next_day_entry,3533.758000001144
2025-07-31,000880,buy,100.0,29.85,2985.0,next_day_entry,545.7730000011443
2025-08-01,002130,sell,200.0,22.65,4530.0,break_bbi,5071.2430000011445
2025-08-04,601011,buy,1800.0,2.71,4878.0,next_day_entry,188.36500000114484
2025-08-07,600530,sell,100.0,7.62,762.0,break_bbi,949.6030000011448
2025-08-07,000679,buy,100.0,8.95,894.9999999999999,next_day_entry,53.708000001145024
2025-08-11,000880,sell,100.0,32.98,3297.9999999999995,take_profit_8,3348.4100000011445
2025-08-11,002436,buy,200.0,16.62,3324.0,next_day_entry,21.08600000114484
2025-08-14,601011,sell,1800.0,2.69,4842.0,break_bbi,4858.244000001145
2025-08-18,301315,sell,1300.0,56.5,73450.0,take_profit_8,78234.79400000114
2025-08-18,301183,sell,600.0,73.32,43991.99999999999,take_profit_8,122182.80200000113
2025-08-18,000679,sell,100.0,10.07,1007.0,take_profit_8,123188.79500000113
2025-08-18,603228,buy,2200.0,54.58,120076.0,next_day_entry,2992.719000001147
2025-08-19,600629,buy,200.0,13.59,2718.0,next_day_entry,272.0010000011471
2025-08-25,603228,sell,2200.0,59.14,130108.0,take_profit_8,130249.89300000116
2025-08-25,002796,buy,9600.0,13.51,129696.0,next_day_entry,424.1970000011788
2025-08-27,002436,sell,200.0,18.29,3658.0,take_profit_8,4078.539000001179
2025-08-27,002245,buy,300.0,11.68,3504.0,next_day_entry,571.0350000011795
2025-08-28,600629,sell,200.0,14.88,2976.0,take_profit_8,3544.0590000011794
2025-08-28,600255,buy,800.0,4.15,3320.0000000000005,next_day_entry,220.7390000011792
2025-08-29,000530,sell,87800.0,6.34,556652.0,break_bbi,556316.0870000012
2025-08-29,300703,buy,17800.0,31.2,555360.0,next_day_entry,400.72700000123587
2025-09-02,002416,sell,54500.0,11.47,625115.0,break_bbi,624890.6120000012
2025-09-02,603516,buy,6400.0,97.5,624000.0,next_day_entry,266.6120000013616
2025-09-03,002796,sell,9600.0,14.72,141312.0,take_profit_8,141437.30000000136
2025-09-03,300153,buy,3700.0,38.13,141081.0,next_day_entry,215.21900000137975
2025-09-04,300153,sell,3700.0,35.34,130758.00000000001,break_bbi,130842.46100000139
2025-09-04,002272,buy,8100.0,16.05,130005.0,next_day_entry,707.4560000014026
2025-09-08,300703,sell,17800.0,34.22,609116.0,take_profit_8,609214.3400000014
2025-09-08,600410,buy,31100.0,19.51,606761.0,next_day_entry,1846.579000001424
2025-09-09,603516,sell,6400.0,113.3,725120.0,take_profit_8,726241.4590000014
2025-09-09,688343,buy,8600.0,81.97,704942.0,next_day_entry,20594.517000001506
2025-09-10,002837,buy,300.0,52.45,15735.0,next_day_entry,4843.782000001507
2025-09-11,002837,sell,300.0,58.21,17463.0,take_profit_8,22289.31900000151
2025-09-11,300548,buy,100.0,119.0,11900.0,next_day_entry,10377.419000001511
2025-09-12,688343,sell,8600.0,90.33,776838.0,take_profit_8,786438.5810000015
2025-09-12,301183,buy,8200.0,95.74,785068.0,next_day_entry,585.5130000015488
2025-09-16,600410,sell,31100.0,21.51,668961.0,take_profit_8,668877.5520000015
2025-09-16,603395,buy,18700.0,35.61,665907.0,next_day_entry,2304.6450000016484
2025-09-17,002245,sell,300.0,13.13,3939.0000000000005,take_profit_8,6239.706000001649
2025-09-18,002272,sell,8100.0,18.5,149850.0,take_profit_8,155939.85600000163
2025-09-18,301183,sell,8200.0,103.98,852636.0,take_profit_8,1007723.2200000016
2025-09-18,603395,sell,18700.0,34.83,651321.0,break_bbi,1658392.8990000016
2025-09-18,600693,buy,133700.0,6.26,836962.0,next_day_entry,820593.9370000017
2025-09-18,600865,buy,82100.0,9.98,819358.0,next_day_entry,416.57900000177324
2025-09-19,600693,sell,133700.0,6.22,831614.0,break_bbi,831198.9650000018
2025-09-19,002115,buy,70000.0,11.79,825299.9999999999,next_day_entry,5073.665000002016
2025-09-22,600865,sell,82100.0,9.58,786518.0,break_bbi,790805.147000002
2025-09-23,301076,buy,18200.0,43.28,787696.0,next_day_entry,2321.4510000020964
2025-09-26,600601,buy,200.0,10.8,2160.0,next_day_entry,159.29100000209655
2025-09-30,300548,sell,100.0,106.27,10627.0,break_bbi,10775.664000002096
2025-09-30,603228,buy,100.0,63.95,6395.0,next_day_entry,4374.269000002097
2025-10-10,002364,buy,100.0,26.05,2605.0,next_day_entry,1766.664000002097
2025-10-13,603228,sell,100.0,58.03,5803.0,break_bbi,7563.861000002097
2025-10-14,002364,sell,100.0,28.29,2829.0,take_profit_8,10390.032000002097
2025-10-14,000988,buy,100.0,83.96,8396.0,next_day_entry,1985.6360000020977
2025-10-16,600255,sell,800.0,3.89,3112.0,break_bbi,5094.524000002098
2025-10-23,000981,buy,1200.0,4.01,4812.0,next_day_entry,277.71200000209774
2025-10-24,600601,sell,200.0,11.72,2344.0,take_profit_8,2619.3680000020977
2025-10-27,600857,buy,100.0,14.82,1482.0,next_day_entry,1135.886000002098
2025-10-29,600857,sell,100.0,16.01,1601.0000000000002,take_profit_8,2735.285000002098
2025-10-29,600629,buy,100.0,24.0,2400.0,next_day_entry,332.8850000020984
2025-10-30,600629,sell,100.0,22.99,2299.0,break_bbi,2629.5860000020984
2025-10-31,300933,buy,200.0,9.24,1848.0,next_day_entry,779.7380000020987
2025-11-04,301076,sell,18200.0,36.48,663936.0,break_bbi,664051.8020000021
2025-11-04,600172,buy,102600.0,6.46,662796.0,next_day_entry,593.0060000021476
2025-11-11,000988,sell,100.0,72.9,7290.000000000001,break_bbi,7875.716000002149
2025-11-11,300933,sell,200.0,9.03,1805.9999999999998,break_bbi,9679.910000002148
2025-11-11,600172,sell,102600.0,7.62,781812.0,take_profit_8,790710.0980000021
2025-11-11,600601,buy,65800.0,11.99,788942.0,next_day_entry,979.1560000021709
2025-11-14,000981,sell,1200.0,3.51,4212.0,break_bbi,5186.9440000021705
2025-11-14,603759,buy,400.0,11.47,4588.0,next_day_entry,594.3560000021707
2025-11-19,002115,sell,70000.0,10.97,767900.0,break_bbi,767726.4560000021
2025-11-19,603686,buy,28200.0,27.16,765912.0,next_day_entry,1048.5440000022063
2025-11-21,603759,sell,400.0,10.36,4144.0,break_bbi,5188.400000002206
2025-11-21,603686,sell,28200.0,25.37,715434.0,break_bbi,719906.9660000022
2025-11-21,688525,buy,6800.0,104.54,710872.0,next_day_entry,8324.094000002253
2025-11-24,688525,sell,6800.0,104.04,707472.0,break_bbi,715088.6220000023
2025-12-01,600506,buy,35700.0,19.97,712929.0,next_day_entry,1446.693000002415
2025-12-01,002639,buy,100.0,13.73,1373.0,next_day_entry,72.3200000024151
2025-12-04,600506,sell,35700.0,18.74,669018.0,break_bbi,668421.3020000024
2025-12-04,300959,buy,5900.0,111.5,657850.0,next_day_entry,9913.452000002377
2025-12-04,000681,buy,400.0,22.88,9152.0,next_day_entry,752.3000000023785
2025-12-05,002639,sell,100.0,15.37,1537.0,take_profit_8,2287.7630000023782
2025-12-09,300959,sell,5900.0,138.0,814200.0,take_profit_8,815673.5630000024
2025-12-09,000681,sell,400.0,22.52,9008.0,break_bbi,824672.5550000024
2026-01-06,600865,buy,50600.0,16.26,822756.0000000001,next_day_entry,1093.7990000023274
2026-01-06,002491,buy,100.0,6.03,603.0,next_day_entry,490.1960000023274
2026-01-07,600601,sell,65800.0,13.33,877114.0,take_profit_8,876727.0820000024
2026-01-07,300548,buy,6300.0,136.0,856800.0,next_day_entry,19070.28200000245
2026-01-08,300189,buy,2600.0,7.14,18564.0,next_day_entry,487.71800000245275
2026-01-12,600865,sell,50600.0,17.71,896126.0,take_profit_8,895717.5920000024
2026-01-12,300189,sell,2600.0,7.77,20202.0,take_profit_8,915899.3900000023
2026-01-12,002837,buy,11200.0,77.55,868560.0,next_day_entry,46470.8300000024
2026-01-13,300548,sell,6300.0,122.2,769860.0,break_bbi,815560.9700000024
2026-01-13,688668,buy,7200.0,112.04,806688.0,next_day_entry,8066.282000002451
2026-01-14,688668,sell,7200.0,107.48,773856.0,break_bbi,781148.4260000024
2026-01-14,600865,buy,52600.0,14.83,780058.0,next_day_entry,310.3680000024615
2026-01-20,002491,sell,100.0,5.88,588.0,break_bbi,897.7800000024615
2026-01-20,600865,sell,52600.0,13.89,730614.0,break_bbi,730781.1660000025
2026-01-20,300177,buy,70200.0,10.39,729378.0,next_day_entry,673.7880000026198
2026-01-21,300177,sell,70200.0,10.02,703404.0,break_bbi,703374.3840000026
2026-01-21,002361,buy,61700.0,11.38,702146.0,next_day_entry,526.2380000026897
2026-01-23,002361,sell,61700.0,12.46,768782.0,take_profit_8,768539.4560000027
2026-01-23,002195,buy,75800.0,10.12,767095.9999999999,next_day_entry,676.3600000028964
2026-01-28,000981,buy,100.0,4.64,463.99999999999994,next_day_entry,211.89600000289653
2026-02-03,002837,sell,11200.0,84.28,943936.0,take_profit_8,943203.9600000029
2026-02-04,000981,sell,100.0,5.14,514.0,take_profit_8,943717.4460000029
2026-02-05,688525,buy,5200.0,161.7,840839.9999999999,next_day_entry,102036.60600000317
2026-02-05,002796,buy,2400.0,42.29,101496.0,next_day_entry,439.11000000318745
2026-02-12,002796,sell,2400.0,48.4,116160.0,take_profit_8,116482.95000000318
2026-02-12,688668,buy,700.0,154.01,107807.0,next_day_entry,8568.143000003198
2026-02-12,002131,buy,1000.0,8.16,8160.0,next_day_entry,399.98300000319887
2026-02-13,002131,sell,1000.0,8.91,8910.0,take_profit_8,9301.073000003198
2026-02-13,002119,buy,400.0,22.91,9164.0,next_day_entry,127.90900000319925
2026-02-27,002195,sell,75800.0,11.07,839106.0,take_profit_8,838394.8030000032
2026-02-27,000995,buy,53000.0,15.78,836340.0,next_day_entry,1218.4630000033649
2026-03-03,688525,sell,5200.0,146.57,762164.0,break_bbi,762620.2990000034
2026-03-03,002009,buy,26300.0,28.96,761648.0,next_day_entry,210.65100000344682
2026-03-04,000995,sell,53000.0,14.95,792350.0,break_bbi,791768.3010000035
2026-03-11,000852,buy,98600.0,8.02,790772.0,next_day_entry,205.52900000358932
2026-03-12,002119,sell,400.0,21.36,8544.0,break_bbi,8740.98500000359
2026-03-12,601011,buy,2400.0,3.61,8664.0,next_day_entry,68.3210000035906
2026-03-13,688668,sell,700.0,133.87,93709.0,break_bbi,93683.61200000359
2026-03-13,002009,sell,26300.0,25.95,682485.0,break_bbi,775486.1270000036
2026-03-13,300442,buy,8800.0,87.92,773696.0,next_day_entry,1016.4310000037076
2026-03-16,000852,sell,98600.0,7.89,777954.0,break_bbi,778192.4770000037
2026-03-18,601011,sell,2400.0,3.62,8688.0,break_bbi,786871.7890000037
2026-04-07,300442,sell,8800.0,79.51,699688.0,break_bbi,1485860.1010000037
2026-04-29,688525,buy,2800.0,257.08,719824.0,next_day_entry,765316.2770000038
2026-04-29,002364,buy,18800.0,39.41,740907.9999999999,next_day_entry,23667.369000004022
2026-04-30,301183,buy,100.0,179.51,17951.0,next_day_entry,5698.418000004025
2026-05-06,688525,sell,2800.0,310.93,870604.0,take_profit_8,875431.814000004
2026-05-06,002364,sell,18800.0,44.87,843556.0,take_profit_8,1718144.258000004
2026-05-06,300499,buy,21800.0,39.8,867639.9999999999,next_day_entry,849636.6180000043
2026-05-07,301183,sell,100.0,200.17,20017.0,take_profit_8,869633.6010000043
2026-05-07,300499,sell,21800.0,44.42,968356.0,take_profit_8,1837021.2450000043
2026-05-07,300757,buy,1800.0,506.0,910800.0,next_day_entry,925310.4450000044
2026-05-07,300548,buy,3400.0,265.0,901000.0,next_day_entry,23409.44500000449
2026-05-08,603958,buy,1000.0,23.21,23210.0,next_day_entry,176.23500000448985
2026-05-14,300757,sell,1800.0,589.0,1060200.0,take_profit_8,1059316.0350000046
2026-05-14,000810,buy,78900.0,12.61,994929.0,next_day_entry,63392.106000004685
2026-05-14,000829,buy,5700.0,11.02,62814.0,next_day_entry,515.2920000046943
2026-05-15,000829,sell,5700.0,10.4,59280.0,break_bbi,59736.012000004695
2026-05-15,002361,buy,3200.0,18.35,58720.00000000001,next_day_entry,957.2920000046943
2026-05-18,300067,buy,100.0,6.87,687.0,next_day_entry,269.6050000046944
2026-05-21,002361,sell,3200.0,17.3,55360.0,break_bbi,55574.245000004696
2026-05-21,600830,buy,5600.0,9.76,54656.0,next_day_entry,863.5890000047002
2026-05-22,600830,sell,5600.0,9.21,51576.00000000001,break_bbi,52388.01300000471
2026-05-22,300857,buy,100.0,265.0,26500.0,next_day_entry,25861.51300000471
2026-05-22,002730,buy,800.0,30.48,24384.0,next_day_entry,1453.129000004712
2026-05-26,000810,sell,78900.0,11.97,944433.0,break_bbi,944941.6960000048
2026-05-26,002902,buy,25200.0,36.06,908712.0,next_day_entry,35320.98400000483
2026-05-26,300693,buy,500.0,58.88,29440.0,next_day_entry,5851.544000004833
2026-05-27,603958,sell,1000.0,22.25,22250.0,break_bbi,28079.294000004833
2026-05-27,300067,sell,100.0,6.04,604.0,break_bbi,28682.690000004834
2026-05-27,002491,buy,1300.0,21.61,28093.0,next_day_entry,561.5970000048364
2026-05-29,300693,sell,500.0,51.25,25625.0,break_bbi,26160.972000004836
2026-05-29,002491,sell,1300.0,23.93,31109.0,take_profit_8,57238.863000004836
2026-05-29,002929,buy,700.0,78.0,54600.0,next_day_entry,2584.263000004845
2026-06-02,300323,buy,100.0,15.31,1531.0,next_day_entry,1051.732000004845
2026-06-03,002929,sell,700.0,68.38,47866.0,break_bbi,48869.86600000484
2026-06-03,300323,sell,100.0,16.56,1655.9999999999998,take_profit_8,50524.21000000484
2026-06-03,000811,buy,1500.0,31.63,47445.0,next_day_entry,3031.765000004845
2026-06-04,002693,buy,300.0,9.33,2799.0,next_day_entry,229.96600000484568
2026-06-05,300548,sell,3400.0,219.0,744600.0,break_bbi,744085.3660000048
2026-06-05,300857,sell,100.0,228.47,22847.0,break_bbi,766909.5190000049
2026-06-05,002693,sell,300.0,9.26,2778.0,break_bbi,769684.7410000048
2026-06-05,300739,buy,26300.0,29.23,768749.0,next_day_entry,166.9920000048587
2026-06-08,002730,sell,800.0,27.7,22160.0,break_bbi,22304.83200000486
2026-06-08,300739,sell,26300.0,27.33,718779.0,break_bbi,740365.0530000048
2026-06-08,002706,buy,60200.0,12.27,738654.0,next_day_entry,972.3990000049816
2026-06-10,002706,sell,60200.0,11.56,695912.0,break_bbi,696188.487000005
2026-06-10,300959,buy,4100.0,168.5,690850.0,next_day_entry,4647.637000004994
2026-06-10,600172,buy,300.0,12.75,3825.0,next_day_entry,818.8120000049944
2026-06-15,300959,sell,4100.0,182.0,746200.0,take_profit_8,746272.6120000051
2026-06-16,300179,buy,17300.0,43.01,744073.0,next_day_entry,1455.539000005112
