trade_id,status,symbol,buy_date,sell_date,holding_days,buy_shares,sell_shares,sell_count,buy_price,average_sell_price,buy_value,sell_value,gross_pnl,cost,net_pnl,net_pnl_display,net_return_pct,exit_reasons
1,closed,300170,2025-02-27,2025-03-06,7,0.026567481402763018,0.026567481402763018,1,18.82,22.65,0.5,0.6017534537725823,0.10175345377258227,0.0011017534537725822,0.10065170031880968,100651.70031880969,0.20110229833928012,take_profit_8
2,closed,002354,2025-02-27,2025-03-03,4,0.06332499987322324,0.06332499987322324,1,7.88,6.75,0.4990009990009991,0.42744374914425687,-0.07155724985674222,0.000926444748145256,-0.07248369460488747,-72483.69460488748,-0.1451125017114864,break_bbi
3,closed,300638,2025-03-03,2025-03-06,3,0.012974139771272299,0.012974139771272299,1,32.88,36.87,0.4265897156794332,0.4783565333668096,0.0517668176873764,0.0009049462490462428,0.05086187143833016,50861.87143833016,0.11910990469384612,take_profit_8
4,closed,300547,2025-03-06,2025-03-11,5,0.01454610241510181,0.01454610241510181,1,37.09,41.55,0.5395149385761262,0.6043905553474802,0.064875616771354,0.0011439054939236064,0.0637317112774304,63731.7112774304,0.11800978746246997,take_profit_8
5,closed,600602,2025-03-06,2025-03-07,1,0.02184328546251113,0.02184328546251113,1,24.65,27.110000000000003,0.5384369866508993,0.5921714688886768,0.05373448223777744,0.001130608455539576,0.05260387378223787,52603.87378223787,0.09759976331984457,take_profit_8
6,closed,300853,2025-03-07,2025-03-12,5,0.019162273597616172,0.019162273597616172,1,29.32,32.4,0.5618378618821062,0.6208576645627639,0.05901980268065776,0.00118269552644487,0.0578371071542129,57837.1071542129,0.1028398613664643,take_profit_8
7,closed,000679,2025-03-10,2025-03-17,7,0.004212492374071004,0.004212492374071004,1,6.92,7.52,0.02915044722857135,0.03167794265301395,0.0025274954244426003,6.0828389881585303e-05,0.0024666670345610147,2466.6670345610146,0.08453396314667982,take_profit_8
8,closed,002068,2025-03-11,2025-04-07,27,0.05286441558372677,0.05286441558372677,1,11.41,10.71,0.6031829818103225,0.5661778909017138,-0.03700509090860871,0.0011693608727120362,-0.03817445178132074,-38174.45178132074,-0.06322511843984231,break_bbi
9,closed,688343,2025-03-12,2025-03-21,9,0.008955299750086614,0.008955299750086614,1,69.19,60.870000000000005,0.6196171897084928,0.5451090957877722,-0.07450809392072055,0.0011647262854962651,-0.07567282020621681,-75672.82020621681,-0.1220063359100791,break_bbi
10,closed,002575,2025-03-17,2025-03-31,14,0.003072366380981598,0.003072366380981598,1,10.29,9.11,0.03161465006030064,0.027989257730742356,-0.003625392329558285,5.9603907791043e-05,-0.0036849962373493284,-3684.9962373493286,-0.11644332344040798,break_bbi
