strategy,windows,return_pass_windows,drawdown_pass_windows,mean_annual_return,min_annual_return,worst_drawdown,mean_calmar,return_fail_windows,drawdown_fail_windows,passes_all_windows
tp8_16_24_f100_100_100,5,5,5,1.125666293314438,0.5257338416587907,-0.2079684654059687,7.20148245753532,0,0,True
tp12_24_36_f100_100_100,5,4,5,0.7075288169962674,0.4923550562473349,-0.19397365218348228,4.2449168287164625,1,0,False
tp10_20_30_f100_100_100,5,4,5,0.9911707132762485,0.4476768902157917,-0.17780738494726378,6.239035271659404,1,0,False
tp5_10_15_f50_50_100,5,3,5,0.7026843161469943,0.14774582270964198,-0.1797552841639103,5.0712911542326236,2,0,False
tp8_16_24_f50_50_100,5,4,5,0.8376468006145025,0.1279449169113691,-0.1697267588367366,5.328443389796739,1,0,False
tp5_10_15_f33_33_100,5,4,5,0.6568900208439719,0.1075106193739721,-0.1553876020965066,5.003018956855705,1,0,False
tp10_20_30_f50_50_100,5,4,5,0.8003916288426559,0.10134523806056528,-0.21876329820398788,4.250448449895967,1,0,False
tp5_10_15_f25_25_100,5,4,5,0.637252223619744,0.09929541721614465,-0.15123666654745127,4.862021450055877,1,0,False
tp15_30_45_f100_100_100,5,3,5,0.5156747258420402,0.08713999791971405,-0.28596053776095254,2.783560058584608,2,0,False
tp8_16_24_f33_33_100,5,3,5,0.6616438764933947,0.02203817702954547,-0.1800821644508639,4.04323920808128,2,0,False
tp8_16_24_f25_25_100,5,3,5,0.6029818003816504,-0.02810877784781507,-0.1925899892478623,3.712927484723406,2,0,False
tp12_24_36_f50_50_100,5,3,5,0.548693970581201,-0.03805791966156924,-0.21318910466831864,2.958162634088205,2,0,False
tp10_20_30_f33_33_100,5,4,5,0.6574243765693992,-0.04420266733788614,-0.21839199691690925,3.4331991248084193,1,0,False
tp10_20_30_f25_25_100,5,3,5,0.6479300869133282,-0.11668244562842622,-0.2212157656322602,3.5710249728224035,2,0,False
tp12_24_36_f33_33_100,5,3,5,0.542530153814129,-0.15328476550427617,-0.2361181168494717,2.872874696143394,2,0,False
tp15_30_45_f50_50_100,5,3,5,0.6136031532875211,-0.15635494011619622,-0.23747278458261056,3.3816961323087495,2,0,False
tp12_24_36_f25_25_100,5,3,5,0.5497180215920966,-0.2027323636708448,-0.2571054607993152,2.903249554490811,2,0,False
tp5_10_15_f100_100_100,5,4,5,1.0330165841481438,-0.2130543126330363,-0.2820616221758995,7.739676576712036,1,0,False
tp15_30_45_f33_33_100,5,2,5,0.535087324468053,-0.2235348867020588,-0.26618887722148143,2.897475412823973,3,0,False
tp15_30_45_f25_25_100,5,2,5,0.4517741384220317,-0.25411034910337704,-0.2796985709704717,2.418145170766611,3,0,False
