strategy,windows,return_pass_windows,drawdown_pass_windows,mean_annual_return,min_annual_return,worst_drawdown,mean_calmar,return_fail_windows,drawdown_fail_windows,passes_all_windows
tp12_24_36_f100_100_100,5,0,4,0.19167414333917404,0.03169396537192326,-0.3254266736339554,1.184867514606757,5,1,False
tp5_10_15_f100_100_100,5,1,5,0.3237475202297907,0.02684272252695674,-0.2842228345531075,1.7335023185502423,4,0,False
tp10_20_30_f50_50_100,5,1,5,0.22295260025876287,-0.014994122945610644,-0.2325164839374203,1.4859334421171382,4,0,False
tp12_24_36_f50_50_100,5,0,5,0.2038021095105255,-0.03938313899163581,-0.27443152619880495,1.5090259573784948,5,0,False
tp5_10_15_f50_50_100,5,0,5,0.039078566133957236,-0.0682825662211789,-0.2688898998388263,0.23816253061754317,5,0,False
tp8_16_24_f25_25_100,5,1,5,0.13211622969227305,-0.07128214942137479,-0.23332772798180312,1.1196576764964337,4,0,False
tp10_20_30_f33_33_100,5,1,5,0.1773176216047175,-0.08383510942018235,-0.24994362034772633,1.3849071342323802,4,0,False
tp8_16_24_f33_33_100,5,1,5,0.15857481725205796,-0.09398756567708211,-0.22605742874111345,1.3343337917721847,4,0,False
tp5_10_15_f33_33_100,5,0,4,0.11383946336460934,-0.09514642136689899,-0.31008195376569336,0.8513942867402295,5,1,False
tp5_10_15_f25_25_100,5,1,4,0.1721399003092197,-0.09588029097639772,-0.31343052738708255,1.3444686404780313,4,1,False
tp12_24_36_f33_33_100,5,1,3,0.15382577882148624,-0.11386388409442905,-0.3071452828700537,1.529910914136428,4,2,False
tp10_20_30_f25_25_100,5,1,5,0.13736298843902314,-0.12391209986740659,-0.2643708070033908,1.2173344118059932,4,0,False
tp8_16_24_f50_50_100,5,1,5,0.22949174825013285,-0.14428957149283628,-0.23784850005574731,1.7782223398601995,4,0,False
tp12_24_36_f25_25_100,5,1,3,0.14147467095999333,-0.1604541483466182,-0.3301650786792598,1.5362075136241289,4,2,False
tp15_30_45_f50_50_100,5,1,5,0.23919611442199237,-0.16485518899936147,-0.27132610109890465,2.816184441823437,4,0,False
tp15_30_45_f100_100_100,5,1,2,0.5627978737235442,-0.2006347319572257,-0.3458197340712027,6.221875590991654,4,3,False
tp15_30_45_f33_33_100,5,1,4,0.04796224961286033,-0.20663557313247882,-0.32497622646989544,0.9830186475154956,4,1,False
tp8_16_24_f100_100_100,5,1,2,0.13280999007833777,-0.22975623289684544,-0.38739525362359595,0.7613636704177493,4,3,False
tp10_20_30_f100_100_100,5,0,2,0.011934061998749601,-0.23528988869678846,-0.3221566283485857,0.1602230938795115,5,3,False
tp15_30_45_f25_25_100,5,0,3,-0.030816335736547427,-0.27213838019308345,-0.38457679885490514,0.3604155210368273,5,2,False
