strategy,windows,return_pass_windows,drawdown_pass_windows,mean_annual_return,min_annual_return,worst_drawdown,mean_calmar,return_fail_windows,drawdown_fail_windows,passes_all_windows
tp8_16_24_f50_50_100,5,1,5,0.49076522439113324,0.08379306884936333,-0.1958315251560372,3.841640062452116,4,0,False
tp5_10_15_f100_100_100,5,0,5,0.2178926572990887,0.049834389195390516,-0.2740544439372308,1.0692825671711792,5,0,False
tp8_16_24_f33_33_100,5,1,5,0.35640860219230514,-0.003765414640593656,-0.2197330087867161,2.8564332567959028,4,0,False
tp10_20_30_f50_50_100,5,1,5,0.5148581583422078,-0.06810242919458442,-0.18296043100138004,4.158850119568479,4,0,False
tp8_16_24_f25_25_100,5,1,5,0.27980515495742175,-0.07216340098774043,-0.23051036245984025,2.2685920526318193,4,0,False
tp15_30_45_f100_100_100,5,0,5,0.15564658964883446,-0.10355511015927465,-0.24490674703414428,0.691688419090197,5,0,False
tp10_20_30_f100_100_100,5,3,5,0.41541163570085204,-0.105686860095346,-0.22077086016106406,2.1969257902503463,2,0,False
tp8_16_24_f100_100_100,5,4,5,0.6275481813510997,-0.10775226020513373,-0.21480394480179965,3.9988834737108094,1,0,False
tp10_20_30_f33_33_100,5,1,5,0.3557473378139572,-0.1262776648650119,-0.1732859401183917,2.4410392495273747,4,0,False
tp5_10_15_f50_50_100,5,1,5,0.3054822709786023,-0.1435101099828544,-0.19246116151095605,2.5836068427585,4,0,False
tp10_20_30_f25_25_100,5,1,5,0.2748359968612445,-0.1686460420906899,-0.18182861237959203,1.7279457164614853,4,0,False
tp5_10_15_f33_33_100,5,1,5,0.2560103492601452,-0.1742310535819247,-0.1868540354445234,2.3179194113590618,4,0,False
tp5_10_15_f25_25_100,5,1,5,0.23656994664336867,-0.18919166130451792,-0.20570613452509867,2.179915839381559,4,0,False
tp12_24_36_f50_50_100,5,1,5,0.31845870668241477,-0.25316484341099266,-0.25260229342754226,2.722583862791178,4,0,False
tp12_24_36_f33_33_100,5,1,5,0.16813688828891277,-0.34537156761945065,-0.27317050706352675,1.2695390003625786,4,0,False
tp12_24_36_f100_100_100,5,1,2,0.44515723502320464,-0.348886670277488,-0.35249221697383737,3.334485012496972,4,3,False
tp15_30_45_f50_50_100,5,0,5,0.1054062130860105,-0.3492494340741171,-0.23927992885250704,0.776594235170703,5,0,False
tp12_24_36_f25_25_100,5,1,5,0.1065309081691376,-0.37929910210195794,-0.28166131260068583,0.8677874970514008,4,0,False
tp15_30_45_f33_33_100,5,1,3,0.08089478776407974,-0.43176193452794276,-0.3079409339111202,0.6896724986313609,4,2,False
tp15_30_45_f25_25_100,5,1,2,0.06005717086027178,-0.4693420946738889,-0.38583136212683655,0.6871301429196318,4,3,False
