factor,regime,mean_ic,ic_win_rate,observations
low_volatility,all,-0.07444668008048289,0.37122736418511065,1988
low_volatility,high_vol,-0.08922764227642276,0.39735772357723576,984
low_volatility,low_vol,-0.05996015936254979,0.3456175298804781,1004
momentum,all,0.1095573440643863,0.5513078470824949,1988
momentum,high_vol,0.12540650406504064,0.5497967479674797,984
momentum,low_vol,0.09402390438247012,0.5527888446215139,1004
ram,all,0.08732394366197183,0.5347082494969819,1988
ram,high_vol,0.11280487804878049,0.532520325203252,984
ram,low_vol,0.06235059760956175,0.5368525896414342,1004
trend_strength,all,0.10311871227364185,0.5518108651911469,1988
trend_strength,high_vol,0.1258130081300813,0.5640243902439024,984
trend_strength,low_vol,0.08087649402390437,0.5398406374501992,1004
