strategy,total_return,annual_return,annual_volatility,max_drawdown,sharpe,calmar,sortino,total_turnover,rebalance_count,estimated_cost,kind,top_n,momentum_window,volatility_window,interval_days,cost_rate
ram_top2_m20_v120_f21_cost,0.8190403728317162,0.12129339226600644,0.11835071454090298,-0.10570745484244448,1.0248640469685246,1.1474440704942956,1.2334156429944507,80.47529689110193,63.0,0.08047529689110193,ram_topn,2,20,120,21,0.001
ram_top2_m20_v60_f21_cost,0.7481712043640167,0.1127996409191021,0.11790703145197416,-0.09923244083643556,0.9566829011808986,1.1367214186037136,1.1490952858255175,81.42824926282186,63.0,0.08142824926282187,ram_topn,2,20,60,21,0.001
ram_top3_m20_v60_f21_cost,0.6462999830953291,0.10008865314806314,0.11237535142979257,-0.09923244083643556,0.8906637609991757,1.0086283508136102,1.0469851004742043,77.6977134236384,63.0,0.0776977134236384,ram_topn,3,20,60,21,0.001
ram_top3_m20_v120_f21_cost,0.6642308677948863,0.10237125911482292,0.11302896744060682,-0.10570745484244437,0.9057081687366189,0.9684393524317276,1.0702612353562349,76.81918073734921,63.0,0.07681918073734921,ram_topn,3,20,120,21,0.001
ram_top2_m20_v60_f10_cost,0.6979511614006695,0.10661052889187328,0.12557565703785378,-0.1347717816971249,0.8489744860322441,0.7910448875081364,0.9885327971104809,125.59612414436769,130.0,0.1255961241443677,ram_topn,2,20,60,10,0.001
ram_top2_m20_v120_f10_cost,0.7151097816390508,0.10874160705187497,0.12786833375869494,-0.1390522621509258,0.8504185817974704,0.782019690796889,0.9880195509642793,123.9110713853415,130.0,0.1239110713853415,ram_topn,2,20,120,10,0.001
ram_top3_m20_v60_f10_cost,0.6855280973643303,0.10505670557126301,0.12097176282241849,-0.1347717816971249,0.8684398996936324,0.7795155947953473,1.0005172570847178,117.63768127470594,130.0,0.11763768127470595,ram_topn,3,20,60,10,0.001
ram_top1_m120_v20_f63_cost,1.1398162733834019,0.15668617894865733,0.1507046508816024,-0.20199534216637716,1.0396904012720496,0.7756920395699021,1.0816020487364,25.0,13.0,0.025,ram_topn,1,120,20,63,0.001
ram_top3_m20_v20_f10_cost,0.7349554980320585,0.11118502336927705,0.11371356144149129,-0.1463306438200206,0.9777639708038232,0.7598205028471623,1.1788101570397815,118.4218785385682,130.0,0.1184218785385682,ram_topn,3,20,20,10,0.001
ram_top1_m180_v20_f63_cost,1.0676560032093736,0.14911863030547678,0.15084512336388656,-0.19681605231126353,0.9885545318276885,0.757654818061519,1.0088097324278789,17.0,9.0,0.017,ram_topn,1,180,20,63,0.001
ram_top2_m20_v20_f10_cost,0.7120790442711133,0.10836645095758946,0.11822212015187435,-0.14404646326496118,0.9166343051399874,0.7523020593588515,1.1114283060767491,127.83066476932056,130.0,0.12783066476932056,ram_topn,2,20,20,10,0.001
ram_top3_m20_v120_f10_cost,0.6675166020708172,0.10278737577139374,0.1233835405252223,-0.1390522621509258,0.833072023495563,0.7391995943210866,0.9598427591513784,117.77012937699611,130.0,0.11777012937699612,ram_topn,3,20,120,10,0.001
ram_top3_m20_v20_f21_cost,0.6053604634924123,0.09480070653485018,0.11058209938493614,-0.13479330823874014,0.8572879974438633,0.7033042498440889,1.0037192117483205,79.91806347243195,63.0,0.07991806347243195,ram_topn,3,20,20,21,0.001
