strategy,strategy_family,fixed_weights,gross_exposure,drawdown_half,drawdown_quarter,total_turnover,rebalance_count,estimated_cost,total_return,annual_return,annual_volatility,max_drawdown,sharpe,calmar,sortino,passes_return_gate,passes_drawdown_gate
ext_fixed_tecl_gld_50_50_x1_25,external_fixed,TECL:0.50;GLD:0.50,1.25,-0.08,-0.14,26.0,28.0,0.026000000000000002,1.2450689803428836,0.10778374511162281,0.22025155295046575,-0.2755936382609774,0.48936656140564516,0.39109663703323744,0.5204600469101315,False,True
ext_fixed_tecl_gld_50_50_x1_0,external_fixed,TECL:0.50;GLD:0.50,1.0,-0.08,-0.14,19.0,24.0,0.019,1.2043472186082678,0.10522016483939178,0.19144201214660905,-0.2505113374031416,0.549618987282753,0.42002156840535976,0.5821997005437433,False,True
ext_fixed_btc_gld_50_50_x1_0,external_fixed,BTC-USD:0.50;GLD:0.50,1.0,-0.12,-0.2,12.5,15.0,0.0125,1.1529188232298182,0.10192278874399974,0.18735403467825448,-0.293211214925327,0.5440117098040246,0.3476087664994558,0.7115309288555021,False,True
ext_fixed_tqqq_gld_50_50_x1_0,external_fixed,TQQQ:0.50;GLD:0.50,1.0,-0.08,-0.14,23.0,25.0,0.023,0.8473749764962542,0.08078113887373384,0.1733005936153959,-0.26626383502365913,0.46613307657220454,0.3033875737069435,0.4611235824441536,False,True
ext_fixed_btc_gld_50_50_x1_0,external_fixed,BTC-USD:0.50;GLD:0.50,1.0,-0.08,-0.14,13.5,15.0,0.0135,0.6639109001105821,0.06656747548211794,0.1525852678353951,-0.2876079121237116,0.4362641061385372,0.23145217038912552,0.5450532282579803,False,True
ext_fixed_tqqq_btc_gld_equal_x1_0,external_fixed,TQQQ:0.33;BTC-USD:0.33;GLD:0.33,1.0,-0.08,-0.14,20.0,22.0,0.02,0.5752420166152306,0.059200458074679885,0.17053877281760005,-0.29106556454791543,0.34713782148531,0.20339217442857024,0.4060758445859005,False,True
ext_fixed_tqqq_gld_50_50_x1_25,external_fixed,TQQQ:0.50;GLD:0.50,1.25,-0.08,-0.14,21.0,23.0,0.021,0.492920608549245,0.05202909468521488,0.18516294120777432,-0.2937846947136249,0.2809908632139959,0.1770994051815114,0.2837971744241202,False,True
ext_fixed_tqqq_btc_gld_equal_x3_0,external_fixed,TQQQ:0.33;BTC-USD:0.33;GLD:0.33,3.0,-0.15,-0.22,7.0,2.0,0.007,0.36528321434027666,0.0401957726613662,0.19281421952821184,-0.33228405459793176,0.20846892288192942,0.12096810576722869,0.04923598206778855,False,False
ext_fixed_tqqq_soxl_btc_gld_equal_x3_0,external_fixed,TQQQ:0.25;SOXL:0.25;BTC-USD:0.25;GLD:0.25,3.0,-0.08,-0.14,7.0,2.0,0.007,0.3497185245862089,0.03868731062756803,0.2324552468522698,-0.39546191301766476,0.16642907033264184,0.09782815829811635,0.03606406997571197,False,False
ext_fixed_tqqq_soxl_btc_gld_equal_x3_0,external_fixed,TQQQ:0.25;SOXL:0.25;BTC-USD:0.25;GLD:0.25,3.0,-0.12,-0.2,7.0,2.0,0.007,0.3497185245862089,0.03868731062756803,0.2324552468522698,-0.39546191301766476,0.16642907033264184,0.09782815829811635,0.03606406997571197,False,False
