strategy,total_return,annual_return,annual_volatility,max_drawdown,sharpe,calmar,sortino,total_turnover,rebalance_count,estimated_cost,cooldown_days,risk_asset_exposure,top_n,strategy_family,fixed_weights,gross_exposure,momentum_window,volatility_window,trend_window,rebalance_interval,cost_rate,drawdown_half,drawdown_quarter,drawdown_stop,passes_return_gate,passes_drawdown_gate
fixed_513100_518880_60_40_x1_0,1.623682608257495,0.20269677893846172,0.16019979417845806,-0.1665320035479576,1.2652749023676224,1.2171641163260816,1.6503069388067426,1.0,1.0,0.001,0.0,1.0,,fixed_blend,513100:0.60;518880:0.40,1.0,,,,21,0.001,-0.15,-0.22,-0.3,False,True
fixed_513100_518880_50_50_x1_0,1.5887901735657834,0.19961969948931513,0.15048248721501567,-0.1802915811185255,1.3265311012841658,1.1072047749034002,1.6888525775939234,1.0,1.0,0.001,0.0,1.0,,fixed_blend,513100:0.50;518880:0.50,1.0,,,,21,0.001,-0.15,-0.22,-0.3,False,True
fixed_513100_518880_50_50_x2_0,2.6568944042489675,0.2815872034167699,0.2502882302205039,-0.2667646533796808,1.1250517180479946,1.055564145584132,1.3568990160885468,11.0,9.0,0.011,0.0,2.0,,fixed_blend,513100:0.50;518880:0.50,2.0,,,,21,0.001,-0.15,-0.22,-0.3,False,True
fixed_513100_518880_50_50_x1_5,1.977445743648294,0.23216015753681085,0.2068221359414691,-0.22339895531550746,1.122511168739271,1.039217740337818,1.3863622534574362,7.5,7.0,0.0075,0.0,1.5,,fixed_blend,513100:0.50;518880:0.50,1.5,,,,21,0.001,-0.15,-0.22,-0.3,False,True
fixed_513100_518880_512480_40_40_20_x1_0,1.3494642300382211,0.17755892304475074,0.14828613691478898,-0.1803442914873683,1.1974074363187641,0.9845552724755213,1.5373880652299392,5.0,5.0,0.005,0.0,1.0,,fixed_blend,513100:0.40;518880:0.40;512480:0.20,1.0,,,,21,0.001,-0.15,-0.22,-0.3,False,True
fixed_513100_518880_512480_35_35_30_x1_0,1.398784370069024,0.18224918776309318,0.15598161353729637,-0.19787011239284114,1.1684017342179631,0.9210546532730776,1.557212768415215,3.0,3.0,0.003,0.0,1.0,,fixed_blend,513100:0.35;518880:0.35;512480:0.30,1.0,,,,21,0.001,-0.15,-0.22,-0.3,False,True
fixed_513100_518880_512480_40_40_20_x1_5,1.6983298835581504,0.20917019657805325,0.2008230040224014,-0.23550532879106723,1.0415649222870937,0.8881760665535613,1.2866926220725818,12.5,13.0,0.0125,0.0,1.5,,fixed_blend,513100:0.40;518880:0.40;512480:0.20,1.5,,,,21,0.001,-0.15,-0.22,-0.3,False,True
fixed_513100_518880_512480_40_40_20_x2_5,2.1987460462818635,0.2491794444443587,0.29096201304191216,-0.2889644943784414,0.8563985443985266,0.8623185522509961,0.96872491706027,23.0,17.0,0.023,0.0,2.5,,fixed_blend,513100:0.40;518880:0.40;512480:0.20,2.5,,,,21,0.001,-0.15,-0.22,-0.3,False,True
fixed_518880_x1_0,1.4168895792372425,0.18395140415180555,0.16000070790773424,-0.22682592176820415,1.1496911892282544,0.8109805207351366,1.3936618177213342,2.0,2.0,0.002,0.0,1.0,,fixed_blend,518880:1.00,1.0,,,,21,0.001,-0.15,-0.22,-0.3,False,True
fixed_518880_x1_5,2.023891982640235,0.23581498083788066,0.22784047929327636,-0.29243284882893905,1.0350003720556589,0.8063901910548447,1.2287262089901696,11.25,10.0,0.01125,0.0,1.5,,fixed_blend,518880:1.00,1.5,,,,21,0.001,-0.15,-0.22,-0.3,False,True
fixed_513100_518880_60_40_x1_5,1.485058125160307,0.19026938345133826,0.21286735570768484,-0.24515756281347556,0.8938401232015175,0.7761106011487879,1.0744278275763073,12.5,12.0,0.0125,0.0,1.5,,fixed_blend,513100:0.60;518880:0.40,1.5,,,,21,0.001,-0.15,-0.22,-0.3,False,True
fixed_513100_518880_512480_40_40_20_x2_0,1.5976546729092203,0.20040460117277625,0.24156163210821044,-0.2808682436393808,0.8296209932999732,0.7135181912202385,0.9531456112356029,20.0,18.0,0.02,0.0,2.0,,fixed_blend,513100:0.40;518880:0.40;512480:0.20,2.0,,,,21,0.001,-0.15,-0.22,-0.3,False,True
fixed_513100_518880_60_40_x2_0,1.559015990615173,0.19696735269718757,0.2626624174802022,-0.276454722685163,0.7498878392529594,0.7124759916708001,0.868582404936775,18.0,15.0,0.018000000000000002,0.0,2.0,,fixed_blend,513100:0.60;518880:0.40,2.0,,,,21,0.001,-0.15,-0.22,-0.3,False,True
fixed_513100_518880_512480_35_35_30_x1_5,1.0420499098446299,0.14638191160949687,0.18944021661471017,-0.2898552595486804,0.7727076870230427,0.5050172690929295,0.9135855684615296,16.0,16.0,0.016,0.0,1.5,,fixed_blend,513100:0.35;518880:0.35;512480:0.30,1.5,,,,21,0.001,-0.15,-0.22,-0.3,False,True
fixed_513100_518880_50_50_x3_0,2.741457161290966,0.2872055201442938,0.34088053727598816,-0.3131591196283373,0.8425400946600912,0.9171232837962832,0.9315122492607492,25.0,16.0,0.025,57.0,3.0,,fixed_blend,513100:0.50;518880:0.50,3.0,,,,21,0.001,-0.15,-0.22,-0.3,False,False
fixed_513100_518880_50_50_x2_5,2.6367237389038105,0.2802315725817668,0.30626245078230324,-0.3118669295032612,0.9150046695765532,0.8985613608602779,1.0553251146378526,22.0,15.0,0.022,3.0,2.5,,fixed_blend,513100:0.50;518880:0.50,2.5,,,,21,0.001,-0.15,-0.22,-0.3,False,False
fixed_518880_x2_5,3.8219932210019474,0.35123624105484663,0.32616920945801714,-0.3935707695084626,1.076852844689057,0.8924347748017764,1.138701353285179,17.0,11.0,0.017,86.0,2.5,,fixed_blend,518880:1.00,2.5,,,,21,0.001,-0.15,-0.22,-0.3,False,False
fixed_518880_x2_0,2.7381846995955215,0.28699001874518326,0.26337330383930546,-0.3226991549006434,1.089670116756736,0.8893423313536266,1.1602191322730466,19.0,16.0,0.019,86.0,2.0,,fixed_blend,518880:1.00,2.0,,,,21,0.001,-0.15,-0.22,-0.3,False,False
fixed_518880_x3_0,4.08604402994997,0.3650908984965673,0.36226377725532377,-0.4606136873236789,1.0078040406431554,0.7926184317662567,0.982152363697386,24.0,12.0,0.024,184.0,3.0,,fixed_blend,518880:1.00,3.0,,,,21,0.001,-0.15,-0.22,-0.3,False,False
fixed_513100_518880_60_40_x2_5,0.7810331359125327,0.11677214727420804,0.2651271134121114,-0.31789696715948434,0.4404383458612864,0.3673270252233175,0.46849749118865824,20.0,13.0,0.02,176.0,2.5,,fixed_blend,513100:0.60;518880:0.40,2.5,,,,21,0.001,-0.15,-0.22,-0.3,False,False
fixed_513100_518880_512480_35_35_30_x2_0,-0.19864767549854623,-0.04148876555984571,0.12466767893793358,-0.31232009334783173,-0.3327948824691049,-0.13284052625342796,-0.29654033429581944,9.0,7.0,0.009000000000000001,894.0,2.0,,fixed_blend,513100:0.35;518880:0.35;512480:0.30,2.0,,,,21,0.001,-0.15,-0.22,-0.3,False,False
fixed_513100_518880_60_40_x3_0,-0.2098528583792597,-0.044067915814488656,0.16724561687236109,-0.3113171966800945,-0.263492201700691,-0.14155310495029375,-0.21755815411103147,22.0,13.0,0.022,907.0,3.0,,fixed_blend,513100:0.60;518880:0.40,3.0,,,,21,0.001,-0.15,-0.22,-0.3,False,False
fixed_513100_518880_512480_35_35_30_x3_0,-0.28347555450503326,-0.061791576211499444,0.08584442777382496,-0.3252771261229511,-0.7198088194413996,-0.18996594364936353,-0.408235900682327,6.999999999999999,2.0,0.006999999999999999,1277.0,3.0,,fixed_blend,513100:0.35;518880:0.35;512480:0.30,3.0,,,,21,0.001,-0.15,-0.22,-0.3,False,False
fixed_513100_518880_512480_35_35_30_x2_5,-0.27846393161310623,-0.060539482873299355,0.12858727929967692,-0.31471362187499174,-0.4708046021582748,-0.1923637194749276,-0.40420898025759167,13.0,9.0,0.013000000000000001,893.0,2.5,,fixed_blend,513100:0.35;518880:0.35;512480:0.30,2.5,,,,21,0.001,-0.15,-0.22,-0.3,False,False
fixed_513100_518880_512480_40_40_20_x3_0,-0.28392062607081103,-0.06190311400059434,0.13290132354932221,-0.31359862549735296,-0.4657825245632028,-0.19739599911325778,-0.3781196867426743,18.0,11.0,0.018000000000000002,936.0,3.0,,fixed_blend,513100:0.40;518880:0.40;512480:0.20,3.0,,,,21,0.001,-0.15,-0.22,-0.3,False,False
