strategy,total_return,annual_return,annual_volatility,max_drawdown,sharpe,calmar,sortino,total_turnover,rebalance_count,estimated_cost,cooldown_days,risk_asset_exposure,top_n,strategy_family,fixed_weights,gross_exposure,momentum_window,volatility_window,trend_window,rebalance_interval,cost_rate,drawdown_half,drawdown_quarter,drawdown_stop,passes_return_gate,passes_drawdown_gate
fixed_513100_518880_512480_40_40_20_x2_0,1.7539484476738596,0.37048769237407764,0.2402262717058213,-0.2597089389295536,1.5422446918202735,1.4265496363010166,1.8612372011981966,7.0,6.0,0.007,0.0,2.0,,fixed_blend,513100:0.40;518880:0.40;512480:0.20,2.0,,,,21,0.001,-0.15,-0.22,-0.3,False,True
fixed_513100_518880_512480_40_40_20_x2_5,1.8428790472058747,0.38410575560035065,0.27522777320219005,-0.2789037603685296,1.3955922802826144,1.3771981958680384,1.623350277032768,9.25,6.0,0.00925,0.0,2.5,,fixed_blend,513100:0.40;518880:0.40;512480:0.20,2.5,,,,21,0.001,-0.15,-0.22,-0.3,False,True
fixed_513100_518880_50_50_x2_0,1.6007888730730304,0.3463060840645449,0.2381311331127897,-0.2547198664290201,1.4542663092293717,1.3595566334086708,1.8257270540309474,5.0,4.0,0.005,0.0,2.0,,fixed_blend,513100:0.50;518880:0.50,2.0,,,,21,0.001,-0.15,-0.22,-0.3,False,True
fixed_513100_518880_50_50_x2_5,1.652454890671481,0.3545704652044932,0.2788152967546148,-0.27135583707777433,1.2717037742608164,1.3066623847964929,1.5245079473698067,11.75,8.0,0.01175,0.0,2.5,,fixed_blend,513100:0.50;518880:0.50,2.5,,,,21,0.001,-0.15,-0.22,-0.3,False,True
fixed_513100_518880_512480_35_35_30_x1_5,1.2630245181508686,0.28928155508359943,0.19687210607840588,-0.22845225035022965,1.4693882279513522,1.2662670410999024,1.7684240779017886,4.499999999999999,4.0,0.004499999999999999,0.0,1.5,,fixed_blend,513100:0.35;518880:0.35;512480:0.30,1.5,,,,21,0.001,-0.15,-0.22,-0.3,False,True
fixed_513100_518880_512480_40_40_20_x1_0,0.870946362091432,0.21518193551810394,0.1353954815421702,-0.17189310387793255,1.5892844655313219,1.2518357669014595,1.9230904369965462,1.0,1.0,0.001,0.0,1.0,,fixed_blend,513100:0.40;518880:0.40;512480:0.20,1.0,,,,21,0.001,-0.15,-0.22,-0.3,False,True
fixed_513100_518880_512480_35_35_30_x2_0,1.4185313129497388,0.31621610394043564,0.23987207630177781,-0.2646988031458716,1.3182697578463076,1.1946261191297252,1.5180604852145136,9.0,7.0,0.009000000000000001,0.0,2.0,,fixed_blend,513100:0.35;518880:0.35;512480:0.30,2.0,,,,21,0.001,-0.15,-0.22,-0.3,False,True
fixed_513100_518880_60_40_x1_5,1.1753907515086355,0.27353708953256617,0.2149756071938424,-0.2314146501678589,1.2724098938626054,1.1820214897118801,1.5713675937257443,4.5,4.0,0.0045000000000000005,0.0,1.5,,fixed_blend,513100:0.60;518880:0.40,1.5,,,,21,0.001,-0.15,-0.22,-0.3,False,True
fixed_513100_518880_512480_35_35_30_x1_0,0.9136002750842793,0.22373405955136927,0.14412538502759864,-0.19201671609453774,1.55235706401427,1.165180116095808,1.8536424065820845,1.0,1.0,0.001,0.0,1.0,,fixed_blend,513100:0.35;518880:0.35;512480:0.30,1.0,,,,21,0.001,-0.15,-0.22,-0.3,False,True
fixed_513100_518880_50_50_x1_0,0.7736939187831988,0.19516790401513862,0.13644725853747408,-0.17041108728736842,1.4303541610661046,1.1452770305139957,1.8156353661134519,1.0,1.0,0.001,0.0,1.0,,fixed_blend,513100:0.50;518880:0.50,1.0,,,,21,0.001,-0.15,-0.22,-0.3,False,True
fixed_513100_518880_60_40_x2_0,1.2534045098189268,0.2875739539262572,0.25391811021931476,-0.2682001289756759,1.132546054623174,1.0722364490448786,1.328295034233812,10.0,8.0,0.01,0.0,2.0,,fixed_blend,513100:0.60;518880:0.40,2.0,,,,21,0.001,-0.15,-0.22,-0.3,False,True
fixed_513100_518880_512480_40_40_20_x1_5,1.147632201060497,0.2684589453920725,0.19967386021968955,-0.2505554644134175,1.3444871807291285,1.0714551607188827,1.6092304862562414,4.5,4.0,0.0045000000000000005,0.0,1.5,,fixed_blend,513100:0.40;518880:0.40;512480:0.20,1.5,,,,21,0.001,-0.15,-0.22,-0.3,False,True
sat_top2_m20_v60_t120_f10_dd30,0.870865223606091,0.21516553985924403,0.22837824147795246,-0.2068633878019296,0.9421455321960521,1.0401335013678867,1.027189621254997,68.82674872586675,57.0,0.06882674872586675,0.0,0.7102342786683107,2,ram_trend,,1.0,20,60,120,10,0.001,-0.15,-0.22,-0.3,False,True
sat_top2_m10_v60_t120_f5_dd30,0.9268587371324479,0.22636560482737478,0.21258541441225287,-0.21785754848527172,1.0648218997207348,1.0390533006602627,1.1974716179819747,141.184075305437,120.0,0.141184075305437,0.0,0.7040690505548706,2,ram_trend,,1.0,10,60,120,5,0.001,-0.15,-0.22,-0.3,False,True
fixed_513100_518880_60_40_x1_0,0.8003127027195334,0.2007195536175106,0.15441531469884864,-0.19416072288274677,1.299868176993763,1.0337804198366354,1.6285235222952095,2.0,2.0,0.002,0.0,1.0,,fixed_blend,513100:0.60;518880:0.40,1.0,,,,21,0.001,-0.15,-0.22,-0.3,False,True
sat_top2_m10_v60_t200_f5_dd30,0.8959753561531669,0.22021633980871957,0.2066513848139014,-0.21530260785782795,1.0656417328489427,1.0228224451147212,1.1196409328315364,127.76385146682402,108.0,0.12776385146682404,0.0,0.6362515413070283,2,ram_trend,,1.0,10,60,200,5,0.001,-0.15,-0.22,-0.3,False,True
fixed_513100_518880_50_50_x1_5,1.0350961577028448,0.24739558271894047,0.2008528773913814,-0.24785774960461293,1.2317253600348779,0.9981353543054041,1.5417664660286503,4.5,4.0,0.0045000000000000005,0.0,1.5,,fixed_blend,513100:0.50;518880:0.50,1.5,,,,21,0.001,-0.15,-0.22,-0.3,False,True
sat_top1_m10_v10_t120_f5_dd30,0.8647524208486008,0.21392891424155014,0.2493546220996794,-0.21710596321833509,0.8579304142837672,0.9853663670509598,0.9595063930725201,166.0,91.0,0.166,0.0,0.7163995067817509,1,ram_trend,,1.0,10,10,120,5,0.001,-0.15,-0.22,-0.3,False,True
sat_top2_m60_v20_t200_f10_dd30,0.8919338980185856,0.21940654146005545,0.19799804237349508,-0.22362356066740363,1.108124801790597,0.981142330464811,1.1109029652358327,36.993137163517275,49.0,0.03699313716351728,0.0,0.7040690505548706,2,ram_trend,,1.0,60,20,200,10,0.001,-0.15,-0.22,-0.3,False,True
sat_top2_m10_v20_t120_f5_dd30,0.8482746945422894,0.21058148571713597,0.21298850584822793,-0.22429232975075553,0.9886988261572802,0.9388706513109222,1.1185473602254143,145.3702672038661,120.0,0.1453702672038661,0.0,0.7133168927250308,2,ram_trend,,1.0,10,20,120,5,0.001,-0.15,-0.22,-0.3,False,True
sat_top2_m20_v10_t120_f10_dd30,0.8164433410064205,0.20405631433996274,0.2283539897722727,-0.21866985732272837,0.8935964488444412,0.9331707480780127,0.9443452975700752,70.88149126154401,57.0,0.07088149126154401,0.0,0.7102342786683107,2,ram_trend,,1.0,20,10,120,10,0.001,-0.15,-0.22,-0.3,False,True
sat_top2_m20_v60_t200_f10_dd30,0.7537632403822816,0.19097344267561178,0.21531544111569453,-0.2068633878019297,0.8869472699498445,0.9231862859099434,0.89288450097889,64.52127239593567,52.0,0.06452127239593566,0.0,0.6362515413070283,2,ram_trend,,1.0,20,60,200,10,0.001,-0.15,-0.22,-0.3,False,True
sat_top2_m20_v20_t120_f10_dd30,0.8192033042928666,0.20462518903165905,0.2266061795551496,-0.22271941863941358,0.9029991566574158,0.9187577368947366,0.9881117026535211,71.07304901730136,57.0,0.07107304901730135,0.0,0.7163995067817509,2,ram_trend,,1.0,20,20,120,10,0.001,-0.15,-0.22,-0.3,False,True
sat_top1_m120_v10_t120_f10_dd30,1.029617383891308,0.24634984853795916,0.22605363805526404,-0.2699697394051569,1.0897849318299104,0.9125091170616341,1.2441364901298226,50.5,32.0,0.0505,0.0,0.7318125770653514,1,ram_trend,,1.0,120,10,120,10,0.001,-0.15,-0.22,-0.3,False,True
sat_top1_m120_v10_t60_f10_dd30,0.9707158547953809,0.23498249918001335,0.2181659564704104,-0.2631224679419174,1.0770814245341882,0.8930537214020211,1.1919304245738096,56.0,35.0,0.056,0.0,0.7194821208384711,1,ram_trend,,1.0,120,10,60,10,0.001,-0.15,-0.22,-0.3,False,True
sat_top2_m10_v20_t200_f5_dd30,0.776994462466936,0.19585937361566064,0.2079258164323934,-0.2198906287469321,0.9419675583158951,0.8907126908126286,0.9917558882308104,131.89690251327403,108.0,0.13189690251327404,0.0,0.6424167694204685,2,ram_trend,,1.0,10,20,200,5,0.001,-0.15,-0.22,-0.3,False,True
sat_top2_m60_v60_t200_f10_dd30,0.7559792593129462,0.1914414268602691,0.21064083390306315,-0.21749339109530597,0.9088523972914501,0.8802172143997661,0.9142161082763367,34.538763749228046,49.0,0.03453876374922805,0.0,0.7102342786683107,2,ram_trend,,1.0,60,60,200,10,0.001,-0.15,-0.22,-0.3,False,True
sat_top2_m60_v20_t120_f10_dd30,0.7802051281420399,0.1965311651953865,0.2088067035529847,-0.22362356066740396,0.9412109949119364,0.8788482063734238,1.0222084171682164,42.332834982101744,56.0,0.04233283498210175,0.0,0.8027127003699137,2,ram_trend,,1.0,60,20,120,10,0.001,-0.15,-0.22,-0.3,False,True
sat_top2_m20_v20_t200_f5_dd30,0.7353465562947419,0.18706831315007721,0.21337769476305146,-0.21473967372331826,0.876700413123359,0.8711399710474821,0.8953145609155908,96.16793111448551,99.0,0.09616793111448552,0.0,0.6454993834771886,2,ram_trend,,1.0,20,20,200,5,0.001,-0.15,-0.22,-0.3,False,True
sat_top2_m120_v20_t200_f10_dd30,0.8144047912336381,0.20363575261968148,0.19467240127781446,-0.2338311076934021,1.0460432566867839,0.8708668176292754,1.0603561123812888,31.484045249140543,51.0,0.031484045249140544,0.0,0.6886559802712701,2,ram_trend,,1.0,120,20,200,10,0.001,-0.15,-0.22,-0.3,False,True
sat_top2_m20_v20_t120_f5_dd30,0.7292694052900475,0.18577343284746273,0.22092880795731276,-0.2147396737233177,0.8408746444843778,0.8651099707212154,0.922495193285581,102.46720376595194,109.0,0.10246720376595193,0.0,0.7133168927250308,2,ram_trend,,1.0,20,20,120,5,0.001,-0.15,-0.22,-0.3,False,True
