strategy,total_return,annual_return,annual_volatility,max_drawdown,sharpe,calmar,sortino,total_turnover,rebalance_count,estimated_cost,kind,top_n,momentum_window,volatility_window,interval_days,cost_rate
ram_top2_m180_v20_f10_cost,0.4963028794782003,0.13357566659794773,0.11817284985276143,-0.11673892120525342,1.1303414173761366,1.1442256380208577,1.2254610436808484,28.752164970305632,65.0,0.02875216497030563,ram_topn,2,180,20,10,0.001
ram_top3_m180_v20_f10_cost,0.43366682792591527,0.11859477076483782,0.10345708948307963,-0.10638519901081667,1.1463184529682129,1.114767579207891,1.2589018210101302,22.92914912557743,65.0,0.02292914912557743,ram_topn,3,180,20,10,0.001
ram_top3_m180_v60_f10_cost,0.43618140297668084,0.11920478852370664,0.10721351338796624,-0.10994109941432295,1.1118448109460641,1.0842604736420967,1.1724486929023328,18.950533514429075,65.0,0.018950533514429074,ram_topn,3,180,60,10,0.001
ram_top3_m20_v20_f42_cost,0.4705496384504353,0.12746947339667192,0.12093314885473791,-0.1188142868262233,1.0540490725978309,1.072846345348246,1.3149985481113613,21.476350675549888,19.0,0.02147635067554989,ram_topn,3,20,20,42,0.001
ram_top3_m60_v20_f42_cost,0.45380672482300577,0.1234600451424992,0.1384587867258133,-0.12469871190728643,0.8916736023910439,0.9900667236586358,1.0201492855370193,20.42498323761772,19.0,0.02042498323761772,ram_topn,3,60,20,42,0.001
ram_top1_m120_v20_f10_cost,0.5766855041256227,0.15218094880067912,0.18411981865852348,-0.15513666352497624,0.8265321458029482,0.9809476711878539,0.8680388807658753,39.0,20.0,0.039,ram_topn,1,120,20,10,0.001
ram_top3_m60_v60_f42_cost,0.448260078612976,0.12212477688803403,0.13815433555275855,-0.12821350744832571,0.8839735387196507,0.9525110054200362,1.0288096521877246,20.647119235404265,19.0,0.020647119235404264,ram_topn,3,60,60,42,0.001
ram_top2_m180_v60_f10_cost,0.4587335631895977,0.12464316437696654,0.11944445809761951,-0.1357817791107464,1.0435240475962329,0.9179667934333444,1.125120328702628,21.614733908675348,65.0,0.021614733908675347,ram_topn,2,180,60,10,0.001
ram_top3_m180_v20_f21_cost,0.37850787875781755,0.10502414483987277,0.09640936731215859,-0.11510168702869861,1.0893562292533345,0.9124466161272408,1.2164193378587858,16.14847006593218,31.0,0.01614847006593218,ram_topn,3,180,20,21,0.001
ram_top3_m20_v60_f42_cost,0.40476331082174544,0.1115294705200458,0.11903531176266026,-0.12227572646922547,0.936944414800374,0.9121145605960943,1.13536253514352,20.531243141004754,18.0,0.020531243141004754,ram_topn,3,20,60,42,0.001
