mode,window_id,train_start,train_end,test_start,test_end,best_strategy,train_annual_return,train_max_drawdown,train_calmar,oos_annual_return,oos_max_drawdown,oos_calmar,oos_sharpe
rolling,1,2017-09-01,2019-09-25,2019-09-26,2020-04-07,ram_top3_m20_v60_f10_cost,0.044191239224380174,-0.13963010014969968,0.3164879146903285,-0.027196155931342947,-0.14770876623022178,-0.18412012113725523,-0.19655383372273305
rolling,2,2018-03-13,2020-04-07,2020-04-08,2020-10-15,ram_top2_m20_v60_f10_cost,0.17392937212550574,-0.11704013306730332,1.4860660832083006,0.35852620027958637,-0.15936638761537092,2.2496977288892657,1.159201880112444
rolling,3,2018-09-12,2020-10-15,2020-10-16,2021-04-20,ram_top2_m20_v60_f10_cost,0.2657644172594431,-0.1417850671711275,1.8744175431301149,-0.024242131433635294,-0.08506455402757518,-0.2849851117279329,-0.18548571784518209
rolling,4,2019-03-26,2021-04-20,2021-04-21,2021-10-28,ram_top3_m20_v60_f21_cost,0.13999696587685273,-0.12366126048806392,1.1321004276061506,0.07419427923744348,-0.028746303536336226,2.581002428491705,1.4370264185433341
rolling,5,2019-09-26,2021-10-28,2021-10-29,2022-05-09,ram_top3_m20_v60_f21_cost,0.1496999001486108,-0.12366126048806392,1.21056424265593,-0.07776536061445072,-0.07524537504147688,-1.0334902387234401,-0.7841759233059136
rolling,6,2020-04-08,2022-05-09,2022-05-10,2022-11-10,ram_top2_m20_v60_f21_cost,0.1013668836608197,-0.10920423301729121,0.9282321834975887,-0.06607706652048595,-0.09846514792454542,-0.6710706063339417,-0.6886645860653875
rolling,7,2020-10-16,2022-11-10,2022-11-11,2023-05-19,ram_top1_m120_v20_f63_cost,0.07347439327458871,-0.15119683141036688,0.4859519382067613,0.1596382288229783,-0.024497342269470757,6.516552982236107,1.7825490278808103
rolling,8,2021-04-21,2023-05-19,2023-05-22,2023-11-23,ram_top1_m120_v20_f63_cost,0.08691593265684072,-0.07350689127105636,1.1824188338524422,0.06246052128040591,-0.05354810622551165,1.1664375396836755,0.9212436627130112
rolling,9,2021-10-29,2023-11-23,2023-11-24,2024-06-04,ram_top1_m120_v20_f63_cost,0.07815300693988148,-0.05354810622551187,1.4594915198447693,0.07692672017397184,-0.011092130203823714,6.93525217973491,3.5396039673700943
rolling,10,2022-05-10,2024-06-04,2024-06-05,2024-12-09,ram_top1_m120_v20_f63_cost,0.08379636317210637,-0.05354810622551165,1.5648800504579505,0.20762730483838276,-0.07491856677524422,2.7713731558862422,2.0406048458339083
rolling,11,2022-11-11,2024-12-09,2024-12-10,2025-06-19,ram_top1_m120_v20_f63_cost,0.12537681630865127,-0.07491856677524422,1.673507939424173,0.22437624952015178,-0.11525933350037576,1.9467078518150573,1.37234215195608
rolling,12,2023-05-22,2025-06-19,2025-06-20,2025-12-22,ram_top3_m20_v60_f10_cost,0.19696753879466122,-0.07270012086935618,2.7093151488512173,0.5701037594521918,-0.05830027694112383,9.778748736098237,4.128588572103384
anchored,1,2017-09-01,2019-09-25,2019-09-26,2020-04-07,ram_top3_m20_v60_f10_cost,0.044191239224380174,-0.13963010014969968,0.3164879146903285,-0.027196155931342947,-0.14770876623022178,-0.18412012113725523,-0.19655383372273305
anchored,2,2017-09-01,2020-04-07,2020-04-08,2020-10-15,ram_top2_m20_v120_f10_cost,0.07445897113445543,-0.10457786170731431,0.7119955401540561,0.2528898100921637,-0.15855247088150648,1.5949912901777472,0.8328416664013536
anchored,3,2017-09-01,2020-10-15,2020-10-16,2021-04-20,ram_top2_m20_v120_f10_cost,0.10256057807751962,-0.1585524708815066,0.6468557538543045,-0.028056932435675308,-0.08419018341391571,-0.3332565781183202,-0.21358984865113012
anchored,4,2017-09-01,2021-04-20,2021-04-21,2021-10-28,ram_top3_m20_v60_f10_cost,0.09673652688302359,-0.15962170993163505,0.6060361521277727,0.011757932405367377,-0.05551708168160552,0.211789453790096,0.15871217695882592
anchored,5,2017-09-01,2021-10-28,2021-10-29,2022-05-09,ram_top3_m20_v60_f10_cost,0.08823475241593348,-0.15962170993163505,0.5527741336295913,0.0572647466632239,-0.05864955231394309,0.9763884702255439,0.560713812788786
anchored,6,2017-09-01,2022-05-09,2022-05-10,2022-11-10,ram_top3_m20_v60_f10_cost,0.07249654080932899,-0.15962170993163505,0.4541771970766307,0.03435680645741046,-0.04914716580714629,0.6990597706534438,0.38499619656378853
anchored,7,2017-09-01,2022-11-10,2022-11-11,2023-05-19,ram_top3_m20_v60_f10_cost,0.07107415290404573,-0.15962170993163505,0.4452662042931775,0.08166441767649646,-0.04595144414429131,1.7771893614499574,0.8817259384784298
anchored,8,2017-09-01,2023-05-19,2023-05-22,2023-11-23,ram_top2_m20_v120_f10_cost,0.07235717826699584,-0.15880804040547447,0.45562666778237965,0.0886037630216816,-0.07945590115947032,1.1151313084203935,1.0479511031279871
anchored,9,2017-09-01,2023-11-23,2023-11-24,2024-06-04,ram_top3_m20_v60_f10_cost,0.06725212672531478,-0.15962170993163505,0.4213219289163011,0.2105394076272904,-0.04815900158922182,4.371756072169278,2.255494826230635
anchored,10,2017-09-01,2024-06-04,2024-06-05,2024-12-09,ram_top3_m20_v60_f10_cost,0.07804659931714619,-0.15962170993163505,0.488947270083581,0.057095959356991965,-0.10623813243945213,0.5374337636209149,0.35215883761133604
anchored,11,2017-09-01,2024-12-09,2024-12-10,2025-06-19,ram_top3_m20_v60_f10_cost,0.07895445819049907,-0.15962170993163505,0.4946348352258271,0.2799539905032098,-0.0735326857739772,3.8072047492420564,2.2169087384734723
anchored,12,2017-09-01,2025-06-19,2025-06-20,2025-12-22,ram_top3_m20_v60_f10_cost,0.09261238185523979,-0.15962170993163505,0.5801991589671923,0.5701037594521918,-0.05830027694112383,9.778748736098237,4.128588572103384
